,date,information,related
0,2022-09-23,"Headline: AEP ANNOUNCES ORGANIZATIONAL, EXECUTIVE LEADERSHIP CHANGES, source:Finnhub, summary: COLUMBUS, Ohio - American Electric Power has made organizational and executive leadership changes to support the company's strategic priorities and executive succession plans, according to Nicholas... | September 23, 2022, Headline: American Electric Power Co. Inc. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of American Electric Power Co. Inc. shed 1.15% to $97.74 Friday, on what proved to be an all-around grim trading session for the stock market, with...",AEP
1,2022-09-25,"Headline: Algonquin: , source:TalkMarkets, summary: Stocks of acquisition-minded companies trade at what I call a “show me” discount: Whatever promises management makes, operating numbers will have to show it before the price will rise. That’s the experience for owners of Algonquin Power & Utilities.",AEP
2,2022-09-26,"Headline: American Electric Power Stock Getting Very Oversold, source:Energy Stock Channel, summary: energy stock channel,AEP,",AEP
3,2022-09-28,"Headline: Siemens grid protection software, expertise enable unified digital model of AEP network, source:Finnhub, summary: Siemens will replace American Electric Power's existing protection simulation operation software with PSSCAPE. Ohio-based AEP, the largest transmission grid operator in the U.S., serves 5.5 million... | September 28, 2022, Headline: Duke Energy: Bright Ahead To 2026 With Its Improving Yield, source:SeekingAlpha, summary: Duke Energy Corporation maintains an improving topline and enjoys a growing EPS outlook. Click here to read our analysis of the DUK stock.",AEP
4,2022-09-29,"Headline: Friday Sector Laggards: Utilities, Consumer Products, source:Market News Video, summary: The worst performing sector as of midday Friday is the Utilities sector, showing a 1.3% loss - Within the sector, American Electric Power Co Inc (AEP) and Alliant Energy Corp (LNT) are two large stocks that are lagging, showing a loss of 2.1% and 2.0%, respectively. - AEP,LNT,XLU,NKE,RCL.",AEP
5,2022-09-30,"Headline: Algonquin Power, American Electric amend stock purchase agreement, source:Thefly.com, summary: On September 29, Liberty ... AQN, AEP, Headline: American Electric, Liberty reach amended pact on sale of Kentucky operations, source:Thefly.com, summary: American Electric Power (... AEP, AQN, Headline: Algonquin Agrees to Path Forward on Kentucky Power Acquisition, source:PR Newswire, summary: No summary, Headline: AMERICAN ELECTRIC POWER CO INC : Entry into a Material Definitive Agreement, Regulation FD Disclosure, Financial Statements and Exhibits (form 8-K), source:Finnhub, summary: Item 1.01. Entry into a Material Definitive Agreement.As previously disclosed, on October 26, 2021, American Electric Power Company,Inc. , AEP Transmission Company, LLC and Liberty Utilities Co.,... | September 30, 2022, Headline: AEP AND LIBERTY REACH AMENDED AGREEMENT ON SALE OF KENTUCKY OPERATIONS, source:Yahoo, summary: American Electric Power (Nasdaq: AEP) has signed an amended agreement on the sale of its Kentucky operations to Liberty and expects to close on the sale in January 2023 following approval of the transaction from the Federal Energy Regulatory Commission (FERC), which is due by Dec. 16. The amendment has no impact on AEP's planned equity needs or operating earnings guidance.",AEP
6,2022-10-02,"Headline: Jobs Report, Constellation Brands Stock, Illumina, and More to Watch This Week, source:MarketWatch, summary: September jobs numbers will be released on Friday, plus earnings from Lamb Weston, Conagra, McCormick, and Constellation. Also, September PMIs and August JOLTS.",AEP
7,2022-10-03,"Headline: American Electric price target lowered to $96 from $106 at BMO Capital, source:Thefly.com, summary: BMO Capital analyst James... AEP, Headline: AEP AND LIBERTY REACH AMENDED AGREEMENT ON SALE OF KENTUCKY OPERATIONS, source:Finnhub, summary: COLUMBUS, Ohio - American Electric Power has signed an amended agreement on the sale of its Kentucky operations to Liberty and expects to close on the sale in January 2023 following approval of the... | October 3, 2022, Headline: AbbVie, Rockwell Among 18 Companies To Announce Annual Dividend Increases In October, source:SeekingAlpha, summary: Many of the dividend increases in September were modest. One exception was Accenture, which rewarded investors with a 15% boost., Headline: Five Expected Dividend Increases In October 2022, source:SeekingAlpha, summary: Dividends are the foundation of our goal to reach financial freedom. What are the five expected dividend increases for October 2022? Click here to find out., Headline: What You Missed On Wall Street On Tuesday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. TSLA, TWTR, POSH, MU, F, DXC, PARA, PARAA, DPZ, GILD, AMZN, UBER, COMM, SSNLF, TCEHY, BABA, BA, AAPL, INBX, RIVN, CORZ, KALV, MRVI, HAS, AXTI, AYI, REBN, AEP",AEP
8,2022-10-04,"Headline: AEP NAMES MAJTENYI VICE PRESIDENT OF GENERATION PROJECT SOLUTIONS, source:Finnhub, summary: COLUMBUS, Ohio - American Electric Power has named Juliet Majtenyi vice president of Project Solutions, Generation, effective Oct. 22. She replaces Frank Pifer, who will retire after more than 35... | October 4, 2022, Headline: American Electric sees FY23 operating EPS $5.19-$5.39, consensus $5.28, source:Thefly.com, summary: The company also announce... AEP, Headline: American Electric shares updates on strategic initiatives, planned investments, source:Thefly.com, summary: American Electric Power p... AEP, Headline: American Electric narrows FY22 operating EPS view $4.97-$5.07 from $4.87-$5.07, source:Thefly.com, summary: FY22 EPS consensus $4.99.... AEP, Headline: American Electric Power Narrows 2022 Earnings Guidance, source:Finnhub, summary: By Dean Seal American Electric Power Co. raised the lower end of its operating earnings guidance for 2022 and said it expects to see earnings grow between 6% and 7% next year. The... | October 4, 2022, Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. TWTR, TSLA, POSH, MU, BA, F, PARA, DPZ, GILD, AMZN, UBER, COMM, HNHPF, AAPL, BABA, TCEHY, BBBY, INBX, RIVN, CORZ, KALV, MRVI, HAS, AXTI, AYI, REBN, AEP, Headline: Is NextEra Energy an Ideal Inv - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Pavaki Capital and the topic is about: Large-scale climate-change initiatives and Florida Power is expected to expand, while the company is growing its customer base, Headline: AEP SHARES UPDATES ON STRATEGIC INITIATIVES, HIGHLIGHTS PLANNED CAPITAL INVESTMENTS IN RENEWABLES AND ENERGY GRID, source:Yahoo, summary: American Electric Power (Nasdaq: AEP) plans to invest in its regulated businesses, accelerate its carbon reduction targets and streamline the business to drive value for customers, communities and investors. AEP leadership will share the company's financial plan and strategy with analysts in New York City today. The presentation will be webcast live at 1:30 p.m. ET at https://aep.com/investors/events., Headline: American Electric to host analyst day, source:Thefly.com, summary: Analyst Day to be held in... AEP, Headline: AEP narrows earnings guidance as updates on renewable investment plans, source:Alliance News, summary: No summary, Headline: NEW YORK MARKET CLOSE: Stocks green; Musk to close Twitter buyout, source:Alliance News, summary: No summary, Headline: American Electric Power Co. Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of American Electric Power Co. Inc. rallied 2.75% to $90.66 Tuesday, on what proved to be an all-around great trading session for the stock market,..., Headline: Tracking Mario Gabelli's Gabelli Funds 13F Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Mario Gabelli's 13F portfolio value decreased from $15.22B to $13.02B this quarter. Click here to read more about Gabelli Funds' holdings and trades for Q2 2022.",AEP
9,2022-10-05,"Headline: American Electric offered 'positive update' at analyst day, says Evercore ISI, source:Thefly.com, summary: Evercore ISI analyst Durg... AEP, Headline: American Electric Power Co. Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of American Electric Power Co. Inc. slipped 3.26% to $87.70 Wednesday, on what proved to be an all-around grim trading session for the stock market,...",AEP
