,date,information,related
0,2022-09-23,"Headline: Solicitor general recommends Supreme Court shouldn't review Amgen patent case, source:Thefly.com, summary: The U.S. solicitor genera... AMGN, Headline: Amgen (NASDAQ:AMGN) shareholders have earned a 7.3% CAGR over the last five years, source:Yahoo, summary: If you buy and hold a stock for many years, you'd hope to be making a profit. But more than that, you probably want to..., Headline: Amgen Inc. stock underperforms Friday when compared to competitors, source:MarketWatch, summary: Shares of Amgen Inc. shed 0.34% to $226.97 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index..., Headline: Don't Fight The Fed: 2 Blue Chip Dividend Buys And 1 Strong Sell, source:SeekingAlpha, summary: Fed took the most hawkish stance yet, as Powell takes a page out of Volcker's book. Find out couple of high-quality dividend names to pick up ahead of any turbulence.",AMGN
1,2022-09-24,"Headline: The Near-Perfect Portfolio: Sleep Well During Turbulent Times, source:SeekingAlpha, summary: The principles of NPP revolve around sustainable income, lower drawdowns, capital preservation, and reasonable growth over the long. Read more here.",AMGN
2,2022-09-26,"Headline: MDA Breakout Stocks Week 39 - September 2022: Short-Term Picks To Give You An Edge, source:SeekingAlpha, summary: Two new Breakout Stocks for Week 39 with better than 10% short-term upside potential and a Dow 30 Pick. Average cumulative returns now down to +108.7% YTD., Headline: 10 Best Biotech Stocks Under $10, source:Yahoo, summary: In this article, we will look at the 10 best biotech stocks under $10. If you want to explore similar biotech stocks with promising prospects that you can get for under $10, you can also take a look at 5 Best Biotech Stocks Under $10. The Global Biotech Industry According to an industry analysis report […], Headline: Dow Jones ETF Avoids Bear Market: 4 Stocks in Green, source:Yahoo, summary: Both the S&P 500 and the tech-heavy Nasdaq Index are in bear market while the Dow Jones in the only of the three main indexes not to have bear market status.",AMGN
3,2022-09-27,"Headline: The 7 Best Stocks to Buy to Tap Into a Hidden Bull Market, source:InvestorPlace, summary: Despite the ongoing worries on Wall Street, these are the best stocks to buy to play the hidden bull market., Headline: Wall Street Breakfast: Dollar Vs. Stocks, source:SeekingAlpha, summary: Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify. Dollar vs. Stocks The U.S., Headline: Warning! A Housing Market Crash Will Tank These 3 Stocks., source:InvestorPlace, summary: Don't be complacent about a potential black-swan event. A housing market crash would send these three stocks plunging., Headline: Amgen Inc. (NASDAQ:AMGN) insiders sold US$4.9m worth of stock suggesting impending weakness., source:Yahoo, summary: Many Amgen Inc. ( NASDAQ:AMGN ) insiders ditched their stock over the past year, which may be of interest to the..., Headline: Amgen (AMGN) Dips More Than Broader Markets: What You Should Know, source:Yahoo, summary: In the latest trading session, Amgen (AMGN) closed at $225.99, marking a -0.39% move from the previous day.",AMGN
4,2022-09-28,"Headline: Cantor Fitzgerald healthcare analysts to hold KOL luncheon panel, source:Thefly.com, summary: In conjunction with Canto... AZN, AMGN, MRTX, GILD, IMAB, NVS, SURF, PFE, ALXO, RHHBY, MRK, Headline: 3 Biotech Stocks to Buy and Hold for the Next 10 Years, source:Yahoo, summary: Several biotech stocks have outperformed the struggling market this year.  This list includes Vertex Pharmaceuticals (NASDAQ: VRTX), Exelixis (NASDAQ: EXEL), and Amgen (NASDAQ: AMGN).  Let's consider why these three biotechs are solid buys for the next decade., Headline: Amgen management to meet virtually with Oppenheimer, source:Thefly.com, summary: Virtual Meeting to be hel... AMGN",AMGN
5,2022-09-29,"Headline: November 11th Options Now Available For Amgen, source:Stock Options Channel, summary: Staff article entitled November 11th Options Now Available For Amgen , about stock options, from Stock Options Channel.",AMGN
6,2022-10-01,"Headline: How To Aim For A Million Dollar Portfolio And Retire At 62, source:SeekingAlpha, summary: Click here to read more about several strategies and model portfolios that can help you retire with a one million dollar portfolio., Headline: Amgen Inc. (NASDAQ:AMGN) Looks Just Right, source:Yahoo, summary: With a price-to-earnings (or ""P/E"") ratio of 18.3x Amgen Inc. ( NASDAQ:AMGN ) may be sending bearish signals at the..., Headline: Bristol-Myers Squibb: A Gem In A Period Of Macroeconomic Uncertainties, source:SeekingAlpha, summary: The company's medicines received over 10 regulatory approvals in Europe, Japan, and the US in the first half of 2022. Read more to see our price target on BMY.",AMGN
7,2022-10-02,"Headline: IGA: Value-Oriented Portfolio Leading To Outperformance, source:SeekingAlpha, summary: IGA has been performing relatively well during the challenging 2022 market. See why I believe the CEF is a worthwhile candidate for adding to one's portfolio.",AMGN
8,2022-10-03,"Headline: Can AbbVie's (ABBV) New Drugs Make up for Lost Humira Sales?, source:Yahoo, summary: AbbVie's (ABBV) new drugs, Skyrizi and Rinvoq, are faring well, bolstered by approval in new indications. They are expected to drive revenues once Humira loses U.S. exclusivity in 2023., Headline: Could This Biosimilar Drug Candidate Be a Hit for Novartis?, source:Yahoo, summary: On Sept. 19, Novartis (NYSE: NVS) shared positive news with investors regarding the clinical trial results for its biosimilar drug candidate to Amgen's (NASDAQ: AMGN) osteoporosis medicine Prolia.  With Prolia set to lose exclusivity in the U.S. in 2025, Novartis could be close to booking some revenue from its biosimilar drug.  Let's go over the outcome of the clinical trial and the U.S. osteoporosis market to figure this out., Headline: My 27-Stock $334k Retirement Portfolio's September Disaster Saved Somewhat By Dividends, source:SeekingAlpha, summary: My portfolio, built specifically for my retirement ~20+ years from now, had a crushing September, along with the rest of the market, in spite of amazing Petrobras dividends.",AMGN
9,2022-10-04,"Headline: Amgen (AMGN) Gains But Lags Market: What You Should Know, source:Yahoo, summary: Amgen (AMGN) closed at $233.02 in the latest trading session, marking a +1.12% move from the prior day.",AMGN
10,2022-10-05,"Headline: Amgen (NASDAQ:AMGN) jumps 3.1% this week, though earnings growth is still tracking behind five-year shareholder returns, source:Yahoo, summary: When you buy and hold a stock for the long term, you definitely want it to provide a positive return. Furthermore..., Headline: Buy 4 October Dogs Of The Dow And Watch 4 More, source:SeekingAlpha, summary: The Dow adds a stock if the company has an excellent reputation, demonstrates sustained growth, and is of interest to a large number of investors. Read more here., Headline: Amgen Inc. stock outperforms competitors on strong trading day, source:MarketWatch, summary: Shares of Amgen Inc. inched 0.34% higher to $233.82 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",AMGN
11,2022-10-06,"Headline: Amgen opens new R&D site in San Francisco's Oyster Point, source:Thefly.com, summary: Amgen announced the openi... AMGN, Headline: Birch Capital Management, LLC  - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: High Yield Stock Watchlist - October 2022, source:SeekingAlpha, summary: There are 24 stocks on my high yield watchlist for October 2022, and 2 stocks are down more significantly and now may be a good time to buy. Click here to know the stocks., Headline: AMGEN OPENS NEW STATE-OF-THE-ART RESEARCH AND DEVELOPMENT LABORATORY SITE IN SAN FRANCISCO BAY AREA, source:Yahoo, summary: (Oct. 6, 2022) – Amgen (NASDAQ:AMGN) today announced the opening of a new research and development site in San Francisco's Oyster Point, continuing the company's nearly two-decade presence in the region. The new site will constitute the company's second largest research and development facility, which focuses on discovering therapeutics for patients living with cancer, inflammatory disease and cardiometabolic disorders., Headline: Top 20 Drug Companies in the World in 2022, source:Yahoo, summary: In this article, we will be taking a look at the top 20 drug companies in the world in 2022. To skip our detailed analysis, you can go directly to see the top 5 drug companies in the world in 2022. While major pharmaceutical companies have always been derided for considering profits over the well-being […], Headline: Amgen Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of Amgen Inc. slid 1.23% to $230.94 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index..., Headline: Amgen's short, big move designed to execute at corner of tech and biotech, source:Yahoo, summary: Amgen Inc. Chairman and CEO Bob Bradway acknowledges the company's move to a new R&D site in South San Francisco isn't a big deal — at least as far as geography — but as far as culture, recruitment, retention and the chance to deliver scientifically, it's huge.  Amgen officially opened its new research-and-development and office building Thursday in BioMed Realty's Gateway of Pacific complex., Headline: Buy Illumina Stock. The Biotech Is Lowering the Cost of Gene Sequencing., source:MarketWatch, summary: Illumina CEO Francis deSouza told analysts that the company can cut sequencing’s cost without crimping its 60%-plus gross margins.",AMGN
12,2022-10-07,"Headline: Amgen Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Amgen Inc. sank 0.83% to $229.03 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index..., Headline: U.S. buys radiation sickness drug as part of long-standing program, source:Reuters, summary: The U.S. government this week bought $290 million in supplies of a drug designed to treat blood cell injuries following radiological and nuclear emergencies as part of what it said were long-standing efforts to prepare for potential health impacts from threats to national...",AMGN
13,2022-10-08,"Headline: Wall Street Breakfast: What Moved Markets, source:SeekingAlpha, summary: Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify., Headline: 2 Healthcare Stocks That Could Help Make You a Fortune, source:Yahoo, summary: Contrary to popular belief, the simple approach to many things in life is often the most effective.  An investing quote from Motley Fool contributor Brian Feroldi that I believe is highly underrated goes as follows: ""Good investing is 99% patience and 1% action.""  The pharmaceutical giant Amgen (NASDAQ: AMGN) and medical devices maker Stryker (NYSE: SYK) are two healthcare stocks that appear poised to create wealth for shareholders who are patient and measured enough to let them.",AMGN
14,2022-10-09,"Headline: 7 Value Stocks That Are Too Cheap to Ignore, source:InvestorPlace, summary: With market and economic forces eschewing growth-focused companies, now may be the time to consider cheap value stocks to buy., Headline: Insiders at Amgen Inc. (NASDAQ:AMGN) sold US$4.9m worth of stock, possibly indicating weakness in the future, source:Yahoo, summary: The fact that multiple Amgen Inc. ( NASDAQ:AMGN ) insiders offloaded a considerable amount of shares over the past year...",AMGN
15,2022-10-10,"Headline: Is Amgen (AMGN) a Great Long-Term Bet?, source:Yahoo, summary: Aristotle Capital Management, LLC, an investment management company, released its “Aristotle Global Equity Fund” second quarter 2022 investor letter. A copy of the same can be downloaded here. In the second quarter, the fund returned -13.17% at NAV compared to a -15.66% return for the MSCI ACWI Index and -16.19% return for the MSCI World […], Headline: Amgen Inc. stock outperforms competitors on strong trading day, source:MarketWatch, summary: Shares of Amgen Inc. rose 1.36% to $232.15 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index..., Headline: S&P 500 rebounds from earlier losses, tries to snap 4-day losing streak, source:CNBC, summary: Market participants are anticipating key inflation data this week, as well as the release of major bank earnings. , Headline: Amgen (AMGN) Gains As Market Dips: What You Should Know, source:Yahoo, summary: Amgen (AMGN) closed at $232.15 in the latest trading session, marking a +1.36% move from the prior day., Headline: What You Missed On Wall Street On Tuesday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. JOBY, DAL, OFIX, SPNE, UBER, LYFT, FORG, FXJ, HZON, META, LULU, AMGN, ZM, RBLX, KLAC, VWAGY, AMZN, LLY, DICE, HL, WBA, SPWR, ANGI, LEG, ZYXI, AAL, NEPH, AZZ",AMGN
