,date,information,related
0,2022-09-22,"Headline: The Biden Administration Is Playing Hardball With M&A Deals, source:MarketWatch, summary: The Justice Department has signaled that it's more willing to bring antitrust challenges in court. What it could mean for Microsoft and Activision Blizzard.",ATVI
1,2022-09-23,"Headline: Microsoft’s Real Game With Activision, source:Yahoo, summary: If Microsoft wants to make investors some real money, here’s an idea: It should openly promise to keep “Call of Duty” on the PlayStation forever., Headline: The Sex Scandal That Gave Activision To Microsoft, source:SeekingAlpha, summary: ATVIâs CEO kept alleged rapes from board. With regulators circling, he had to go. Read more here., Headline: Activision Blizzard Inc. stock falls Friday, underperforms market, source:MarketWatch, summary: Shares of Activision Blizzard Inc. slid 2.70% to $74.95 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",ATVI
2,2022-09-24,"Headline: It’s Hard to Find a Good Tech Stock These Days. These 12 Have Held Up Best., source:MarketWatch, summary: In a turbulent market for tech, a few stocks, including Activision Blizzard and T-Mobile, have managed to limit their losses to less than 15%.",ATVI
3,2022-09-26,"Headline: Metaverse Stocks to Buy to Survive a 2022 Market Crash, source:InvestorPlace, summary: Microsoft (MSFT) announced acquisition of video game titan Activision (ATVI), implying metaverse stocks will soar in 2022, Headline: Activision Blizzard: You Won't Find Another Risk/Reward Like This, source:SeekingAlpha, summary: Activision Blizzard is a great investment from Risk/Reward perspective, as the Microsoft deal is likely to be closed. Read why I believe ATVI is a strong buy., Headline: Metaverse Stocks to Buy to Survive a Market Crash, source:Yahoo, summary: Source: PopTika/Shutterstock [Editor’s note: “Metaverse Stocks to Buy to Survive a Market Crash” was previously published in January 2022. It has since been updated to include the most relevant information available.] Back in January, one of the world’s largest companies — Microsoft (MSFT) — announced its largest acquisition ever when it said it was going to buy video game titan Activision (ATVI) for $69 billion. It was massive news because this acquisition is all about the metaverse.InvestorPla, Headline: Activision Blizzard: Spread To Microsoft Bid Expanded In Volatile Market, source:SeekingAlpha, summary: Regulators are looking into Microsoft's Activision Blizzard deal. Read more on why the deal will close, and if it doesn't, investors can still hold ATVI shares., Headline: Investors Should Avoid iRobot's Merger Arb Opportunity With Amazon, source:SeekingAlpha, summary: The iRobot-Amazon deal doesn't measure well on many of the factors regulators consider in challenging a merger. Read what investors need to know., Headline: Brave the Frozen North in World of Warcraft®: Wrath of the Lich King Classic™—Live Now, source:Yahoo, summary: IRVINE, Calif., September 26, 2022--The icy winds of Northrend are wailing once more, heralding news that Blizzard Entertainment’s Wrath of the Lich King Classic™ is now live. All players with an active subscription automatically receive access to the re-creation of WoW®’s acclaimed second expansion at no additional cost and can log in to begin their adventures into the frozen wilds of Azeroth’s northern continent today. The legendary story can be experienced on all realms previously dedicated t, Headline: Activision Blizzard, Inc (ATVI) Stock Moves -0.83%: What You Should Know, source:Yahoo, summary: Activision Blizzard, Inc (ATVI) closed the most recent trading day at $74.33, moving -0.83% from the previous trading session.",ATVI
4,2022-09-27,"Headline: Analystsâ Top Technology Picks: Activision Blizzard (ATVI), Adobe (ADBE), source:TipRanks, summary: There&#8217;s a lot to be optimistic about in the Technology sector as 3 analysts just weighed in on Activision Blizzard (<span class='tr-stock-ticker' style='color..., Headline: What You Missed This Week in Video Games, source:Thefly.com, summary: New 'FIFA' out this week NTDOY, SONY, MSFT, GOOG, GOOGL, NFLX, TTWO, LOGI, NVDA, ATVI, EA, UBSFY, OTGLY, WMT, RBLX, Headline: Why Warren Buffett Loves Activision Blizzard Stock, source:Yahoo, summary: The video game company is an acquisition target, but there are a few hurdles its would-be buyer will need to clear., Headline: Electronic Arts (EA) to Feature Musqueam Artwork in FIFA 23, source:Yahoo, summary: Electronic Arts (EA) recognizes the history, heritage and culture of the Musqueam Indian Band by including artwork and assets from Musqueam artists in FIFA 23, Headline: Activision Blizzard (ATVI) Launches WoWs Second Expansion, source:Yahoo, summary: Activision Blizzard (ATVI) releases World of Warcraft: Wrath of the Lich King at no additional cost to all players with an active World of Warcraft subscription.",ATVI
5,2022-09-28,"Headline: Warren Buffett Loves Activision Blizzard. Should You?, source:Yahoo, summary: There's no denying Warren Buffett is the greatest living investor.  Berkshire Hathaway has generated better than 20% compounded annual returns since 1965.  Although Buffett's performance in recent years has been well below that (about 8% a year over the past five years), it's his consistency over time that has attracted legions of investors to follow him., Headline: The 3 Best Stocks to Buy if You Have $500 to Spend, source:InvestorPlace, summary: PayPal, Microsoft and Alphabet are the best stocks for $500. Investors want high-quality stocks that have the potential to climb too., Headline: Buffett's Berkshire Gobbles a Further 6 Million OXY Shares, See What Else The Fund Traded Recently!, source:Fintel, summary: nan",ATVI
6,2022-09-29,"Headline: Saudi wealth fund's Savvy Games Group to invest $37.8 billion, source:Finnhub, summary: -Saudi Arabia's Savvy Games Group, owned by sovereign wealth fund PIF, will invest 142 billion riyals in initiatives aimed at making the kingdom a global hub for gaming, state news agency SPA said... | September 29, 2022, Headline: Compounders And Dividends: Building A Watchlist, source:SeekingAlpha, summary: I explain how I generate ideas and my methodology of adding companies to my watchlist. Read here to know the stocks in areas/sectors that I find interesting., Headline: Master the Skies of the Dragon Isles when World of Warcraft® Dragonflight Soars on November 28, source:Yahoo, summary: IRVINE, Calif., September 29, 2022--The ancestral home of dragonkind is stirring as Blizzard Entertainment today announced Dragonflight, the ninth expansion for the massively multiplayer online role-playing game World of Warcraft®, will be released worldwide on November 28 at 3:00 p.m., Headline: Activision Blizzard Chief Compliance Officer steps down, WSJ reports, source:Thefly.com, summary: Frances Townsend, who joi... ATVI",ATVI
7,2022-09-30,"Headline: Breaking Down Micron + Merger Opportunities With Chris DeMuth Jr., source:SeekingAlpha, summary: FOMC recap from a technical perspecive, bullish or bearish, and the Micron breakdown. Breaking down Micron's stock. Chris DeMuth Jr., Headline: EU antitrust regulators set Nov. 8 deadline for Microsoft, Activision decision, source:Reuters, summary: EU antitrust regulators will decide by Nov. 8 whether to clear Microsoft Corp's proposed $69 billion acquisition of ""Call of Duty"" maker Activision Blizzard, according to a European Commission filing on Friday., Headline: Activision Blizzard Compliance Chief Frances Townsend Steps Down, source:Yahoo, summary: Frances Townsend, who joined the Call of Duty publisher last year, played a central role in the videogame company’s response to sexual-harassment allegations., Headline: Activision’s Compliance Chief Steps Down Ahead of Microsoft Deal, source:Yahoo, summary: (Bloomberg) -- Activision Blizzard Inc.’s chief compliance officer, who drew scrutiny over her response to sexual assault allegations last year, is stepping down as the video game publisher seeks to close its sale to Microsoft Corp.Most Read from BloombergMacKenzie Scott Files for Divorce From Science Teacher HusbandTop Apple Executive Is Leaving After Making Crude Remarks in TikTok VideoMeta to Cut Headcount for First Time, Slash Budgets Across TeamsMarjorie Taylor Greene’s Husband Files for Di",ATVI
8,2022-10-03,"Headline: Twitch Stock: Is Twitch Publicly Traded? Is It A Buy?, source:TalkMarkets, summary: Is Twitch stock worth buying?  Is it even a publicly traded stock?  Read on to learn how to invest in Twitch., Headline: Activision Blizzard (ATVI) to Launch WoW Dragonflight on Nov 28, source:Yahoo, summary: Activision Blizzard (ATVI) is set to release World of Warcraft - Dragonflight on Nov 28, Headline: Activision Blizzard Inc. stock rises Monday, still underperforms market, source:MarketWatch, summary: Shares of Activision Blizzard Inc. inched 0.03% higher to $74.36 Monday, on what proved to be an all-around positive trading session for the stock market,..., Headline: Activision Blizzard, Inc (ATVI) Gains But Lags Market: What You Should Know, source:Yahoo, summary: In the latest trading session, Activision Blizzard, Inc (ATVI) closed at $74.36, marking a +0.03% move from the previous day., Headline: PlayStation eyes new investment for PC, mobile push, source:Finnhub, summary: Sony Group Corp'sgaming business is looking at fresh investment to bolster itspush into PC and mobile, a senior executive said, as thePlayStation 5 maker competes for talent with... | October 4, 2022",ATVI
9,2022-10-04,"Headline: Blizzard's 'Overwatch 2' experiencing cyberattack on its servers, source:Thefly.com, summary: Blizzard Entertainment (A... ATVI, MSFT, Headline: Should You Really Follow Warren Buffett Into Activision Blizzard Stock?, source:Yahoo, summary: The only way this arbitrage play makes sense is if you're willing to hold Activision stock for the long term., Headline: Activision Blizzard Withheld Raises From Unionizing Workers: Report, source:Yahoo, summary: Activision Blizzard, Inc (NASDAQ: ATVI) illegally retaliated against workers at Raven Software who formed a union, according to a report that cited National Labor Relations Board. The quality assurance (QA) department at subsidiary Raven Software, which primarily works on “Call of Duty,” announced that they would form a union in January. Activision Blizzard strived to block the union, reasoning that the union only comprises the 28-employee QA department, while Raven Software has around 230 emplo, Headline: What You Missed This Week in Video Games, source:Thefly.com, summary: Google shutters cloud gaming service Stadia after three years MSFT, SONY, NTDOY, ATVI, EA, TTWO, DIS, OTGLY, UBSFY, TCEHY, SQNXF, Headline: It's Go Time! Overwatch® 2 is Live Now and Free to Play on Console and PC With New Heroes, Maps, and More, source:Finnhub, summary: Three all-new new heroes bring the cast to 35 total, and players can experience six new globe-spanning maps, the new Push game mode, an updated Competitive mode, and much moreNew seasonal Battle... | October 4, 2022, Headline: Activision Blizzard Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of Activision Blizzard Inc. inched 0.86% higher to $75.00 Tuesday, on what proved to be an all-around positive trading session for the stock market,..., Headline: It’s Go Time! Overwatch® 2 is Live Now and Free to Play on Console and PC With New Heroes, Maps, and More, source:Yahoo, summary: IRVINE, Calif., October 04, 2022--Today marks the beginning of a new era for Blizzard Entertainment’s award-winning franchise: Overwatch® 2 is live now and free to play worldwide with cross-platform play and progression for all players on Windows® PC via Battle.net®, Xbox Series X|S, Xbox One, PlayStation®5, PlayStation®4, and Nintendo Switch™ consoles! Setting the stage for years to come, Overwatch 2 will receive substantial seasonal updates, often including features such as new heroes, maps, g, Headline: Activision-Microsoft deal: FTC and legislators are 'going to have to be satisfied,' analyst says, source:Yahoo, summary: Michael Pachter, Wedbush managing director of equity research, joins Yahoo Finance Live to discuss Activision Blizzard's new Overwatch 2, the Activision-Microsoft merger, mobile gaming, and Netflix's upcoming gaming studio in Finland., Headline: Activision Blizzard’s Overwatch 2 Hit With Cyberattack at Launch, source:Yahoo, summary: (Bloomberg) -- Activision Blizzard Inc. was hit with a cyberattack on Tuesday, causing wide-scale connectivity issues during the launch of its hotly anticipated Overwatch 2 video game. Most Read from BloombergMusk Revives $44 Billion Twitter Bid, Aiming to Avoid TrialLoretta Lynn, Coal Miner's Daughter And Country Queen, DiesElon Musk Sets Off Uproar in Ukraine by Tweeting His ‘Peace’ PlanBiden, Kishida Condemn North Korean Missile Launch Over JapanStock Shorts Fold in Best Two-Day Rally Since 2, Headline: What You Missed On Wall Street On Wednesday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. TWTR, TSLA, ATVI, MSFT, LW, HELE, EMR, BX, RPM, SGH, SCHN, BYRN, F, GM, GS, MS, CHD, BP, CVX, COP, XOM, SHEL, TTE, AAPL, AMZN, QUBT, RLGT, SLB, GOGL, LUMN, JOBY, SIMO, SHC",ATVI
