,date,information,related
0,2022-09-22,"Headline: AstraZeneca Gets EU Approval for Ultomiris Drug, source:MarketWatch, summary: By Sabela Ojea AstraZeneca PLC said Friday that its Ultomiris drug has been approved in the European Union for the treatment of adults with the rare disease..., Headline: LONDON BRIEFING: Smiths annual revenue rises; Made.com up for sale, source:Alliance News, summary: No summary, Headline: TOP NEWS: AstraZeneca's Ultomiris approved in EU for myasthenia gravis, source:Alliance News, summary: No summary",AZN
1,2022-09-23,"Headline: Ionis Pharmaceuticals announces AstraZeneca decision to not advance ION449 trial, source:Thefly.com, summary: Ionis Pharmaceuticals (IO... IONS, AZN, Headline: AstraZeneca's Ultomiris approved in Europe in gMG treatment, source:Thefly.com, summary: The company states: ""... AZN, Headline: VGK: Deutsche Bank Sees Brutal EU Economic Contraction In 2023, Yet It May Still Be Overly Optimistic, source:SeekingAlpha, summary: Deutsche Bank expects EU economy to contract 2.2%. Read more to see why EU as a whole will underperform and VGK ETF's significant headwinds., Headline: AstraZeneca Pulls Plug On Ionis Pharma-Partnered Cholesterol Med, source:Yahoo, summary: Ionis Pharmaceuticals Inc (NASDAQ: IONS) announced topline data from the Phase 2b SOLANO study of ION449 (AZD8233) for hypercholesterolemia (high cholesterol levels). Ionis said that although the candidate met the primary endpoint, its partners at AstraZeneca Plc (NASDAQ: AZN) have decided not to move it into Phase III studies because the ""results did not achieve pre-specified efficacy criteria."" The trial showed that 60mg of ION449 (AZD8233) administered monthly achieved a statistically signifi, Headline: Ionis Pharmaceuticals Nosedives After AstraZeneca Drops High Cholesterol Drug Test, source:Yahoo, summary: Ionis stock tumbled Friday after partner AstraZeneca decided against sending their high cholesterol treatment into Phase 3 testing., Headline: Pharma Stock Roundup: EU Nod to AZN & RHHBY Drugs, FDA Updates for LLY & MRK, source:Yahoo, summary: Roche's (RHHBY) eye drug, Vabysmo and AstraZeneca's (AZN) asthma drug Tezspire get approval in Europe. The FDA approves expanded use of Lilly's (LLY) cancer drug, Retevmo., Headline: AstraZeneca PLC ADR underperforms Friday when compared to competitors, source:MarketWatch, summary: The AstraZeneca PLC ADR shed 3.07% to $54.58 Friday, on what proved to be an all-around rough trading session for the stock market, with the NASDAQ Composite..., Headline: ADRs End Lower, Alibaba and AstraZeneca Trade Actively, source:MarketWatch, summary: By Denny Jacob International stocks trading in New York closed lower on Friday. The S&P/BNY Mellon index of American depositary receipts dropped 3.4% to..., Headline: Ionis' (IONS) Hypercholesterolemia Drug Not to Enter Phase III, source:Yahoo, summary: Ionis (IONS) posts data from the phase IIb SOLANO study on ION449 for treating hypercholesterolemia. Though the study met the primary endpoint, ION449 will not advance into phase III development.",AZN
2,2022-09-24,"Headline: 3 Medical Stocks Displaying Remarkable Relative Strength In 2022, source:TalkMarkets, summary: 3 medical stocks that displayed a substantial amount of relative strength year-to-date.",AZN
3,2022-09-25,"Headline: GSK Appoints Julie Brown as New CFO, source:MarketWatch, summary: By Ian Walker GSK PLC said Monday that it has appointed Julie Brown as its new chief financial officer, replacing Iain Mackay, from May 2023. The..., Headline: LONDON BRIEFING: Unilever CEO to step down; RPS backs new takeover bid, source:Alliance News, summary: No summary, Headline: TOP NEWS: GSK names Burberry's Julie Brown as new CFO from May, source:Alliance News, summary: No summary",AZN
4,2022-09-26,"Headline: 10 Best Diabetes Stocks To Buy Now, source:Yahoo, summary: In this article, we discuss the 10 best diabetes stocks to buy now. If you want to read about some more diabetes stocks, go directly to 5 Best Diabetes Stocks To Buy Now. The diabetes market has grown in the past few years as organizations and individuals in the private and public domains make significant […], Headline: AstraZeneca's (AZN) Ultomiris Gets EC Nod for New Indication, source:Yahoo, summary: AstraZeneca's (AZN) Ultomiris becomes the first and only long-acting C5 inhibitor to be approved for gMG in Europe.",AZN
5,2022-09-27,"Headline: TOP NEWS: AstraZeneca's Tezspire and Koselugo approved in Japan, source:Alliance News, summary: No summary, Headline: 7 Vaccine Stocks to Sell ASAP Now That the 'Pandemic's Over', source:InvestorPlace, summary: Investors have seven widely-followed vaccine stocks to sell now, after the world decided the pandemic is over., Headline: AstraZeneca's Tezspire approved in Japan for severe asthma treatment, source:Thefly.com, summary: The company states: ""... AZN, Headline: AstraZeneca's Koselugo approved in Japand for pediatric plexiform neurofibromas, source:Thefly.com, summary: The company states: ""... AZN, Headline: Wall Street Breakfast: Dollar Vs. Stocks, source:SeekingAlpha, summary: Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify. Dollar vs. Stocks The U.S., Headline: Adding $100 to These 7 Stocks Would Be a Genius Move Right Now, source:Yahoo, summary: You don't need a mountain of cash to build wealth on Wall Street -- especially with deals like these., Headline: 7 Vaccine Stocks to Sell ASAP Now That the ‘Pandemic’s Over’, source:Yahoo, summary: As people acclimatize to the new normal, it’s time to look at some vaccine stocks to sell. Instead of relying primarily on vaccines and antiviral drugs, the government let people manage infections. Once infected with the less fatal strain, Omicron, people would isolate themselves for a few days and then return to work. By shifting away from its reliance on drug companies, investors must recognize there are vaccine stocks that it’s time to sell. The government cut orders for vaccines and antivira, Headline: Japan Approves AstraZeneca's Two Treatments For Asthma, Rare Form Of Cancer, source:Yahoo, summary: Japan's health agency has approved AstraZeneca Plc's (NASDAQ: AZN) Koselugo (selumetinib) for pediatric patients with plexiform neurofibromas (PNs) in neurofibromatosis type 1 (NF1) with clinical symptoms and which cannot be entirely removed by surgery without the risk of substantial morbidity. The approval is based on positive results from the SPRINT Stratum 1 Phase 2 trial that showed Koselugo reduced the size of inoperable tumors in children. The SPRINT Stratum 1 Phase 2 trial showed Koselugo",AZN
6,2022-09-28,"Headline: 7 Large-Cap Stocks With Sustained Dividend Growth Potential, source:InvestorPlace, summary: Large-cap stocks with dividend growth potential have robust cash flows and are likely to increase their dividends in the coming years., Headline: Covid vaccination linked to slight increase in menstrual cycle, NIH study confirms, source:CNBC, summary: A change in menstrual cycle length of eight days or less is considered within the normal range of variation, according to NIH., Headline: Cantor Fitzgerald healthcare analysts to hold KOL luncheon panel, source:Thefly.com, summary: In conjunction with Canto... AZN, AMGN, MRTX, GILD, IMAB, NVS, SURF, PFE, ALXO, RHHBY, MRK, Headline: PhaseBio Might Have To Return Global Rights To Its Lead Program, source:Yahoo, summary: PhaseBio Pharmaceuticals Inc (NASDAQ: PHAS) received a notice that its partner SFJ Pharmaceuticals Group elected to transfer bentracimab rights to SFJ as PhaseBio failed to remedy its Going Concern Condition. Formerly known as PB2452, bentracimab reverses the effects of AstraZeneca Plc's (NASDAQ: AZN) blood thinner Brilinta (ticagrelor) In January 2020, PhaseBio announced a financing and co-development partnership with SFJ Pharmaceuticals. PhaseBio retains exclusive worldwide commercial rights., Headline: AZN vs. LLY: Which Stock Is the Better Value Option?, source:Yahoo, summary: AZN vs. LLY: Which Stock Is the Better Value Option?, Headline: Apellis Pharmaceuticals: Trying To Develop A Blockbuster Franchise, source:SeekingAlpha, summary: APLS' flagship product was rolled out last year, is pursuing other indications, and could eventually achieve blockbuster status. Read more on the stock here.",AZN
7,2022-09-29,"Headline: LONDON BROKER RATINGS: GSK raised to 'outperform'; RBC cuts THG, source:Alliance News, summary: No summary, Headline: GLOBAL BROKER RATINGS: Nordisk and GSK raised; BofA cuts Apple, source:Alliance News, summary: No summary",AZN
8,2022-09-30,"Headline: 5 Dividend Growth Stocks to Beat Market Volatility, source:Yahoo, summary: Coca-Cola (KO), General Dynamics (GD), AstraZeneca (AZN), Boise Cascade (BCC), and Insperity (NSP) that offer dividend growth could be compelling picks amid market volatility.",AZN
9,2022-10-02,"Headline: Investors shouldn't have to choose between 'growth' and 'safety' – this stock offers both, source:Yahoo, summary: Investing in shares is a tough task at the best of times. The stock market’s continual ebb and flow between joy and despair means that investors can frequently find themselves on the wrong side of consensus views for extended periods.",AZN
