,date,information,related
0,2022-09-23,"Headline: How an oil fracking boom to bust startup plans to thrive in the climate change era, source:CNBC, summary: The fracking boom was the money maker in Microseismic's early days, but the science and geological uses have evolved in surprising ways. , Headline: Baker Hughes reports U.S. rig count up 1 to 764 rigs, source:Thefly.com, summary: Baker Hughes reports that... BKR, Headline: U.S. drillers add oil and gas rigs for second week in a row - Baker Hughes, source:Finnhub, summary: U.S. energy firms this week addedoil and natural gas rigs for a second week in a row even as therig count was on track to fall for a second consecutive month assupply chain disruptions and... | September 23, 2022, Headline: Baker Hughes data show a second straight weekly climb in active U.S. oil-drilling rigs , source:MarketWatch, summary: Baker Hughes undefined on Friday reported that the number of active U.S. rigs drilling for oil rose by three to 602 this week. That followed an increase of..., Headline: Baker Hughes data show a second straight weekly climb in active U.S. oil-drilling rigs, source:Yahoo, summary: MARKET PULSE Baker Hughes (bkr) on Friday reported that the number of active U.S. rigs drilling for oil rose by three to 602 this week. That followed an increase of eight the week before. The total active U., Headline: Economic data and earnings expected next week, source:Yahoo, summary: Yahoo Finance Live anchor Dave Briggs highlights the economic data and company earnings report to watch out for next week.",BKR
1,2022-09-26,"Headline: Permian Oil Drilling Rig Count Rises for Two Straight Weeks, source:Yahoo, summary: In its weekly release, Baker Hughes Company (BKR) reports that the oil rig count is higher in the Permian Basin., Headline: Weekly Oilfield Services Value And Momentum, source:SeekingAlpha, summary: Oilfield services were exceptionally volatile last week as crude oil and natural gas declined 7.8% and 10% respectively. Read more here., Headline: Panametrics Employees Adapt PlayStations To Benefit Children's Ward at University Hospital Limerick, source:Yahoo, summary: Employees from Panametrics, a Baker Hughes business, manufactured and donated three uniquely mobile video game station stands to the Childrens' Ark Ward at the University Hospital Limerick (UHL).",BKR
2,2022-09-27,"Headline: 4 Low Price-Book Ratio Stocks - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Alberto Abaterusso and the topic is about: These companies could be value opportunities, Headline: Cadence Design Systems and Synaptics have been highlighted as Zacks Bull and Bear of the Day, source:Yahoo, summary: Cadence Design Systems and Synaptics are part of Zacks Bull and Bear of the Day article., Headline: Stocks making the biggest moves midday: Hertz, Ford, Keurig Dr Pepper and more , source:CNBC, summary: These are the stocks posting the largest moves midday.",BKR
3,2022-09-28,"Headline: Where Will C3.ai Stock Be in 3 Years?, source:Yahoo, summary: Three troubling hints indicate this partnership could be in trouble: Baker Hughes already renegotiated lower revenue commitments to extend the agreement last year, it divested its own equity stake in C3.ai, and it invested in C3.ai's competitor Augury instead.  If Baker Hughes walks away from the JV, C3.ai's revenue will plummet.  To diversify away from Baker Hughes and other large customers, C3.ai is aggressively pursuing smaller contracts from smaller customers., Headline: Straight Talk From a Gas Disruptor, source:Yahoo, summary: Tellurian is on a mission to help tackle the world's dual challenges of the need for more energy and the drive to a lower carbon future. Their President and CEO talks about why Tellurian is pursuing an integrated model for its Driftwood LNG project in Louisiana, what that means and the roles governments, industry and technology must play to ensure energy equity in addition to decarbonization.",BKR
4,2022-09-29,"Headline: Top 10 Stock Picks of Touk Sinantha’s AltraVue Capital, source:Yahoo, summary: In this article, we will discuss Top 10 Stock Picks of Touk Sinantha’s AltraVue Capital. You can skip our detailed analysis of AltraVue Capital’s strategy and Touk Sinantha’s investment style and go directly to Top 5 Stock Picks of Touk Sinantha’s AltraVue Capital. Touk Sinantha is a co-founder at AltraVue Capital, which is an investment […], Headline: Baker Hughes : Announces Service Contract with Coral FLNG in Mozambique, source:Finnhub, summary: Contract builds upon prior contracts for facility's rotating equipment for power and gas refrigeration process The Outcome-based Service Contract... | September 29, 2022",BKR
5,2022-09-30,"Headline: Baker Hughes reports U.S. rig count up 1 to 765 rigs, source:Thefly.com, summary: Baker Hughes reports that... BKR, Headline: Baker Hughes data show a third-straight weekly rise in active U.S. oil-drilling rigs , source:MarketWatch, summary: Baker Hughes undefined on Friday reported that the number of active U.S. rigs drilling for oil rose by two to 604 this week. That followed increases in each..., Headline: Natural Gas and LNG Are Essential for the Energy Transition, Says Baker Hughes, source:Yahoo, summary: NORTHAMPTON, MA / ACCESSWIRE / September 30, 2022 / Baker Hughes Rod Christie, the President & CEO of Turbomachinery & Process Solutions at Baker Hughes, spoke to Energy Connects during Gastech 2022 about how natural gas will remain vital in providing ..., Headline: Baker Hughes data show a third-straight weekly rise in active U.S. oil-drilling rigs, source:Yahoo, summary: MARKET PULSE Baker Hughes (bkr) on Friday reported that the number of active U.S. rigs drilling for oil rose by two to 604 this week. That followed increases in each of the past two weeks. The total active U., Headline: U.S. oil & gas rig quarterly growth slowest in two years -Baker Hughes, source:Yahoo, summary: U.S. energy firms this week added oil and natural gas rigs for a third week in a row, but growth in the third quarter slowed due to recession fears and nagging supply shortages.  The oil and gas rig count, an early indicator of future output, rose one to 765 in the week to Sept. 30, energy services firm Baker Hughes Co said in its closely followed report on Friday.  Baker Hughes said that puts the total rig count up 237, or 45%, over this time last year.",BKR
6,2022-10-03,"Headline: Stock market: Energy stocks lead gains, Tesla stock slides, source:Yahoo, summary: Yahoo Finance’s Jared Blikre breaks down how markets opened on Monday., Headline: Permian Oil Rig Count Rises in Two of Past Three Weeks, source:Yahoo, summary: In its weekly release, Baker Hughes Company (BKR) reports that the oil rig count is flat in the Permian Basin.",BKR
7,2022-10-04,"Headline: Baker Hughes price target lowered to $36 from $40 at Citi, source:Thefly.com, summary: Citi analyst Scott Gruber... BKR",BKR
8,2022-10-05,"Headline: Energy Stocks Are Rising on OPEC’s Production Cut, source:MarketWatch, summary: The oil cartel and its allies, including Russia, will cut production by two million barrels a day. The move is ""very bullish,"" says Goldman., Headline: The Zacks Analyst Blog Highlights Baker Hughes, EOG Resources and Continental Resources, source:Yahoo, summary: Baker Hughes, EOG Resources and Continental Resources are part of the Zacks top Analyst Blog.",BKR
9,2022-10-06,"Headline: Baker Hughes price target lowered to $39 from $44 at Barclays, source:Thefly.com, summary: Barclays analyst J. David... BKR, Headline: 3 Things About C3.ai Stock That Smart Investors Know, source:Yahoo, summary: Most investors likely know three basic things about the enterprise AI software company C3.ai (NYSE: AI).  First, its founder and CEO Thomas Siebel previously founded Siebel Systems, and sold it to Oracle (NYSE: ORCL) for $5.85 billion in 2006.  It quickly lost its luster as rising interest rates drove investors away from pricier and unprofitable growth stocks.",BKR
