,date,information,related
0,2020-08-06,"Headline: 10 Biggest Telecommunications Companies, source:Yahoo, summary: With AT&T leading the pack, these are the 10 biggest telecommunications companies by 12-month trailing revenue.",CMCSA
1,2022-07-20,"Headline: Telecom Stocks To Watch And Industry News, source:Yahoo, summary: Track the latest news and stocks to watch in the telecom industry, including AT&T, Verizon and T-Mobile.",CMCSA
2,2022-09-22,"Headline: Bet On It: Sports betting put on backburner in Missouri, source:Thefly.com, summary: BetMGM partners with NBC Sports on 2022 NFL season, Hong Kong announcement on reopening imminent and other notable stories in the sports betting and iGaming space. IGAC, ELYS, PENN, MGM, GMVHF, CMCSA, CMCSK, BRAG, BALY, LVS, MLCO, WYNN, PDYPY, BYD, ACEL, CZR, CHDN, GAN, GENI, RSI, Headline: Philadelphia Flyers and Wells Fargo Center add Snickers manufacturer as corporate partner, source:Yahoo, summary: Mars Inc., the Virginia-based maker of Snickers, M&M's and Milky Way candies, has signed a deal to be an official partner of the Philadelphia Flyers and the Wells Fargo Center.  Financial terms of the agreement were not disclosed.  Under the partnership, Mars will get ""several highly visible assets"" including a static in-ice logo placement; naming rights of the Flyers Community Ticket Grant Program, which will be presented by Snickers; and a game sponsorship which will include ""creative fan giveaways.""",CMCSA
3,2022-09-23,"Headline: Samsung Electronics Tapped To Support Comcast's 5G Connectivity Efforts, source:Finnhub, summary: Samsung's 5G RAN solutions provide Comcast new ways to deliver a seamless connectivity experience wherever and whenever Xfinity Mobile and Comcast Business Mobile customers need it mostSamsung... | September 23, 2022, Headline: Comcast call volume above normal and directionally bullish, source:Thefly.com, summary: Bullish option flow detec... CMCSA, Headline: Comcast to Host Third Quarter 2022 Earnings Conference Call, source:Yahoo, summary: PHILADELPHIA, September 23, 2022--Comcast Corporation will host a conference call with the financial community to discuss financial results for the third quarter on Thursday, October 27, 2022, at 8:30 a.m. Eastern Time (ET). Comcast will issue a press release reporting its results earlier that morning., Headline: Disney: Business Rebound Underway Making It A Buy, source:SeekingAlpha, summary: Since we first recommended Disney, the stock has been down some 32%, making the stock much more reasonably priced at the current levels. Read more here., Headline: ESPN would help Disney and Comcast settle a score, source:Reuters, summary: When it comes to modern corporate sagas, few deliver the drama between Walt Disney and Comcast. Their rivalry adds intrigue to the desire of Disney boss Bob Chapek to acquire the rest of streaming service Hulu from the cable operator sooner rather than later. Comcast Chief..., Headline: Comcast Corp. Cl A stock falls Friday, underperforms market, source:MarketWatch, summary: Shares of Comcast Corp. Cl A slid 1.94% to $31.84 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500..., Headline: Hulu Lost All 20 Seasons of ‘Keeping Up With the Kardashians’ and Other NBCU Shows, Which Are Now on Peacock, source:Yahoo, summary: Hulu’s loss is Peacock’s gain. NBCUniversal’s claw-back of programming rights from Disney’s Hulu has resulted in the removal this week of dozens of past seasons of popular shows on the streamer — including the entire run of “Keeping Up With the Kardashians” — as those have now flown over to NBCU’s own Peacock. Seasons 1-20 […], Headline: Comcast (CMCSA) Dips More Than Broader Markets: What You Should Know, source:Yahoo, summary: Comcast (CMCSA) closed at $31.84 in the latest trading session, marking a -1.94% move from the prior day., Headline: Comcast offers grants to Oakland small businesses owned by women and people of color, source:Yahoo, summary: One Black entrepreneur said she views grants as her version of venture capital for her small business.",CMCSA
4,2022-09-25,"Headline: Box Office Battle: ‘Don’t Worry Darling’ wins weekend with $19.2M debut, source:Thefly.com, summary: nan, Headline: Disney World, Universal, and SeaWorld Eye Hurricane Ian, source:Yahoo, summary: Central Florida's theme parks could close if the latest windstorm to threaten Florida makes landfall later this week.",CMCSA
5,2022-09-26,"Headline: Compounders And Dividends: A Portfolio, source:SeekingAlpha, summary: I have a strong focus on filling my portfolio with a large quantity of high-quality companies. Click here to read more., Headline: Guild Esports shares rocket on global sponsorship deal with Sky, source:Alliance News, summary: No summary, Headline: C3.ai, Ollieâs Bargain Outlet, Comcast: Analysts have a 100% Track Record on These Stocks, source:TipRanks, summary: Three analysts boast a 100% track record of generating successful calls on these three companies: Enterprise artificial intelligence (AI) software maker C3.ai (NYSE..., Headline: Insiders who sold Comcast Corporation (NASDAQ:CMCSA) earlier this year probably made the right call as market cap dropped by US$12b, source:Yahoo, summary: Insiders at Comcast Corporation ( NASDAQ:CMCSA ) sold US$397k worth of stock at an average price of US$44.50 a share..., Headline: CITY OF SEATTLE PARTNERS WITH COMCAST TO ANNOUNCE $1 MILLION IN GRANTS TO LOCAL SMALL BUSINESSES, source:Yahoo, summary: The Comcast RISE Grants Will Benefit Businesses Owned by Women and People of Color in King & Pierce Counties",CMCSA
6,2022-09-27,"Headline: Universal Orlando closing for two days ahead of Hurricane Ian, CNBC says, source:Thefly.com, summary: Comcast's (CMCSA) Un... CMCSA, CMCSK, DIS, Headline: Comcast price target lowered to $51 from $57 at Credit Suisse, source:Thefly.com, summary: Credit Suisse analyst Dou... CMCSA, CMCSK, Headline: Charter price target lowered to $551 from $676 at Credit Suisse, source:Thefly.com, summary: Credit Suisse analyst Dou... CHTR, CMCSA, CMCSK, Headline: Comcast (CMCSA) Receives a Buy from Credit Suisse, source:TipRanks, summary: Credit Suisse analyst Douglas Mitchelson maintained a Buy rating on Comcast (CMCSA &#8211; Research Report) today and set a price target of $51.00. The company&#821..., Headline: Hurricane Ian snarls air travel in western Florida , source:CNBC, summary: Tampa International Airport said it would suspend operations on Tuesday afternoon., Headline: COMCAST TO OPEN NEW XFINITY STORE IN EDINA, MINNESOTA, source:Yahoo, summary: Open Daily, the Store Offers Customers Best-in-Class Products and Services, Headline: The Fallacy Of Inflation Protection Through Dividend Yields - Altria And Houlihan Lokey In Focus, source:SeekingAlpha, summary: The article will demonstrate the fallacy of inflation protection through dividend yields using the example of Altria and Houlihan Lokey. Read more here., Headline: Walt Disney World, Universal Studios Orlando to close parks as Hurricane Ian approaches Florida, source:CNBC, summary: Disney's Animal Kingdom, Hollywood Studios, Epcot and Magic Kingdom will be closed Wednesday and Thursday., Headline: Charter's (CHTR) Spectrum Launches on Comcast XClass TV, source:Yahoo, summary: Charter Communications' (CHTR) Spectrum launches Spectrum TV app on XClass TV to drive customer base., Headline: 10 Best Dividend Stocks to Buy According to Morgan Stanley’s Quant Screen, source:Yahoo, summary: In this article, we will discuss the 10 dividend paying stocks to buy according to Morgan Stanley’s quant screen. If you want to explore similar stocks, you can also take a look at 5 Best Dividend Stocks to Buy According to Morgan Stanley’s Quant Screen. Morgan Stanley’s Base Case: S&P Falling to $3,400 by Year […], Headline: Disney to shutter Florida theme parks as Hurricane Ian draws near, source:Finnhub, summary: Walt Disney Co will closeits theme and water parks on Wednesday and Thursday as HurricaneIan nears the coast of Florida, the company said on Tuesday. Residents of Florida's Gulf Coast... | September 27, 2022, Headline: Flights Snarled, Theme Parks Shut as Florida Braces for Hurricane Ian, source:MarketWatch, summary: More than 1,700 U.S. flights have been canceled for Wednesday, including hundreds to and from Miami, Orlando, Tampa, and Fort Lauderdale airports., Headline: Amazon temporarily closes some Florida warehouses as Hurricane Ian approaches, source:CNBC, summary: Employees at Amazon sites near Tampa and Orlando received notices of temporary closures., Headline: Comcast NBCUniversal Celebrates Hispanic Heritage Month, source:Yahoo, summary: All year long, Comcast NBCUniversal is committed to recognizing the contributions and influence of Hispanic and Latino communities to our history, culture, and achievements of our company., Headline: #SocialStocks: Details of Musk's deposition by Twitter still being hammered out, source:Thefly.com, summary: Meta tests one interface for Facebook and Instagram, Elliot calls for Pinterest sale, and other notable stories from this week. CAH, WDC, TWTR, TSLA, ECL, DIS, CMCSA, CMCSK, KO, META, DTEGY, ORAN, TEF, VOD, GOOGL, GOOG, NFLX, AAPL, PTON, SNAP, PYPL, PINS, SU, SWCH",CMCSA
7,2022-09-28,"Headline: Comcast price target lowered to $46 from $60 at Benchmark, source:Thefly.com, summary: Benchmark analyst Matthew... CMCSA, Headline: Lionsgate leaning toward spinning off its studio business instead of Starz, source:CNBC, summary: Lionsgate hasn't given up on also selling a minority stake in Starz, but there's more investor interest in the studio business., Headline: Want Better Returns? Don't Ignore These 2 Consumer Discretionary Stocks Set to Beat Earnings, source:Yahoo, summary: Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates., Headline: Here's Why Comcast (CMCSA) is a Strong Value Stock, source:Yahoo, summary: Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service., Headline: Disney World: Sorry Folks, Park's Closed, source:Yahoo, summary: With Hurricane Ian intensifying and preparing to slice through the state of Florida, theme parks had no choice but to lock their turnstiles for the safety of their guests and employees.  Disney (NYSE: DIS) is closing all of its Florida theme parks on Wednesday and Thursday.  Nearby competitors SeaWorld Entertainment (NYSE: SEAS) and Comcast's (NASDAQ: CMCSA) Universal are also shuttering their gated attractions for both days., Headline: Exclusive-Brands blast Twitter for ads next to child pornography accounts, source:Reuters, summary: Some major advertisers including Dyson, Mazda and chemicals company Ecolab have suspended their marketing campaigns or removed their ads from parts of Twitter because their promotions are appearing alongside tweets soliciting child pornography, the companies told Reuters., Headline: Meta Tops Morningstar List of Undervalued Stocks, source:Yahoo, summary: Morningstar created a roster of the most undervalued stocks among the ones to which it assigns a wide moat., Headline: Top Research Reports for Broadcom, Comcast & Equinor, source:Yahoo, summary: Today's Research Daily features new research reports on 16 major stocks, including Broadcom Inc. (AVGO), Comcast Corp. (CMCSA) and Equinor ASA (EQNR)., Headline: Stocks And Sectors With The Biggest Declines, source:SeekingAlpha, summary: The average stock in the Russell 3000 was down 41.7% from its 52-week high as of the close on Monday. Across the entire Russell 3000, weâve seen more than $13 trillion in market cap erased.",CMCSA
8,2022-09-29,"Headline: Comcast price target lowered to $34 from $42 at Barclays, source:Thefly.com, summary: Barclays analyst Kannan V... CMCSA, Headline: Comcast price target lowered to $33 from $39 at Wolfe Research, source:Thefly.com, summary: Wolfe Research analyst Pe... CMCSA, T, VZ, Headline: Warner Bros. Discovery CEO says company not for sale, Deadline reports, source:Thefly.com, summary: Warner Bros Discovery (WB... WBD, CMCSA, CMCSK, Headline: FreeWheel and Comscore Launch Advanced Connected TV Contextual Targeting Capabilities on FreeWheel's Demand-Side Platform Beeswax, source:Finnhub, summary: Comscore’s advanced contextual segments are now available directly in the Beeswax Platform for advertisers to target across all major industry verticals.The integration is the first step to... | September 29, 2022, Headline: The underlying theme for telecom stocks is price increases, says LightShed's Walter Piecyk, source:CNBC, summary: Walter Piecyk, LightShed Partners analyst, joins CNBC's 'Squawk Box' to break down the latest moves in telecom stocks like AT&T, Verizon, T-Mobile and more., Headline: CMCSA November 11th Options Begin Trading, source:Stock Options Channel, summary: Staff article entitled CMCSA November 11th Options Begin Trading, about stock options, from Stock Options Channel., Headline: From 'Derry Girls' to 'The White Lotus,' here's what's worth streaming in October 2022, source:MarketWatch, summary: Netflix, Disney+, Amazon Prime Video rise to the top in an otherwise frightfully humdrum month., Headline: Comcast put volume heavy and directionally bearish, source:Thefly.com, summary: Bearish flow noted in Com... CMCSA, Headline: Wolfe Research Keeps Their Sell Rating on Comcast (CMCSA), source:TipRanks, summary: Wolfe Research analyst Peter Supino maintained a Sell rating on Comcast (CMCSA &#8211; Research Report) today and set a price target of $33.00. The company&#8217;s ..., Headline: FreeWheel and Comscore Launch Advanced Connected TV Contextual Targeting Capabilities on FreeWheel’s Demand-Side Platform Beeswax, source:Yahoo, summary: NEW YORK, September 29, 2022--Today, FreeWheel and Comscore announced a partnership that expands the Connected TV (CTV) contextual targeting capabilities available through FreeWheel’s demand-side platform, Beeswax. Media buyers using the Beeswax platform now have access to Comscore’s Predictive Audiences and CTV brand protection offering. The new offering will help marketers more easily identify valuable impressions and reach the right viewers in a privacy-forward manner across a fragmented prem, Headline: The Zacks Analyst Blog Highlights Broadcom, Comcast, Equinor, Intuit and Sanofi, source:Yahoo, summary: Broadcom, Comcast, Equinor, Intuit and Sanofi are part of The Zacks top Analyst Blog., Headline: Comcast Corporation (NASDAQ:CMCSA) Looks Like A Good Stock, And It's Going Ex-Dividend Soon, source:Yahoo, summary: Readers hoping to buy Comcast Corporation ( NASDAQ:CMCSA ) for its dividend will need to make their move shortly, as..., Headline: As Hurricane Ian Lashes Florida, Insurers Face $40 Billion in Damage Claims, source:Yahoo, summary: Hurricane Ian brings widespread power outages, and flooding is expected to cause significant property damage. It has weakened to a Category 1 storm., Headline: Ian Tears Through Florida’s Tourism Industry, source:MarketWatch, summary: Walt Disney and Universal Studios theme parks in Orlando are set to reopen on Friday. SeaWorld said it would reopen on Saturday., Headline: EVERGREEN GOODWILL PARTNERS WITH COMCAST TO OPEN NEW HIGH-TECH COMMUNITY LEARNING SPACE FOR EDUCATION AND JOB TRAINING RESOURCES IN BELLINGHAM, source:Yahoo, summary: New Lift Zone Provides Free WiFi Access to Families Across Whatcom County Looking for Online Resources, Learning Digital Skills, and Accessing Vital Technology Needed for Education and Employment, Headline: Comedy Sensation Jo Koy's Cinematic Debut EASTER SUNDAY is Coming to Digital on October 4, 2022, and Blu-Ray/DVD October 18, 2022, source:GlobeNewswire, summary: No summary",CMCSA
9,2022-09-30,"Headline: AT&T, Verizon and Comcast stocks just had their worst quarter in two decades, source:Yahoo, summary: Some of the biggest telecommunications stocks just posted their steepest quarterly declines in two decades amid pressures new and old on the cable and wireless industries.",CMCSA
