,date,information,related
0,2022-09-28,"Headline: Andrew Florance Named Visionary of the Year and CEO of the Year at the 10th Annual CEO World Awards, source:Yahoo, summary: WASHINGTON, September 28, 2022--Andrew Florance, Founder and Chief Executive Officer of CoStar Group (NASDAQ: CSGP), a leading provider of online real estate marketplaces, information and analytics in the commercial and residential property markets, today was recognized with two winning nominations for Globee Awards’ 10th Annual CEO World Awards. Mr. Florance was named Globee Visionary Leader of the Year and Globee CEO of the Year (Technology).",CSGP
1,2022-09-29,"Headline: CoStar Group - Andrew Florance Named Visionary of the Year and CEO of the Year at the 10th Annual CEO World Awards, source:Finnhub, summary: WASHINGTON - Andrew Florance, Founder and Chief Executive Officer of CoStar Group , a leading provider of online real estate marketplaces, information and analytics in the commercial and residential... | September 29, 2022",CSGP
2,2022-09-30,"Headline: STR: U.S. hotel results for week ending 24 September, source:Finnhub, summary: HENDERSONVILLE, Tennessee - U.S. hotel performance increased from the previous week and showed improved comparisons with 2019, according to STR's latest data through 24 September.18-24 September... | September 30, 2022, Headline: CoStar : Latest Transaction Volume Pulls Back As Absorption Weakens; Price Indices Diverge, source:Finnhub, summary: Sep 30, 2022 Net Absorption Expected To Slide For The Forth Consecutive Quarter CCRSI RELEASE - September 2022 ... | September 30, 2022, Headline: Lakehouse Capital is Confident on the Growth Prospects of CoStar Group (CSGP), source:Yahoo, summary: Lakehouse Capital, an investment management company, released its “Lakehouse Global Growth Fund” July 2022 investor letter. A copy of the same can be downloaded here. July was an eventful month, and the fund returned 11.1% net of fees and expenses compared to 5.4% for its benchmark. In addition, please check the fund’s top five holdings […], Headline: CoStar: Stagnant Growth And Higher Interest Rates Could Drive The Share Price Down, source:SeekingAlpha, summary: CoStar has over 30 years of experience in their database of commercial real estate and is by far the best in the industry. Read why CSGP stock is overvalued.",CSGP
3,2022-10-02,"Headline: Tracking Ron Baron's BAMCO Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Ron Baron's 13F portfolio value decreased from $40.75B to $31.14B this quarter. Click here to read more about BAMCO's holdings and trades for Q2 2022.",CSGP
4,2022-10-03,"Headline: CoStar : to Report Financial Results for Third Quarter 2022 on October 25, 2022, source:Finnhub, summary: Oct 03, 2022 WASHINGTON - October 3, 2022 -- CoStar Group, Inc. will announce financial results for the third quarter 2022 following the market close on Tuesday,... | October 3, 2022",CSGP
5,2022-10-04,"Headline: Apartments.com Publishes Q3 2022 Rent Growth Report, source:Yahoo, summary: WASHINGTON, October 04, 2022--Today, Apartments.com – a CoStar Group company – released an in-depth report of multifamily rent growth trends for Q3 2022 backed by analyst observations. The report highlights the stark reversal of fortune across the multifamily market, including rent decreases in the largest markets, major slowdowns across the Sunbelt and increased unit deliveries despite wavering demand., Headline: CoStar Group to Report Financial Results for Third Quarter 2022 on October 25, 2022, source:Yahoo, summary: WASHINGTON, October 04, 2022--CoStar Group, Inc. (NASDAQ: CSGP) will announce financial results for the third quarter 2022 following the market close on Tuesday, October 25, 2022. Management will conduct a conference call to discuss the third quarter results, as well as the Company’s outlook at 5:00 PM EDT that same day.",CSGP
6,2022-10-05,"Headline: CoStar Group (CSGP): New Buy Recommendation for This Technology Giant, source:TipRanks, summary: In a report released today, Ashish Sabadra from RBC Capital maintained a Buy rating on CoStar Group (CSGP &#8211; Research Report), with a price target of $85.00. T..., Headline: CoStar Group price target raised to $85 from $80 at RBC Capital, source:Thefly.com, summary: RBC Capital analyst Ashis... CSGP",CSGP
7,2022-10-10,"Headline: When will house prices go down? Some economists see  a 'prolonged slowdown' — and a decline of up to 20% in house prices., source:MarketWatch, summary: Most economists are forecasting home-price appreciation to slow, with others predicting deeper price drops., Headline: CoStar Group Takes Over #120 Spot From American Tower, source:ETF Channel, summary: Staff article entitled CoStar Group Takes Over #120 Spot From American Tower , about ETFs, from ETF Channel., Headline: Video: S&P 500 Analyst Moves: CSGP, source:Market News Video, summary: The latest tally of analyst opinions from the major brokerage houses shows that among the components of the S&P 500 index, CoStar Group, is now the #120 analyst pick, moving up by 1 spot - This rank is formed by averaging the analyst opinions for each component from each broker, and then ranking the 500 components by those average opinion values - CSGP.",CSGP
8,2022-10-12,"Headline: CoStar Group acquires Fairmas Benchmarking, terms not disclosed, source:Thefly.com, summary: CoStar Group announced th... CSGP, Headline: Akre Capital's Akre Focus Fund - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Sydnee Gatewood and the topic is about: Discussion of markets and holdings",CSGP
9,2022-10-13,"Headline: CoStar Group Acquires Fairmas Benchmarking, a Leading Hospitality Benchmarking Product in Germany, source:Yahoo, summary: WASHINGTON, October 13, 2022--CoStar Group, Inc. (NASDAQ: CSGP), a leading provider of online real estate marketplaces, information and analytics in the commercial and residential property markets, announced today that it has acquired Fairmas Benchmarking, a leading German hospitality benchmarking product, from Fairmas GmbH.",CSGP
10,2022-10-17,"Headline: Quant Ratings Updated on 77 Stocks, source:InvestorPlace, summary: When it comes to finding market-beating stocks on Wall Street, there are two critical characteristics at the center of my stock analysis. The first is strong fundamentals – sales growth, earnings growth and the like. The second characteristic you’ll find in any great stock is strong institutional buying pressure.",CSGP
11,2022-10-21,"Headline: CoStar Group (CSGP) to Post Q3 Earnings: What's in Store?, source:Yahoo, summary: CoStar Group (CSGP) third-quarter 2022 top line is expected to have benefited from its ramped-up investments in its residential product strategies.",CSGP
12,2022-10-23,"Headline: CoStar Group to participate in a conference call with BMO Capital, source:Thefly.com, summary: Conference call with Romy... CSGP",CSGP
13,2022-10-24,"Headline: CoStar Group Founder and Chief Executive Officer Andrew Florance Named One of 30 Most Powerful People in Commercial Real Estate Proptech by Commercial Observer, source:Yahoo, summary: WASHINGTON, October 24, 2022--Commercial Observer has released their Power Proptech list recognizing the 30 most powerful people in commercial real estate proptech, featuring CoStar Group’s Founder and Chief Executive Officer, Andrew Florance. 2022 was a year of change in the proptech industry with a reduction in investment and the consolidation of several companies. However, as Commercial Observer’s list notes, the 30 individuals recognized in this inaugural list weathered the storm and have em, Headline: Do You Think CoStar Group (CSGP) is a Good Long-Term Investment?, source:Yahoo, summary: Baron Funds, an investment management company, released its “Baron Asset Fund” third quarter 2022 investor letter. A copy of the same can be downloaded here. In the third quarter, the fund (institutional shares) declined 2.07% compared to a 0.65% decline for the Russell Midcap Growth Index. Differences in sector weights led to the underperformance of the […], Headline: CoStar (CSGP) Upgraded to Buy: Here's What You Should Know, source:Yahoo, summary: CoStar (CSGP) has been upgraded to a Zacks Rank #2 (Buy), reflecting growing optimism about the company's earnings prospects. This might drive the stock higher in the near term., Headline: CoStar Group reports Q3 adjusted EPS 25c, consensus 24c, source:Thefly.com, summary: Reports Q3 revenue $557M,... CSGP, Headline: CoStar raises FY22 adjusted EPS view to $1.25-$1.26 from $1.09-$1.13, source:Thefly.com, summary: Consensus $1.11. Raises F... CSGP, Headline: CoStar Group sees Q4 adjusted EPS 35c-36c, consensus 27c, source:Thefly.com, summary: Sees Q4 revenue $565M-$57... CSGP",CSGP
