,date,information,related
0,2022-08-02,"Headline: 7 Nasdaq Stocks to Buy and Hold Forever, source:Yahoo, summary: The Nasdaq has a reputation for being the home of aggressive hypergrowth companies — firms that can go up five- or tenfold in a year and sometimes crash just as quickly. Most investors probably wouldn’t imagine creating a buy-and-hold forever portfolio filled with Nasdaq stocks. However, the Nasdaq actually offers a lot of variety. While it hosts many speculative, volatile stocks, it also has a ton of high-quality names that have built businesses that will last for decades or longer. Investors s",CSX
1,2022-09-23,"Headline: CSX Corp. stock falls Friday, underperforms market, source:MarketWatch, summary: Shares of CSX Corp. shed 3.12% to $27.68 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",CSX
2,2022-09-24,"Headline: The Retirees Dividend Portfolio: Recent Purchases And Limit Trades Through September 17th, source:SeekingAlpha, summary: The purpose of this article is to highlight recent trades made in the Taxable, Roth, and Traditional IRAs of my clients, John and Jane. Click to read more., Headline: New York is now the nation's busiest port in a historic tipping point for U.S.-bound trade, source:CNBC, summary: A historic August for container volume pushed the Port of New York and New Jersey to the No. 1 spot in the U.S., outpacing Los Angeles and Long Beach cargo.",CSX
3,2022-09-25,"Headline: IN BRIEF: Credit Suisse moves ahead with strategic review, source:Alliance News, summary: No summary",CSX
4,2022-09-26,"Headline: What You Missed On Wall Street On Tuesday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, PFS, LBAI, JBL, BIIB, F, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, APO, SKIN, NVAX, HROW, RNA, OCUL, CBRL, UNFI, AVNT, SNX, SPLK, R",CSX
5,2022-09-27,"Headline: CSX downgraded to Neutral from Buy at UBS, source:Thefly.com, summary: UBS analyst Thomas Wadewi... CSX, Headline: Stocks making the biggest moves premarket: Keurig Dr Pepper, CSX, Li Auto and more, source:CNBC, summary: Check out the companies making headlines before the bell., Headline: CSX Announces Date for Third Quarter Earnings Release and Earnings Call, source:Yahoo, summary: JACKSONVILLE, Fla., Sept. 27, 2022 (GLOBE NEWSWIRE) -- CSX Corp. (NASDAQ: CSX) will release third quarter financial and operating results after the market close on Thursday, October 20, 2022. This will be followed by a conference call and live webcast hosted by the company’s management team at 4:30 p.m. Eastern Time. Those interested in participating via teleconference may dial 1-888-510-2008. Callers outside the U.S. may dial 1-646-960-0306. Participants should dial in 10 minutes prior to the c, Headline: CSX, Norfolk Southern stocks sink to near 2-year lows after UBS downgrades, citing a 'deteriorating' outlook, source:MarketWatch, summary: Shares of CSX Corp. and Norfolk Southern Corp. both sank toward the lowest levels in nearly two years, after UBS analyst Thomas Wadewitz backed away from his..., Headline: US fines 16 Wall Street firms USD1.1 billion for lax recordkeeping, source:Alliance News, summary: No summary, Headline: UPDATE: Wall Street firms fined in US over lax record-keeping, source:Alliance News, summary: No summary",CSX
6,2022-09-28,"Headline: CSX downgraded to Neutral from Positive at Susquehanna, source:Thefly.com, summary: Susquehanna analyst Basco... CSX, Headline: Susquehanna cautious on rails into 2023, downgrades CSX, source:Thefly.com, summary: Susquehanna analyst Basco... CSX, Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. AAPL, BIIB, ESALY, BTRS, PATH, MSFT, MAN, NFLX, LMT, ILMN, ETRN, LYFT, TGI, BR, M, GM, FYBR, DOCU, ASTL, SAND, CTAS, BB, THO, VFC, PAYX, BCS, BAC, C, CS, DB, MS, UBS, JEF, NMR, CSX, NSC, Headline: North American rail traffic down 2.8% for the week ending September 24, source:Thefly.com, summary: The Association of Americ... CNI, CP, CSX, KSU, NSC, UNP, TRN, GBX, RAIL, WAB, Headline: Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations, source:Thefly.com, summary: Netflix upgrade, Lockheed Martin downgrade and Sunrun initiation among today's top calls on Wall Street NFLX, BIIB, ILMN, SHOO, SSB, TFC, LMT, LHX, CSX, ETRN, AVNT, RUN, IE, GNRC, SABR, ENVX, Headline: After Plunging 14.1% in 4 Weeks, Here's Why the Trend Might Reverse for CSX (CSX), source:Yahoo, summary: The heavy selling pressure might have exhausted for CSX (CSX) as it is technically in oversold territory now. In addition to this technical measure, strong agreement among Wall Street analysts in revising earnings estimates higher indicates that the stock is ripe for a trend reversal., Headline: After rail strike averted, chance for 'freight recession' should still spook investors, analysts say, source:MarketWatch, summary: Railroad operators CSX Corp. and Norfolk Southern Corp. were hit a downgrade from Susquehanna on Wednesday, with analysts citing bigger profit risk to rails...",CSX
7,2022-09-29,"Headline: CSX price target lowered to $30 from $31 at Citi, source:Thefly.com, summary: Citi analyst Christian We... CSX",CSX
8,2022-09-30,"Headline: CSX price target lowered to $35 from $40 at Barclays, source:Thefly.com, summary: Barclays analyst Brandon ... CSX, Headline: CSX Contributes $200,000 to Hurricane Ian Relief Efforts, source:Yahoo, summary: JACKSONVILLE, Fla., Sept. 30, 2022 (GLOBE NEWSWIRE) -- CSX Corp. (NASDAQ: CSX) today announced it will contribute $200,000 to support relief and recovery efforts underway in the Florida and South Carolina communities affected by Hurricane Ian. “CSX cares deeply about the communities where we operate and our thoughts are with all those in Florida and South Carolina that have been impacted by Hurricane Ian,” said Joe Hinrichs, president and chief executive officer of CSX. “We are pleased to make t",CSX
9,2022-10-02,"Headline: 3 Stocks for Growth-Oriented I - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Alberto Abaterusso and the topic is about: These companies have grown their trailing 12-month net earnings per share significantly, Headline: 3 Stocks for Growth-Oriented Investors, source:Yahoo, summary: These companies have grown their trailing 12-month net earnings per share significantly, Headline: PRESS: Credit Suisse eyes calming frayed nerves amid share price slide, source:Alliance News, summary: No summary, Headline: LONDON MARKET EARLY CALL: FTSE called down before UK chancellor speech, source:Alliance News, summary: No summary, Headline: LONDON BRIEFING: UK chancellor's tax U-turn; eyes on Credit Suisse, source:Alliance News, summary: No summary, Headline: LONDON MARKET OPEN: Tory backlash forces tax cut U-turn; pound climbs, source:Alliance News, summary: No summary",CSX
