,date,information,related
0,2022-09-23,"Headline: Cognizant (CTSH) Expands Partner Base With a Global Law Firm, source:Yahoo, summary: Law firm Freshfields Bruckhaus Deringer selects Cognizant (CTSH) to manage its IT infrastructure, applications and service desk., Headline: Cognizant Technology Solutions Corp. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of Cognizant Technology Solutions Corp. shed 1.59% to $58.85 Friday, on what proved to be an all-around poor trading session for the stock market,...",CTSH
1,2022-09-27,"Headline: Stitch Launches as Consultancy Focused on Twilio for Marketers, source:Business Wire, summary: No summary",CTSH
2,2022-10-05,"Headline: Cognizant extends relationship with Centrica, source:Thefly.com, summary: Cognizant announced that ... CTSH, Headline: Centrica Extends its Relationship with Cognizant to Manage its Application and IT Infrastructure Landscape, source:Yahoo, summary: Cognizant today announced that it has extended its long-standing relationship with Centrica, the largest supplier of energy and energy services to the United Kingdom, to deliver business critical services encompassing application testing and management of its IT infrastructure landscape.",CTSH
3,2022-10-06,"Headline: Cognizant (CTSH) Expands Partnership With Centrica in UK, source:Yahoo, summary: Cognizant Technology (CTSH) extends its partnership with Centrica to provide cloud infrastructure support.",CTSH
4,2022-10-11,"Headline: Top 5 3rd Quarter Trades of In - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: ",CTSH
5,2022-10-12,"Headline: Cognizant Schedules Third Quarter 2022 Earnings Release and Conference Call, source:Yahoo, summary: Cognizant (Nasdaq: CTSH), a leading provider of information technology, consulting, and business process services, will announce results for the third quarter of 2022 on Wednesday, November 2, 2022, after market close., Headline: Cognizant Technology Solutions Corp. stock falls Wednesday, underperforms market, source:MarketWatch, summary: Shares of Cognizant Technology Solutions Corp. shed 0.82% to $56.75 Wednesday, on what proved to be an all-around dismal trading session for the stock...",CTSH
6,2022-10-13,"Headline: Botminds Announces Fusion 2022, a Partner Conference for the Best Minds in Intelligent Automation, source:Yahoo, summary: SEATTLE & CHENNAI, India, October 13, 2022--Botminds Inc., a leader in Intelligent Automation, will host ""Fusion 2022"", its inaugural partnership conference on 09-Nov-2022 at 10:00 AM IST., Headline: Cognizant Technology Solutions Corp. stock rises Thursday, outperforms market, source:MarketWatch, summary: Shares of Cognizant Technology Solutions Corp. advanced 3.88% to $58.95 Thursday, on what proved to be an all-around great trading session for the stock...",CTSH
7,2022-10-14,"Headline: Cognizant price target lowered to $65 from $77 at JPMorgan, source:Thefly.com, summary: JPMorgan analyst Tien-tsi... CTSH, Headline: Cognizant (CTSH) is a Top-Ranked Value Stock: Should You Buy?, source:Yahoo, summary: The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage., Headline: Cognizant Technology Solutions Corp. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Cognizant Technology Solutions Corp. slipped 0.59% to $58.60 Friday, on what proved to be an all-around rough trading session for the stock market,...",CTSH
8,2022-10-17,"Headline: Cognizant Technology Solutions Corp. stock rises Monday, still underperforms market, source:MarketWatch, summary: Shares of Cognizant Technology Solutions Corp. rose 2.18% to $59.88 Monday, on what proved to be an all-around great trading session for the stock market,...",CTSH
9,2022-10-18,"Headline: Cognizant Technology Solutions Corp. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Cognizant Technology Solutions Corp. advanced 1.40% to $60.72 Tuesday, on what proved to be an all-around positive trading session for the stock...",CTSH
10,2022-10-20,"Headline: Cognizant price target lowered to $70 from $76 at Baird, source:Thefly.com, summary: Baird analyst David Konin... CTSH",CTSH
11,2022-10-21,"Headline: Cognizant downgraded to Neutral from Buy at BofA, source:Thefly.com, summary: BofA analyst Jason Kupfer... CTSH, Headline: Cognizant downgraded to Neutral at BofA on macro and company-specific risks, source:Thefly.com, summary: As previously reported, B... CTSH, Headline: Interesting CTSH Put And Call Options For December 16th, source:Stock Options Channel, summary: Staff article entitled Interesting CTSH Put And Call Options For December 16th, about stock options, from Stock Options Channel.",CTSH
