,date,information,related
0,2022-09-22,"Headline: Datadog resumed with Neutral from Underweight at JPMorgan, source:Thefly.com, summary: JPMorgan analyst Mark Mur... DDOG",DDOG
1,2022-09-23,"Headline: Datadog initiated with an Outperform at Credit Suisse, source:Thefly.com, summary: Credit Suisse analyst Fre... DDOG, Headline: Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations, source:Thefly.com, summary: FuboTV upgrade, Ally Financial downgrade, and Zoom Video initiation among today's top calls on Wall Street FUBO, ALLY, APO, DDOG, DPZ, EQIX, STE, SHC, EVR, ZM, CMG, PROK, W, CINF, SPRO, DLR, Headline: 3 Cloud Stocks That Could Go Parabolic, source:Yahoo, summary: Plenty of high-growth cloud stocks skyrocketed in value over the past two years, yet quickly surrendered all those gains this year as rising interest rates drove investors back toward more conservative investments.  Twilio's (NYSE: TWLO) cloud-based communication platform handles text messages, voice calls, videos, and other integrated features in mobile apps.  Instead of building those features from scratch -- which can be buggy, time-consuming, and difficult to scale as an app gains more users -- developers can outsource the work to Twilio with just a few lines of code., Headline: Nasdaq Sell-Off: 2 High-Growth Tech Stocks You'll Regret Not Buying on the Dip, source:Yahoo, summary: These stocks have been mauled by the bear market, but a look under the hood reveals impressive growth., Headline: Stocks making the biggest moves midday: FedEx, Boeing, Ally, Domino's and more, source:CNBC, summary: These are the stocks posting the largest moves in midday trading. ",DDOG
2,2022-09-25,"Headline: Nasdaq Bear Market: 1 Growth Stock You'll Wish You Bought on the Dip, source:Yahoo, summary: This high-growth industry leader is down significantly, which makes it an appealing stock to buy right now., Headline: Why I'm Buying Datadog Stock Right Now, source:Yahoo, summary: With shares down substantially in 2022, Datadog (NASDAQ: DDOG) is looking more appealing to own now. In this video, Jamie explains how Datadog has continued to succeed during this challenging macroeconomic environment, and he breaks down why he recently bought shares of this growth stock.",DDOG
3,2022-09-26,"Headline: 2022 Bear Market: 2 Monster Growth Stocks I'd Buy Now Without Hesitation, source:Yahoo, summary: Inflation came in hotter than expected in August, prompting the Federal Reserve to raise interest rates by 75 basis points for the third consecutive time.  While those losses are painful, patient investors know downturns are an opportunity to buy.  The stock market has never failed to recover in the past, and there is no reason to think this bear market is any different., Headline: Datadog: Still Too Expensive With A Decelerating Growth Profile, source:SeekingAlpha, summary: Datadog sustained decelerating growth profile into FY12/23, and valuations remain too rich. Click here to read why I have a sell rating on the DDOG stock., Headline: Datadog Could Follow Salesforce, What That Would Mean For Its Shareholders, source:SeekingAlpha, summary: Datadog is much ahead of Salesforce in terms of reaching GAAP profitability on the back of its own prospects. Find out if DDOG could become the next CRM., Headline: Datadog: Cash Flowing Tech Stock With 74% Growth, $1 Billion Net Cash, source:SeekingAlpha, summary: The macro-environment is affecting Datadog, but the company still posted 74% growth. Read why I think DDOG stock is currently a buy., Headline: Datadog : Statement of Changes in Beneficial Ownership - Form 4, source:Finnhub, summary: Ownership Submission FORM 4 Check this box if no longer... | September 26, 2022, Headline: Datadog: Top Tier Software Company Of The Present And Future, source:SeekingAlpha, summary: Datadog is set to continue being among the top tier software companies of the future. Read why investors should look closer at this high-quality tech company., Headline: Growth may not be Enough: How Datadog (DDOG) Is Ahead of Competitors in both Good and Bad Metrics, source:Yahoo, summary: Datadog (NASDAQ:DDOG) is captivating investors with its high 79% revenue growth rate, and an estimated total addressable market (TAM) value of $53b by 2025. However, the company has a forward price to sales ratio of 14.3x, which is ahead of the 7.9x industry average ratio. In order for this to work for investors, the company must keep up its high performance for more than 6 quarters to reach the average, when it can afford to have lower growth rates.",DDOG
4,2022-09-27,"Headline: 2 Leading Tech Stocks to Buy in 2022 and Beyond, source:Yahoo, summary: Here are two that are worth buying right now and holding onto for years: The Trade Desk (NASDAQ: TTD) and Datadog (NASDAQ: DDOG) are both gaining ground in their respective markets.  The advertising industry is undergoing some big changes at the moment, and The Trade Desk is trying to tap into them.  The first trend it's tapping into is the shift from traditional advertising mediums to digital ones., Headline: Datadog (DDOG) Gains As Market Dips: What You Should Know, source:Yahoo, summary: In the latest trading session, Datadog (DDOG) closed at $87.74, marking a +1.54% move from the previous day.",DDOG
5,2022-09-28,"Headline: Datadog call volume above normal and directionally bullish, source:Thefly.com, summary: Bullish option flow detec... DDOG",DDOG
6,2022-09-29,"Headline: 11 Best Big Data Stocks to Buy Now, source:Yahoo, summary: In this article, we will look at the 11 best big data stocks to buy now. If you want to explore similar stocks, you can also take a look at 5 Best Big Data Stocks to Buy Now. Big Data Industry Analysis According to a report by Fortune Business Insights, the global big data analytics […], Headline: Tracking Stanley Druckenmiller's Duquesne Family Office Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Stanley Druckenmillerâs 13F portfolio value decreased from $2.65B to $1.63B this quarter. Click to read the Q2 2022 update on the portfolio.",DDOG
7,2022-09-30,"Headline: 5 Ways to Stress-Test a Stock in a Bear Market, source:Yahoo, summary: An old Warren Buffett saying goes, ""Price is what you pay, value is what you get.""  The volatile price action of the stock market can lead to fear of missing out on the upside and panic selling on the downside.  In this bear market, there are many stocks that are down 50% or more from their all-time highs., Headline: Datadog (DDOG) Gains As Market Dips: What You Should Know, source:Yahoo, summary: Datadog (DDOG) closed at $88.78 in the latest trading session, marking a +1.52% move from the prior day.",DDOG
8,2022-10-01,"Headline: 3 Safe Tech Stocks You'll Regret Not Buying on the Dip, source:Yahoo, summary: Three Motley Fool contributors were asked which tech stocks are doing this.  Datadog (NASDAQ: DDOG), Veeva Systems (NYSE: VEEV), and PayPal Holdings (NASDAQ: PYPL) were their answers.  Anthony Di Pizio (Datadog): Cloud computing technology is playing an increasingly important role in the corporate sector.",DDOG
9,2022-10-03,"Headline: 3 Reasons Why Datadog Is A Sell At 20x TTM EV/Sales, source:SeekingAlpha, summary: Datadog is priced at 20x TTM EV/Sales as the world heads into a recession. Read more to see the three reasons why DDOG stock is a sell., Headline: Tracking Philippe Laffont's Coatue Management Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Philippe Laffont's 13F portfolio value decreased from $13.67B to $8.26B this quarter. Read more about Coatue Management's holdings and trades for Q2 2022.",DDOG
