,date,information,related
0,2022-08-05,"Headline: Want Better Returns? Don't Ignore These 2 Basic Materials Stocks Set to Beat Earnings, source:Yahoo, summary: Finding stocks expected to beat quarterly earnings estimates becomes an easier task with our Zacks Earnings ESP.",DLTR
1,2022-09-23,"Headline: Boeing, Devon Energy fall; Guidewire, Dollar Tree rise, source:Finnhub, summary: NEW YORK — Stocks that traded heavily or had substantial price changes Friday: Boeing Co., down $7.45 to $131.26. The airplane maker will pay $200 million to... | September 23, 2022, Headline: Dollar Tree Inc. stock rises Friday, outperforms market, source:MarketWatch, summary: Shares of Dollar Tree Inc. rallied 1.41% to $141.29 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",DLTR
2,2022-09-26,"Headline: Dollar Tree names Michael Creedon, Jr. as COO, source:Thefly.com, summary: Dollar Tree (DLTR) announ... DLTR, AAP, Headline: DOLLAR TREE, INC. : Change in Directors or Principal Officers, Regulation FD Disclosure, Financial Statements and Exhibits (form 8-K), source:Finnhub, summary: Item 5.02. Departure of Directors or Certain Officers; Election of Directors;Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On September 26, 2022, Dollar Tree, Inc. ... | September 26, 2022, Headline: Dollar Tree names Advance Auto Parts exec Michael Creedon as COO , source:MarketWatch, summary: Dollar Tree Inc. undefined on Monday named Michael Creedon as its new chief operating officer, coming to the job from Advance Auto Parts Inc. undefined,..., Headline: Dollar Tree Names New COO as it Transforms Team of Executives, source:MarketWatch, summary: By Sabela Ojea Dollar Tree Inc. said Monday that it named Michael Creedon Jr. as its new chief operating officer, the latest addition to the company's..., Headline: Dollar Tree, Inc. Names Michael Creedon as Chief Operating Officer, source:Yahoo, summary: CHESAPEAKE, Va., September 26, 2022--Dollar Tree, Inc. (NASDAQ: DLTR) today announced a key executive leadership addition, as Michael Creedon, Jr. will be joining the organization as Chief Operating Officer., Headline: Dollar Tree names Advance Auto Parts exec Michael Creedon as COO, source:Yahoo, summary: Dollar Tree Inc. on Monday named Michael Creedon as its new chief operating officer, coming to the job from Advance Auto Parts Inc. , where he served in a number of roles. Creedon joined Advance Auto in 2013 and was executive vice president for U.S. stores since March of 2021. Before that, he was president of U.S. stores from 2020 to 2021, as well as division president for the company's North Division, including Autopart International, from 2017 to 2020 and president, Autopart International, a w, Headline: Dollar Tree Appoints Michael Creedon As Operations Head, source:Yahoo, summary: Dollar Tree Inc (NASDAQ: DLTR) has appointed Michael Creedon as its Chief Operating Officer. Creedon recently served as the Executive Vice President, U.S. Stores in Advance Auto Parts Inc (NYSE: AAP). He earned his bachelor's degree from Middlebury College and a Finance certificate from the Chicago Graduate School of Business. In June, Dollar Tree disclosed that four executive officers ceased employment with the company, including Thomas R. O'Boyle, Enterprise Chief Operating Officer. ""Mike will, Headline: Advance Auto Parts exec leaves for C-suite with another Fortune 500 retailer, source:Yahoo, summary: A Raleigh businessman has left his post as an executive with one Fortune 500 retailer for a C-suite spot in another.  Creedon will join Dollar Tree Inc. (Nasdaq: DLTR) as the discount retailer's chief operating officer.  Creedon joined Advance Auto in 2013 and has held positions including president of U.S stores and president of wholly owned subsidiary Autopart International.",DLTR
3,2022-09-27,"Headline: Analysts Offer Insights on Consumer Goods Companies: Dollar Tree (DLTR) and Freshpet (FRPT), source:TipRanks, summary: Companies in the  Consumer Goods sector have received a lot of coverage today as analysts  weigh in on Dollar Tree (<span class='tr-stock-ticker' style='color:blue;...",DLTR
4,2022-09-28,"Headline: Dollar Tree appoints Pedro Voyer as chief development officer, source:Thefly.com, summary: Dollar Tree announced ano... DLTR, Headline: Dollar Tree, Inc. Names Pedro Voyer as Chief Development Officer, source:Yahoo, summary: CHESAPEAKE, Va., September 28, 2022--Dollar Tree, Inc. (NASDAQ: DLTR) today announced another key executive leadership addition, as Pedro Voyer will be joining the Company as Chief Development Officer., Headline: Dollar Tree (DLTR) Gains But Lags Market: What You Should Know, source:Yahoo, summary: Dollar Tree (DLTR) closed at $137.97 in the latest trading session, marking a +1.42% move from the prior day.",DLTR
5,2022-09-29,"Headline: Brahman Capital Corp. Buys 3,  - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: Returns On Capital At Dollar Tree (NASDAQ:DLTR) Have Hit The Brakes, source:Yahoo, summary: If we want to find a potential multi-bagger, often there are underlying trends that can provide clues. In a perfect..., Headline: Netflix, YouTube and Google top list of Gen Z's favorite brands, survey shows, source:MarketWatch, summary: YouTube has the highest favorability for Gen Z among all brands, at 86%., Headline: Netflix, YouTube and Google top list of Gen Z’s favorite brands, survey shows, source:Yahoo, summary: Meet Gen Z, lovers of video streaming and candy.  According to a survey from Morning Consul, Gen Z’s favorite brands are mostly U.S. tech giants.  YouTube has the highest favorability for Gen Z among all brands at 86%, followed by Google  (GOOG)  at 83%, Netflix  (NFLX)  at 82%, Amazon  (AMZN)  at 80% and M&M’s at 79%., Headline: Here's How Levi Strauss (LEVI) Looks Just Ahead of Q3 Earnings, source:Yahoo, summary: Levi Strauss' (LEVI) third-quarter fiscal 2022 bottom-line performance might have been hurt by deleveraged SG&A expenses and inflationary pressures., Headline: Here's How Levi Strauss Looks Just Ahead Of Q3 Earnings , source:TalkMarkets, summary: Levi Strauss & Co. is likely to register top-line growth year over year when it reports third-quarter fiscal 2022 earnings on Oct 6. ",DLTR
6,2022-09-30,"Headline: YouTube, Netflix and Google top list of Gen Z’s favorite brands, data shows, source:Yahoo, summary: Meet Gen Z, lovers of video streaming and candy.  According to a new data from Morning Consult, Gen Z’s favorite brands are mostly U.S. tech giants.  YouTube has the highest favorability for Gen Z among all brands at 86%, followed by Google  (GOOG)  at 83%, Netflix  (NFLX)  at 82%, Amazon  (AMZN)  at 80% and M&M’s at 79%.",DLTR
7,2022-10-03,"Headline: 4 Products You Should Always Get at the Dollar Store, source:Yahoo, summary: There are an almost endless array of stores to shop at for any consumer goods you are interested in buying.  In some cases, this means your first stop should be the dollar store.  Dollar stores such as Dollar Tree offer a huge array of different products for either $1 or $1.25 depending on the store and item., Headline: Dollar Tree Inc. stock outperforms competitors on strong trading day, source:MarketWatch, summary: Shares of Dollar Tree Inc. rose 4.08% to $141.65 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500..., Headline: 7 Nasdaq Sleeper Stocks to Buy Before Wall Street Wakes Up, source:Yahoo, summary: The search for Nasdaq sleeper stocks to buy remains one many aggressive investors are on. However, at first glance, this search is one that seems incredibly risky. After all, compared to the other major equity indices, the technology-centric Nasdaq has suffered disproportionately. Much of this is due to an increasingly hawkish Federal reserve, with a monetary framework that doesn’t necessarily bode well for risk-taking. Recently, the Federal Reserve decided to take on an interest rate hiking cyc, Headline: DOLLAR TREE, INC. : Change in Directors or Principal Officers (form 8-K), source:Finnhub, summary: Item 5.02. Departure of Directors or Certain Officers; Election of Directors;Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On October 3, 2022, Jeffrey A. Davis... | October 3, 2022",DLTR
8,2022-10-04,"Headline: These Are My 5 Favorite Things to Buy at the Dollar Tree, source:Yahoo, summary: At my local Dollar Tree, I can get tons of fun things for just $1 (or, for some things, for $1.25).  While I buy a lot of stuff at the Dollar Tree, there are five particular items that are my absolute favorite things to purchase there.  For a long time I was spending a small fortune on picture frames, until I realized I could buy them at the Dollar Tree., Headline: Dollar Tree Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of Dollar Tree Inc. inched 0.35% higher to $142.15 Tuesday, on what proved to be an all-around great trading session for the stock market, with the..., Headline: Dollar Tree (DLTR) Gains But Lags Market: What You Should Know, source:Yahoo, summary: Dollar Tree (DLTR) closed the most recent trading day at $142.15, moving +0.35% from the previous trading session.",DLTR
9,2022-10-05,"Headline: 4 Dollar Tree Products My 3-Year-Old Can't Live Without, source:Yahoo, summary: Fortunately for me, one of my three-year-old's favorite places to shop is the Dollar Tree.  When we visit the Dollar Tree, though, I've noticed that he keeps gravitating to the same items again and again.  In particular, there are four Dollar Tree products he absolutely adores and couldn't live without., Headline: Dollar Tree Inc. stock rises Wednesday, outperforms market, source:MarketWatch, summary: Shares of Dollar Tree Inc. inched 0.43% higher to $142.76 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the...",DLTR
