,date,information,related
0,2022-08-23,"Headline: Why This 1 Growth Stock Could Be a Great Addition to Your Portfolio, source:Yahoo, summary: Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",DXCM
1,2022-09-23,"Headline: DexCom Inc. stock underperforms Friday when compared to competitors, source:MarketWatch, summary: Shares of DexCom Inc. slid 0.37% to $80.66 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",DXCM
2,2022-09-28,"Headline: Better Growth Stock: Intuitive Surgical vs. DexCom, source:Yahoo, summary: Growth stocks have received much of investors' ire throughout the current market downturn.  Intuitive Surgical is the leader in the robotic-assisted surgery (RAS) market, thanks to its crown jewel, the da Vinci surgical system.  The great thing about Intuitive Surgical's business is the growth potential that the RAS market boasts.",DXCM
3,2022-09-29,"Headline: Dexcom Schedules Third Quarter 2022 Earnings Release and Conference Call for October 27, 2022 at 4:30 p.m. Eastern Time., source:Yahoo, summary: SAN DIEGO, September 29, 2022--DexCom, Inc. (NASDAQ:DXCM) today announced that it plans to release its third quarter 2022 financial results after market close on Thursday, October 27, 2022. Management will hold a conference call to review the company's third quarter 2022 performance starting at 4:30 p.m. (Eastern Time) on the same day. The conference call will be concurrently webcast. The link to the webcast will be available on the Dexcom investor relations website at investors.dexcom.com and w",DXCM
4,2022-09-30,"Headline: 3 Reasons to Hold DexCom (DXCM) Stock in Your Portfolio, source:Yahoo, summary: Investors continue to be optimistic about DexCom (DXCM) owing to its strong product portfolio.",DXCM
5,2022-10-02,"Headline: 2 Evergreen Growth Stocks to Buy and Hold Forever, source:Yahoo, summary: Commonly enough, evergreens have staying power because they're getting a steady boost from ultra long-term trends in the population or the economy, and that's part of the secret sauce that can make them killer investments.  With that in mind, let's analyze a pair of evergreen growth stocks that have already made quite a few investors richer by smashing the market's returns over the last 10 years.  Medical device company DexCom's (NASDAQ: DXCM) makes wearable continuous glucose monitors (CGMs) that help people with diabetes get minute-by-minute data about their blood glucose levels, thereby giving them better control of their symptoms.",DXCM
6,2022-10-03,"Headline: Tracking Philippe Laffont's Coatue Management Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Philippe Laffont's 13F portfolio value decreased from $13.67B to $8.26B this quarter. Read more about Coatue Management's holdings and trades for Q2 2022., Headline: Dexcom G7 Launches in the United Kingdom, Ireland, Germany, Austria and Hong Kong – Initiating Global Rollout of World's Most Powerful Continuous Glucose Monitoring System, source:Finnhub, summary: People with diabetes in the United Kingdom, Ireland, Germany, Austria and Hong Kong can get started with Dexcom G7 nowThe new CGM system is also expected to launch in New Zealand and South Africa... | October 4, 2022",DXCM
7,2022-10-04,"Headline: DexCom announces Dexcom G7 CGM availability in five new countries, source:Thefly.com, summary: DexCom announced the Dexc... DXCM, Headline: DexCom Launches G7 System in Key Markets Across Europe and Asia, source:TipRanks, summary: Medical devices provider DexCom (NASDAQ:DXCM) has launched its continuous glucose monitoring system DexCom G7 across the U.K., Ireland, Germany, Austria, and Hong K..., Headline: Dexcom G7 Launches in the United Kingdom, Ireland, Germany, Austria and Hong Kong – Initiating Global Rollout of World’s Most Powerful Continuous Glucose Monitoring System, source:Yahoo, summary: SAN DIEGO & EDINBURGH, Scotland, October 04, 2022--DEXCOM G7 LAUNCHES IN THE UNITED KINGDOM, IRELAND, GERMANY, AUSTRIA AND HONG KONG – INITIATING GLOBAL ROLLOUT OF WORLD’S MOST POWERFUL CGM SYSTEM, Headline: Why DexCom Was Such a Healthy Stock Today, source:Yahoo, summary: There's nothing like a strategic product rollout to push the price of a stock higher.  This was the case with medical device maker DexCom (NASDAQ: DXCM), which on news of international expansion saw its share price zoom more than 7% higher on Tuesday.  DexCom, which specializes in continuous glucose monitoring (CGM) solutions for diabetics, announced earlier in the day that it is expanding into new markets.",DXCM
8,2022-10-05,"Headline: Citi ups DexCom target, opens 'positive catalyst watch', source:Thefly.com, summary: Citi analyst Joanne Wuens... DXCM, Headline: Bull of the Day: DexCom, Inc. (DXCM), source:TalkMarkets, summary: DexCom makes continuous glucose monitoring systems designed for people with diabetes., Headline: Nasdaq Bear Market: 2 Top Stocks You Can Buy With $200 Right Now, source:Yahoo, summary: The Nasdaq Composite has tumbled a frightening 31% since the beginning of 2022, and nobody knows when the carnage will end.  It's hyper-popular because physicians can use Doximity Dialer on their personal devices without sharing any personal contact information., Headline: 2 Beaten-Down Stocks That Could Be Great Long-Term Buys, source:Yahoo, summary: Investing in equities during a downturn can be challenging.  With that in mind, let's examine two stocks that have lagged the market this year but could be significant winners in the long run: HCA Healthcare (NYSE: HCA) and DexCom (NASDAQ: DXCM).  Here's the thing about healthcare stocks -- medical services are always in demand., Headline: DexCom and Papa John's International have been highlighted as Zacks Bull and Bear of the Day, source:Yahoo, summary: DexCom and Papa John's International are part of the Zacks Bull and Bear of the Day article.",DXCM
9,2022-10-06,"Headline: What You Missed On Wall Street On Friday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. DKNG, DIS, META, FDX, AMT, VOD, NVDA, AMD, CVS, CANO, BAC, LEVI, LYFT, ZM, UBER, GS, NSC, U, PAYO, DXCM, CS, LAC, ALLO, ACCD, AEHR, TLRY, LPRO, NRIX, Headline: Piper says DexCom will get highest multiple in diabetes after CMS update, source:Thefly.com, summary: Piper Sandler analyst Mat... DXCM, ABT",DXCM
10,2022-10-07,"Headline: DexCom price target raised to $120 from $112 at Stifel, source:Thefly.com, summary: Stifel analyst Mathew Bla... DXCM, ABT, Headline: Early notable gainers among liquid option names on October 7th, source:Thefly.com, summary: Notable gainers among liq... DXCM, ABT, COP, APA, EOG, Headline: DexCom Up After Medicare Proposal Looking at Covering CGMs, source:TipRanks, summary: Shares of DexCom (NASDAQ: DXCM) were up in morning trading on Friday after the Centers for Medicare and Medicaid Services (SMC) issued a proposal to determine local..., Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. DKNG, DIS, JNJ, BIIB, AMD, CVS, CANO, BAC, AMBC, LEVI, LYFT, UBER, ZM, GS, NSC, U, META, AAPL, GOOG, GOOGL, PAYO, DXCM, CS, LAC, ALLO, ACCD, AEHR, TLRY, LPRO, NRIX, Headline: We're Changing Our DexCom Strategy as the Shares Move Higher, source:Yahoo, summary: On July 15 we reviewed the charts of medical device maker DexCom and wrote that ""Aggressive traders could probe the long side of DXCM around current levels. Risk to $72. Maybe we can rally to the $100 area., Headline: Dexcom (DXCM) Gets a Buy from Stifel Nicolaus, source:TipRanks, summary: In a report released today, Mathew Blackman from Stifel Nicolaus maintained a Buy rating on Dexcom (DXCM &#8211; Research Report), with a price target of $120.00. T..., Headline: Stocks making the biggest moves midday: CVS, Credit Suisse, AMD, Lyft and more, source:CNBC, summary: These are the stocks posting the largest moves in midday trading. , Headline: 11 Best Fitness Stocks To Invest In, source:Yahoo, summary: In this article, we discuss 11 best fitness stocks to invest in. If you want to read about some more fitness stocks, go directly to 5 Best Fitness Stocks To Invest In. Online training continues to gain traction in the fitness world even as the restrictions of the coronavirus are being relaxed in almost all […], Headline: DexCom Shares Up 9.4% After CMS Proposal That Could Benefit Its Products, source:MarketWatch, summary: By Kathryn Hardison Shares of DexCom Inc. rose 9.4% to $104.20 on Friday after the Centers for Medicare and Medicaid Services issued a local coverage..., Headline: Dexcom stock pops as Medicare considers coverage for diabetic monitors, source:Yahoo, summary: Shares of Dexcom are up after Medicare proposed a local coverage determination for its diabetic monitors., Headline: Why DexCom Stock Popped on Friday, Even as the Market Crumbled, source:Yahoo, summary: The medical device maker could benefit from a pending decision by Medicare that could be a game changer.",DXCM
11,2022-10-08,"Headline: Wall Street Breakfast: What Moved Markets, source:SeekingAlpha, summary: Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify.",DXCM
12,2022-10-09,"Headline: 3 Diabetes Care Stocks That Could Help Set You Up for Life, source:Yahoo, summary: Diabetes has been on the rise for a while because of both the aging of the U.S. population -- as well as expanding waistlines.  According to the National Diabetes Statistics Report, 37.3 million people in the United States have diabetes, and 96 million in the U.S. have pre-diabetes, including 48.8% of the population that is 65 or older.  A recent report by Global Market Insights puts the compound annual growth rate for the diabetes care devices market at 10% between now and 2030, becoming an $88 billion market by that time.",DXCM
13,2022-10-10,"Headline: DexCom price target raised to $110 from $92 at BTIG, source:Thefly.com, summary: BTIG analyst Marie Thibau... DXCM, ABT, Headline: DexCom (DXCM) Soars 7.3%: Is Further Upside Left in the Stock?, source:Yahoo, summary: DexCom (DXCM) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road., Headline: Company News for Oct 10, 2022, source:Yahoo, summary: Companies In The News Are: LEVI, AMD, DXCM, CANO, CVS., Headline: DexCom, Inc.'s (NASDAQ:DXCM) Stock On An Uptrend: Could Fundamentals Be Driving The Momentum?, source:Yahoo, summary: DexCom's (NASDAQ:DXCM) stock is up by a considerable 30% over the past three months. We wonder if and what role the...",DXCM
14,2022-10-11,"Headline: 2 Top Stocks to Buy in October and Hold Forever, source:Yahoo, summary: While the stock market may be facing a turbulent environment at the moment, it's always a good time to invest in wonderful companies with great businesses that can generate prolonged portfolio returns.  Now, with patent exclusivity on the drug set to expire in the U.S. in 2023, you'll be glad to learn that Abbvie also has other highly lucrative products on which to rely for future revenue and profits.  Taking a step back and looking at the healthcare stock's financial performance over the much longer period of five years, the company has boosted its annual revenue, net income, and cash from operations by 100%, 117%, and 129%, respectively., Headline: CMS proposal a positive for Med Tech sector, says Piper Sandler, source:Thefly.com, summary: Piper Sandler analyst Mat... ABMD, ATEC, APYX, ATRC, AZYO, BSX, CNMD, CUTR, RCEL, CVRX, DXCM, GKOS, GMED, HUMA, PODD, IART, MDT, UTRS, MIRO, MOTS, NUVA, KIDS, FNA, SPNE, SGHT, SYK, TNDM, TELA, TFX, ZBH",DXCM
15,2022-10-12,"Headline: DexCom initiated with a Buy at Jefferies, source:Thefly.com, summary: Jefferies analyst Matthew... DXCM, Headline: Expect Sideways Action From DexCom in the Short Run, source:Yahoo, summary: Here on Wednesday a sell side firm rated the medical device maker a new buy with a $125 price target, so let's check out DexCom's charts again.  In this daily bar chart of DXCM, below, we can see that prices gapped higher above the declining 200-day moving average line.  Prices have pulled back slightly from their upside surge., Headline: DexCom Inc. stock falls Wednesday, underperforms market, source:MarketWatch, summary: Shares of DexCom Inc. slid 1.36% to $98.32 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",DXCM
16,2022-10-13,"Headline: Here's How Much You'd Have If You Invested $1000 in DexCom a Decade Ago, source:Yahoo, summary: Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more., Headline: 12 Best IoT Stocks to Buy Now, source:Yahoo, summary: In this article, we discuss the 12 best Internet-of-Things (IoT) stocks to buy now. If you want to read about some more IoT stocks, go directly to 5 Best IoT Stocks to Buy Now. The Internet-of-Things (IoT) industry has advanced by leaps and bounds in the past few years, emerging from niche corners of the […], Headline: DexCom Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of DexCom Inc. advanced 3.46% to $101.72 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",DXCM
