,date,information,related
0,2020-09-21,"Headline: Top Video Game Stocks for Q4 2020, source:Yahoo, summary: The video game industry is involved in the development, marketing, and sale of video game hardware and software.  Top companies include Electronic Arts Inc. (EA) and Nintendo Co. LTD (NTDOY).  Video game stocks, represented by the VanEck Vectors Video Gaming and eSports ETF (ESPO), have dramatically outperformed the broader market.",EA
1,2022-09-23,"Headline: UPDATE: Netflix says principal accounting officer Ken Barker is resigning effective Oct. 7 after less than four months, source:MarketWatch, summary: Netflix Inc. undefined said Friday its principal accounting officer Ken Barker has submitted his resignation effective Oct. 7, meaning he is leaving his role..., Headline: Netflix chief accounting officer gives up $2.4 million position after just 4 months on the job, source:MarketWatch, summary: Netflix Inc. is seeking a new chief accounting officer after its current one quit the role after less than four months., Headline: Musqueam Art, Design, and Soccer Culture to Feature in EA SPORTS™ FIFA 23, source:Finnhub, summary: Musqueam Artwork will be Highlighted Within FIFA Ultimate Team and VOLTA FOOTBALL through Kits, Stadium Design, and Stadium Vanity... | September 23, 2022, Headline: Electronic Arts Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Electronic Arts Inc. slipped 1.52% to $115.64 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P..., Headline: CORRECTING and REPLACING Musqueam Art, Design, and Soccer Culture to Feature in EA SPORTS™ FIFA 23, source:Yahoo, summary: VANCOUVER, British Columbia, September 23, 2022--Please replace the release with the following corrected version due to multiple revisions.",EA
2,2022-09-24,"Headline: Electronic Arts: Stock Could See Short-Term Limbo, source:SeekingAlpha, summary: Electronic Arts continued to see a boost in net bookings. See why EA stock appears to be too expensive at this point in time.",EA
3,2022-09-26,"Headline: Electronic Arts Unveils Roadmap for EA SPORTS™ FIFA 23 Esports Ecosystem, source:Yahoo, summary: REDWOOD CITY, Calif., September 26, 2022--Electronic Arts Inc. (NASDAQ: EA) today announced an enhanced, reimagined EA SPORTS™ FIFA 23 competitive gaming program showcasing the future of football esports., Headline: FIFA 23 Global Series to feature first EA Sports Cup, source:Reuters, summary: The first-ever EA SPORTS Cup will headline the EA SPORTS FIFA 23 Global Series, Electronic Arts Inc. announced Monday., Headline: Netflix Sets Up First Internal Studio to Develop Video Games, source:Yahoo, summary: (Bloomberg) -- Netflix Inc. is creating its first in-house video games studio in a push to be less reliable on third-party creators and expand its gaming offerings.Most Read from BloombergJohn Paulson on Frothy US Housing Market: This Time Is DifferentUK Market Selloff Slams Gilts, Pound, Piling Pressure on BOEStocks, Commodities Drop; US Treasury Yields Surge: Markets WrapWall Street Banks Prep for Grim China Scenarios Over TaiwanInterpol Issues Red Notice for Terra’s Do Kwon, Korea SaysThe new, Headline: Disney wants two 'Star Wars' games released each year, Insider Gaming says, source:Thefly.com, summary: Disney (DIS) wants a new ... DIS, EA, TTWO, UBSFY, NTES, Headline: Electronic Arts Moves Up In Market Cap Rank, Passing Kroger, source:The Online Investor, summary: the online investor,EA,KR,",EA
4,2022-09-27,"Headline: EA SPORTS…It's In The Name., source:Finnhub, summary: After three decades of collaboration with the Federation Internationale de Football Association , Electronic Arts Inc. , the company that owns EA Sports, has told fans that it will no longer produce... | September 27, 2022, Headline: Better Gaming Stock: Take-Two vs. Electronic Arts, source:Yahoo, summary: Electronic Arts (NASDAQ: EA) and Take-Two Interactive Software (NASDAQ: TTWO) have both had immense success in the world of video game stocks.  The companies have released some of the world's most popular and lucrative game franchises, including Grand Theft Auto, Red Dead Redemption, FIFA, and Madden.  Consequently, investors looking to add a gaming stock to their portfolio might consider one of these companies., Headline: What You Missed This Week in Video Games, source:Thefly.com, summary: New 'FIFA' out this week NTDOY, SONY, MSFT, GOOG, GOOGL, NFLX, TTWO, LOGI, NVDA, ATVI, EA, UBSFY, OTGLY, WMT, RBLX, Headline: 1 Popular Nasdaq Stock to Buy Hand Over Fist, and 1 to Avoid, source:Yahoo, summary: One of these stocks has a durable business and a cheap valuation; the other is trading at a highly expensive earnings multiple., Headline: Electronic Arts (EA) to Feature Musqueam Artwork in FIFA 23, source:Yahoo, summary: Electronic Arts (EA) recognizes the history, heritage and culture of the Musqueam Indian Band by including artwork and assets from Musqueam artists in FIFA 23",EA
5,2022-09-28,"Headline: EA and KOEI TECMO Reveal WILD HEARTS™, a New AAA Hunting Game Coming February 17, 2023, source:Yahoo, summary: REDWOOD CITY, Calif., September 28, 2022--EA and KOEI TECMO officially unveiled WILD HEARTS™, the first AAA hunting experience for a new generation, coming February 17, 2023.",EA
6,2022-09-30,"Headline: EA SPORTS™ FIFA 23 Delivers the Most Complete Interactive Football Experience Yet, with HyperMotion2, Generational Cross-Play, Women's Club Football, and Both Men's and Women's FIFA World Cups™, source:Finnhub, summary: The Most Expansive EA SPORTS FIFA Ever Launches Worldwide Today... | September 30, 2022, Headline: EA SPORTS™ FIFA 23 Delivers the Most Complete Interactive Football Experience Yet, with HyperMotion2, Generational Cross-Play, Women’s Club Football, and Both Men's and Women's FIFA World Cups™, source:Yahoo, summary: REDWOOD CITY, Calif., September 30, 2022--The Most Expansive EA SPORTS FIFA Ever Launches Worldwide Today",EA
7,2022-10-02,"Headline: EA's next 'Need for Speed' game on track for 2022 release, Barron's says, source:Thefly.com, summary: Electronic Arts' nex... EA",EA
8,2022-10-03,"Headline: Investing in Electronic Arts (NASDAQ:EA) three years ago would have delivered you a 22% gain, source:Yahoo, summary: Thanks in no small measure to Vanguard founder Jack Bogle, it's easy buy a low cost index fund, which should provide..., Headline: Electronic Arts Inc. call volume above normal and directionally bullish, source:Thefly.com, summary: Bullish option flow detec... EA, Headline: Electronic Arts (EA) to Release Wild Hearts Gameplay on Feb 17, source:Yahoo, summary: Electronic Arts (EA) and Koei Tecmo have revealed that the Wild Hearts action game from the Dynasty Warriors developer is set to arrive on Feb 17, 2023., Headline: EA’s ‘Need for Speed’ Is Still on Track to Be Released This Year: Source, source:MarketWatch, summary: Despite recent concerns from Wall Street, a source says the next installment in the popular Need for Speed franchise is set to be released this year., Headline: Electronic Arts Inc. stock rises Monday, outperforms market, source:MarketWatch, summary: Shares of Electronic Arts Inc. rose 3.59% to $119.86 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",EA
9,2022-10-04,"Headline: What You Missed This Week in Video Games, source:Thefly.com, summary: Google shutters cloud gaming service Stadia after three years MSFT, SONY, NTDOY, ATVI, EA, TTWO, DIS, OTGLY, UBSFY, TCEHY, SQNXF, Headline: Electronic Arts Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of Electronic Arts Inc. rose 2.79% to $123.20 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P..., Headline: Electronic Arts put volume heavy and directionally bearish, source:Thefly.com, summary: Bearish flow noted in Ele... EA",EA
