,date,information,related
0,2022-09-23,"Headline: EBAY INC Change in Directors or Principal Officers (form 8-K/A), source:Finnhub, summary: Item 5.02. Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On August... | September 23, 2022, Headline: eBay : Management Change - Form 8-K/A, source:Finnhub, summary: UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K/A CURRENT REPORT Pursuant to Section 13 or 15... | September 23, 2022, Headline: eBay Inc. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of eBay Inc. slumped 0.29% to $38.19 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index..., Headline: eBay Awards $500,000 to 2022 Class of Up & Running Grant Recipients, source:Yahoo, summary: eBay Inc. today announced the recipients of its third annual Up & Running Grant program, which was created in partnership with Hello Alice to support U.S. small businesses with the capital and resources they need to scale, grow and thrive online.",EBAY
1,2022-09-25,"Headline: New minimum tax could hit Berkshire Hathaway and Amazon hardest, study shows, source:CNBC, summary: The 15% minimum tax would impact around 78 companies, according to 2021 financial data, with Berkshire and Amazon paying the most., Headline: Even in a Recession, Divergent Stocks Will Prosper, source:InvestorPlace, summary: Divergent stocks have been the perfect recessionary medicine. During crashes, they tend to soar -- while the rest of the market collapses.",EBAY
2,2022-09-26,"Headline: EBay Awards $500,000 to 2022 Class of 'Up & Running Grant' Recipients, source:Finnhub, summary: eBay Inc. -- Today announced the recipients of its third annual Up & Running Grant program, which was created in partnership with Hello Alice to support U.S. small businesses with the capital and... | September 26, 2022, Headline: 7 Stocks to Buy Before They Crush Q3 Earnings, source:Yahoo, summary: Today’s article introduces seven robust stocks to buy ahead of earnings. Given the unprecedented tightening by the Federal Reserve, investors are worried that the overall corporate profitability could further deteriorate in the third quarter. A recent Factset Research Systems (NYSE:FDS) report highlights “the estimated earnings growth rate for the S&P 500” for the third quarter has declined to 3.5%. Put another way, Wall Street is getting ready for the lowest earnings growth rate in the past two, Headline: eBay Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of eBay Inc. shed 0.16% to $38.13 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index..., Headline: New corporate tax would have raised $30 billion from 'under a dozen companies' in 2021: Expert, source:Yahoo, summary: University of North Carolina Kenan-Flagler Business School Associate Professor Jeffrey Hoopes joins Yahoo Finance Live to explain why the new 15% minimum corporate tax rate would hit companies like Amazon and Berkshire Hathaway the hardest., Headline: Here Are the Designer Items That Resell the Best, source:Yahoo, summary: While the quote about having one's money in the closet right where one can see it comes from HBO's ""Sex and the City,"" the reality is that certain designer items do appreciate in value over the years.  Looking at resale numbers on online marketplace eBay  data, luxury watch company Chrono 24 found that Kering 's Gucci was by far the most popular designer brand to buy and sell second-hand.  In the last 90 days, 23,939 used Gucci items were purchased on eBay.",EBAY
3,2022-09-27,"Headline: Amazon Avoided $5.2 Billion in Taxes: Report. It Won’t Under New Law., source:Yahoo, summary: The Inflation Reduction Act imposes a 15% minimum tax rate on income as reported in GAAP financial statements. It takes effect in 2023., Headline: Analysts Offer Insights on Consumer Goods Companies: Ebay (EBAY) and Nike (NKE), source:TipRanks, summary: There&#8217;s a lot to be optimistic about in the Consumer Goods sector as 2 analysts just weighed in on Ebay (<span class='tr-stock-ticker' style='color:blue; font..., Headline: eBay Inc. stock falls Tuesday, underperforms market, source:MarketWatch, summary: Shares of eBay Inc. slipped 1.47% to $37.57 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",EBAY
4,2022-09-28,"Headline: Last Chance for Antitrust Bill to Curb Big Tech Now Hangs on Lame Duck Vote, source:Yahoo, summary: (Bloomberg) -- Supporters of a landmark antitrust bill gathered over beer and soft pretzels at Cafe Berlin on Capitol Hill last week to muster energy for one last push to rein in the dominance of giant technology companies.Most Read from BloombergGermany Suspects Sabotage Hit Russia’s Nord Stream PipelinesApple Ditches iPhone Production Increase After Demand FaltersAlzheimer’s Progression Slowed by Drug in Major TrialPutin’s Mobilization Hits Russia’s Economy in Its Weak SpotsRussia Declares Vic, Headline: 10 Dividend Paying Stocks You Should Avoid According to Morgan Stanley’s Quant Screen, source:Yahoo, summary: In this article, we will discuss the 10 dividend paying stocks you should avoid according to Morgan Stanley’s quant screen. If you want to read about similar stocks, you can also take a look at 5 Dividend Paying Stocks You Should Avoid According to Morgan Stanley’s Quant Screen. Morgan Stanley’s Sherry Paul: “It’s a Buying […], Headline: eBay Inc. stock rises Wednesday, outperforms market, source:MarketWatch, summary: Shares of eBay Inc. rose 2.77% to $38.61 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",EBAY
5,2022-09-29,"Headline: Brahman Capital Corp. Buys 3,  - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: Interesting EBAY Put And Call Options For November 11th, source:Stock Options Channel, summary: Staff article entitled Interesting EBAY Put And Call Options For November 11th, about stock options, from Stock Options Channel., Headline: Heron Preston Releases Personal Sneaker Collection on eBay, source:Yahoo, summary: Today, eBay announces ""From the Collection,"" a new series of drops with exclusive items from renowned designers, artists, athletes and entertainers. The first installment, ""From the Collection: Heron Preston,"" gives fashion enthusiasts and sneaker collectors a chance to bid on more than 50 pairs from the designer's legendary personal collection, all starting at $0.99., Headline: Ex-eBay execs get prison time for bizarre harassment scheme, source:Associated Press, The, summary: No summary, Headline: REFILE-UPDATE 2-Ex-eBay execs heading to prison for harassing couple behind newsletter, source:Yahoo, summary: Two former eBay Inc security executives were sentenced to prison on Thursday for carrying out a campaign to harass and intimidate a Massachusetts couple through threats and disturbing home deliveries after their online newsletter drew the ire of the company's then-CEO.  Jim Baugh and David Harville were sentenced to 57 and 24 months in prison, respectively, for their roles in an extensive harassment campaign that involved sending the couple cockroaches, a funeral wreath and a bloody Halloween pig mask.  U.S. District Judge Patti Saris, who imposed the sentences during hearings in Boston, called it a ""hard-to-imagine"" scheme fueled by a ""toxic culture"" at the Silicon Valley e-commerce company., Headline: Ex-eBay exec heading to prison for harassing couple behind newsletter, source:Reuters, summary: A former eBay Inc security executive was sentenced on Thursday to 57 months in prison for directing a crusade to harass a Massachusetts couple with threats and disturbing home deliveries after their online newsletter drew the ire of the e-commerce company's then-CEO., Headline: Two former eBay executives sentenced to prison for involvement in cyberstalking scheme, source:CNBC, summary: The former eBay executives hatched a campaign to harass the editor and publisher of the website eCommercebytes, Headline: eBay Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of eBay Inc. slid 2.38% to $37.69 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index..., Headline: Ex-eBay execs heading to prison for harassing couple behind newsletter, source:Reuters, summary: Two former eBay Inc security executives were sentenced to prison on Thursday for carrying out a campaign to harass and intimidate a Massachusetts couple through threats and disturbing home deliveries after their online newsletter drew the ire of the company's then-CEO.",EBAY
6,2022-09-30,"Headline: Former eBay executive sentenced to prison for harassment campaign, WSJ says, source:Thefly.com, summary: James Baugh, a former eBa... EBAY, Headline: Two former eBay execs receive prison terms for cyberstalking, source:United Press International, summary: No summary, Headline: Two Former eBay Officials Put Behind Bars for Cyberstalking, source:Yahoo, summary: The U.S. Department of Justice sentenced two former eBay Inc (NASDAQ: EBAY) executives to prison for their roles in a cyberstalking campaign targeting the editor and publisher of a newsletter that eBay executives viewed as critical of the company. James Baugh, eBay's former senior director of safety and security, and eBay's former director of global resiliency, David Harville, pleaded guilty to charges in the case. Baugh, Harville, and several other eBay executives in 2019 hatched a campaign to",EBAY
7,2022-10-03,"Headline: eBay price target lowered to $44 from $54 at BofA, source:Thefly.com, summary: BofA analyst Justin Post ... EBAY, Headline: eBay Inc put volume heavy and directionally bearish, source:Thefly.com, summary: Bearish flow noted in eBa... EBAY, Headline: Amazon and eBay to See Sales Pressure as Consumer Spending Weakens, Analyst Warns, source:Yahoo, summary: BofA analyst Justin Post cut his price targets and financial forecasts for both e-commerce companies., Headline: Poshmark to Sell Itself for Less Than Half Its IPO Price to Korea’s Naver, source:Yahoo, summary: The social shopping marketplace, which went public at $42, will be taken over for $17.90 a share. The transaction values Poshmark at about $1.6 billion.",EBAY
8,2022-10-04,"Headline: Shopify: -84.72% From Its 52-Week High, And I Still Don't Think It's A Buy, source:SeekingAlpha, summary: nan, Headline: Reunited: After Decades, a Firefighter's Helmet Is Returned to His Family, source:Finnhub, summary: The Portsmouth volunteer firefighter's helmet belonged to Stanley Pizz, a Port City native who fought fires from 1955 through 1979. Photo credit: Olivia Falcigno, USA Today Network. ... | October 4, 2022",EBAY
9,2022-10-06,"Headline: eBay price target lowered to $42 from $52 at Jefferies, source:Thefly.com, summary: Jefferies analyst John Co... EBAY, Headline: EBAY November 25th Options Begin Trading, source:Stock Options Channel, summary: Staff article entitled EBAY November 25th Options Begin Trading, about stock options, from Stock Options Channel., Headline: The 5 Best Places for Early Holiday Shopping, source:Yahoo, summary: Here are five of the best places to do some early holiday shopping.  Etsy shops are independently owned, and most are mom-and-pop stores operated by artists.  Shopping through Etsy does two things: It allows you to find one-of-a-kind items and to support small businesses around the globe.",EBAY
