,date,information,related
0,2022-09-23,"Headline: Exelon Corp. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of Exelon Corp. slid 0.02% to $41.67 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",EXC
1,2022-09-26,"Headline: EXC Stock Crowded With Sellers, source:Energy Stock Channel, summary: energy stock channel,EXC,, Headline: Exelon Corp. stock falls Monday, underperforms market, source:MarketWatch, summary: Shares of Exelon Corp. shed 2.62% to $40.58 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",EXC
2,2022-09-27,"Headline: ComEd Piloting Herbicide Drone Program to Prevent Power Outages Through Vegetation Management, source:Yahoo, summary: CHICAGO, September 27, 2022--ComEd has begun piloting an innovative approach to vegetation management near powerlines with the help of specialized drones. The first deployment of drone-delivered herbicide took place on two-acres of ComEd right-of-way land in Forest View, Ill. in late August. The drone deployment process took 45 minutes and 0.75 gallons of herbicide to complete what would have taken a human crew approximately two days of work and 8 gallons of herbicide solution. Recent inspection, Headline: Exelon Corp. stock underperforms Tuesday when compared to competitors, source:MarketWatch, summary: Shares of Exelon Corp. slipped 1.06% to $40.15 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index..., Headline: Wednesday Sector Laggards: Utilities, Consumer Products, source:Market News Video, summary: The worst performing sector as of midday Wednesday is the Utilities sector, up 1.0% - Within the sector, Exelon Corp (EXC) and Edison International (EIX) are two large stocks that are lagging, showing a loss of 0.7% and 0.3%, respectively. - EXC,EIX,XLU,VFC,HAS.",EXC
3,2022-09-28,"Headline: Constellation Joins State and Federal Officials to Celebrate Progress on Nation’s First Nuclear-Powered Clean Hydrogen Facility, source:Business Wire, summary: No summary, Headline: Exelon Corp. stock falls Wednesday, underperforms market, source:MarketWatch, summary: Shares of Exelon Corp. shed 1.17% to $39.68 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500..., Headline: Thursday Sector Laggards: Utilities, Services, source:Market News Video, summary: The worst performing sector as of midday Thursday is the Utilities sector, showing a 4.1% loss - Within that group, Exelon Corp (EXC) and PPL Corp (PPL) are two large stocks that are lagging, showing a loss of 5.6% and 5.3%, respectively. - EXC,PPL,XLU,KMX,CZR.",EXC
4,2022-09-29,"Headline: ComEd Toolkit Helps Customers Navigate Purchasing an Electric Vehicle, source:Yahoo, summary: CHICAGO, September 29, 2022--Because navigating the emergent electric vehicle (EV) market can be intimidating, ComEd has created a one-stop-shop for those considering an EV purchase. The ComEd EV Toolkit provides information on savings, benefits and incentives for the purchase of EVs, along with an overview of EV brands and models, rate options, EV chargers and a public charging station locator. The EV Toolkit empowers customers by providing the latest information and resources to help those con, Headline: Exelon Corp. stock underperforms Thursday when compared to competitors, source:MarketWatch, summary: Shares of Exelon Corp. slipped 4.86% to $37.75 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",EXC
5,2022-09-30,"Headline: 4 High-Yield Stocks for Divide - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Alberto Abaterusso and the topic is about: These stocks are yielding more than the S&P 500",EXC
6,2022-10-03,"Headline: Exelon initiated with an Outperform at Credit Suisse, source:Thefly.com, summary: Credit Suisse analyst Nic... EXC, Headline: ComEd Developing Next Generation of STEM Leaders During Hispanic Heritage Month, source:Business Wire, summary: No summary",EXC
7,2022-10-04,"Headline: Exelon (EXC) to Gain From Cost Management & $29B Investment, source:Yahoo, summary: Exelon Corporation (EXC) is poised for growth, courtesy of its strong long-term investment plans and a stable cash flow from operations., Headline: ComEd Energy Doctors Offer Energy-Saving Tips for Cold Weather in Time for National Energy Efficiency Day, source:Yahoo, summary: CHICAGO, October 04, 2022--As temperatures drop, ComEd’s Energy Doctors offer energy-saving tips for cold weather to help families and individuals manage energy use and save money on electric bills – just in time for National Energy Efficiency Day, which is Wednesday, Oct. 5.",EXC
8,2022-10-06,"Headline: Exelon Signs White House Pledge to Support Equitable Workforce Development for Infrastructure Jobs, source:Yahoo, summary: CHICAGO, October 06, 2022--Signing the White House Talent Pipeline Challenge is the latest effort by Exelon to build on its industry-leading workforce development programs., Headline: ComEd Selects Nonprofits to Administer $1.4 Million in Climate-Friendly Programs to Northern Illinois Residents, source:Yahoo, summary: CHICAGO, October 06, 2022--To help connect northern Illinois families and businesses to climate-friendly programs and related services, ComEd today announced the selection of the nonprofit organizations that will administer nearly $1.4 million in grants through the energy company’s new Climate-Friendly Grant Assistance program.",EXC
9,2022-10-07,"Headline: Duke Energy (DUK) Unit Files for Rate Hike to Strengthen Grid, source:Yahoo, summary: Duke Energy (DUK) unit files for a rate increase with the Commission, which if approved, will generate funds and assist the company to continue with its infrastructure upgrade.",EXC
10,2022-10-10,"Headline: Avista Corporation: Still Overpriced But May Be Attracting ESG Money, source:SeekingAlpha, summary: Avista Corporation is a major electric and natural gas utility that serves customers throughout the Pacific Northwest.",EXC
11,2022-10-11,"Headline: Black Hills' (BKH) Unit Gets Rate Hike Approval in Arkansas, source:Yahoo, summary: Black Hills (BKH) Arkansas natural gas unit receives rate hike approval and will continue with infrastructure strengthening activities and provide high-quality services to its customers., Headline: Eversource Energy: Changing Business Model Brings Opportunities And Risks, source:SeekingAlpha, summary: Eversource Energy is not particularly cheap, but it's still worth thinking about for a portfolio. Read a full investment analysis of ES stock.",EXC
12,2022-10-12,"Headline: Exelon Corp. stock falls Wednesday, underperforms market, source:MarketWatch, summary: Shares of Exelon Corp. slipped 4.03% to $35.96 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",EXC
