,date,information,related
0,2022-09-23,"Headline: The Best Battery Gigafactory Stock You’ve Never Heard Of, source:TalkMarkets, summary: FREYR Battery is a Norwegian company with the goal to produce green battery cells to accelerate the decarbonization of both energy and transportation systems globally., Headline: Cathie Wood Is Doubling Down on Velo3D (VLD) Stock, source:InvestorPlace, summary: Yesterday, Cathie Wood purchased 96,623 shares of VLD stock through the 3D Printing ETF. The ETF has also received a management change., Headline: How Duke Energy, Honeywell and other corporate giants in Charlotte are remaking office experience, source:Yahoo, summary: When Duke Energy announced plans for a new uptown tower in late 2018, it was already planning for a move to hybrid work schedules for office employees. Honeywell, too, says remote work and flex time were already before the pandemic., Headline: Honeywell (HON) Unveils Integrated Smoke, IAQ Detection System, source:Yahoo, summary: Honeywell (HON) launches VESDA Air solution, a single system combining smoke detection and indoor air quality monitoring, to enhance building safety.",HON
1,2022-09-24,"Headline: The Inflation Reduction Act, Occidental, 45Q, And You: A Carbon Capture Investing Guide, source:SeekingAlpha, summary: Carbon capture will become an exponentially expanding market in the next decade. Click here to see a detailed synopsis of carbon capture technologies from Occidental.",HON
2,2022-09-25,"Headline: 3 Blue Chip Stocks With Growth Potential You Can't Miss, source:Yahoo, summary: These companies face near-term risk coming from a slowing economy, but they are all transforming their businesses for long-term growth.",HON
3,2022-09-26,"Headline: Final Trades: Wynn Resorts, Honeywell, General Motors & more, source:CNBC, summary: The ""Halftime Report"" traders give their top picks to watch for the second half.",HON
4,2022-09-27,"Headline: Investing In Secular Trends: Reshoring And The Reversal Of Globalization, source:SeekingAlpha, summary: Recent legislation in US provides initial catalyst, financial incentives for many companies. Check out direct, indirect long-term beneficiaries of this catalyst., Headline: HONEYWELL'S CORPORATE HEADQUARTERS EARNS LEED® GOLD, source:Yahoo, summary: Honeywell (Nasdaq: HON) today announced that its Charlotte, N.C., corporate headquarters building has earned the coveted Leadership in Energy and Environmental Design (LEED) Gold certification from the U.S. Green Buildings Council (USGBC) for its building envelope and tenant upfit. The most widely used green building rating system worldwide, LEED is a globally recognized symbol of sustainability achievement and leadership., Headline: 10 Stocks to Sell Now According to Javier Velazquez’s Albar Capital, source:Yahoo, summary: In this piece, we will take a look at the ten stocks to sell now according to Javier Velazquez’s Albar Capital. If you want to skip our introduction of the hedge fund and jump ahead to the top five stocks in this list, then take a look at 5 Stocks to Sell Now According to […]",HON
5,2022-09-28,"Headline: Honeywell's Corporate Headquarters Earns LEED Gold, source:Finnhub, summary: Honeywell today announced that its Charlotte, N.C., corporate headquarters building has earned the coveted Leadership in Energy and Environmental Design Gold certification from the U.S. Green... | September 28, 2022, Headline: Honeywell's Corporate Headquarters Earns LEED Gold; Company's own ready now AI-powered energy performance monitoring, air quality sensors, demand-controlled ventilation and smart lighting helped contribute to the Charlotte HQ's Gold rating, source:Finnhub, summary: CHARLOTTE, N.C.- Honeywell today announced that its Charlotte, N.C., corporate headquarters building has earned the coveted Leadership in Energy and Environmental Design Gold certification from the... | September 28, 2022, Headline: Quant Ratings Updated on 53 Stocks, source:InvestorPlace, summary: Out of the 53 stocks that were upgraded/downgraded this weekend, 12 were upgraded from a D-rating to a C-rating.",HON
6,2022-09-29,"Headline: Honeywell International Inc. - Honeywell to delist from London Stock Exchange, source:Finnhub, summary: HONEYWELL TO DELIST FROM LONDON STOCK EXCHANGECHARLOTTE, N.C., September 29, 2022 --  Honeywell International Inc. hereby gives notice of its intention to request the UK Financial... | September 29, 2022, Headline: HONEYWELL TO RELEASE THIRD QUARTER FINANCIAL RESULTS AND HOLD ITS INVESTOR CONFERENCE CALL ON THURSDAY, OCTOBER 27, source:Yahoo, summary: Honeywell (NASDAQ: HON) will issue its third quarter financial results before the opening of the Nasdaq Stock Market on Thursday, October 27. The company will also hold a conference call at 8:30 a.m. EDT.",HON
7,2022-09-30,"Headline: Honeywell to increase annual dividend to $4.12 per share from $3.92, source:Thefly.com, summary: Honeywell announced that ... HON, Headline: Honeywell International Raises Quarterly Dividend by 5.1% to $1.03 >HON, source:MarketWatch, summary: By Colin Kellaher Honeywell International Inc. on Friday said its board raised the quarterly dividend by 5.1% to $1.03 a share. The new payout, equal to..., Headline: Honeywell International Raises Quarterly Dividend by 5.1% to $1.03, source:Finnhub, summary: By Colin Kellaher Honeywell International Inc. on Friday said its board raised the quarterly dividend by 5.1% to $1.03 a share. The new payout, equal to $4.12 a year, represents an annual... | September 30, 2022, Headline: HONEYWELL TO INCREASE DIVIDEND EFFECTIVE FOURTH QUARTER 2022, source:Yahoo, summary: Honeywell (NASDAQ: HON) today announced that its Board of Directors has approved an increase in the company's regular annual cash dividend from $3.92 to $4.12 per share. The increase will be effective starting with the fourth-quarter dividend of $1.03 per share, which was declared today, and is payable on December 2, 2022, out of surplus to holders of record at the close of business on November 11, 2022., Headline: Honeywell raises dividend, to boost yield above 2.4%, source:Yahoo, summary: Shares of Honeywell International Inc. edged up 0.1% in morning trading Friday, after the aerospace, control technologies for building and performance materials company raised its dividend by 5.1%. The new quarterly dividend of $1.03 a share, up from 98 cents, will be payable Dec. 2 to shareholders of record on Nov. 11. At current stock prices, the new annual dividend rate of $4.12 a share implies a dividend yield of 2.42%, which compares with implied yield for the S&P 500 of 1.81%, and would ma, Headline: HONEYWELL INTERNATIONAL INC : Change in Directors or Principal Officers (form 8-K), source:Finnhub, summary: Item 5.02 Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain ... | September 30, 2022, Headline: Honeywell Names Vice President and Treasurer, source:Finnhub, summary: Honeywell International Inc. today announced that the Company's Board of Directors has appointed Thilo Huber as the Company's Vice President and Treasurer, effective October 1, 2022.Huber has been... | September 30, 2022, Headline: Honeywell Boosts Dividend By 5%, source:Yahoo, summary: Honeywell International Inc (NASDAQ: HON) Board of Directors approved an increase in the company's regular annual cash dividend from $3.92 to $4.12 per share. The increase will be effective starting with the Q4 dividend of $1.03 per share, representing a hike of 5% from $0.98. The dividend is payable on December 2, 2022, out of surplus to holders of record at the close of business on November 11, 2022. Honeywell held $8.6 billion in cash and equivalents as of June 30, 2022. ""Honeywell continues, Headline: Honeywell International Inc. (HON) Dips More Than Broader Markets: What You Should Know, source:Yahoo, summary: Honeywell International Inc. (HON) closed at $166.97 in the latest trading session, marking a -1.82% move from the prior day.",HON
8,2022-10-01,"Headline: 3 Industrial Stocks to Buy Before the Bear Market Is Over, source:Yahoo, summary: The time to buy is when everyone else is fearful. Here are three industrial stocks getting hit that you should be looking at today., Headline: Dividend Champion, Contender, And Challenger Highlights: Week Of October 2, source:SeekingAlpha, summary: Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. Click here to see companies with upcoming ex-dividend dates and upcoming pay dates., Headline: My Dividend Growth Portfolio September Update - Another REIT Lost, source:SeekingAlpha, summary: STORE Capital joins Preferred Apartments as the second REIT lost to acquisition this year. Click here to see the other changes in the Dividend Growth Portfolio.",HON
9,2022-10-02,"Headline: Bear Market Stokes Severe Risk Of Higher Portfolio Income, source:SeekingAlpha, summary: Click here to read the interview with Mr. Pancake to get his take on current market conditions.",HON
10,2022-10-03,"Headline: Honeywell price target lowered to $206 from $210 at Barclays, source:Thefly.com, summary: Barclays analyst Julian M... HON, Headline: DBRS Morningstar Confirms Honeywell's Issuer Rating and Senior Unsecured Rating at 'A' With Stable Trends, source:Finnhub, summary: DBRS Limited confirmed the Issuer Rating and Senior Unsecured Debt rating of Honeywell International Inc. at 'A' and the Company's Short-Term Debt rating at R-1 , all with Stable trends.The rating... | October 3, 2022, Headline: Honeywell to Increase Dividend Effective Fourth Quarter 2022, source:Finnhub, summary: CHARLOTTE, N.C., - Honeywell today announced that its Board of Directors has approved an increase in the company's regular annual cash dividend from $3.92 to $4.12 per share.The increase will be... | October 3, 2022, Headline: AbbVie, Rockwell Among 18 Companies To Announce Annual Dividend Increases In October, source:SeekingAlpha, summary: Many of the dividend increases in September were modest. One exception was Accenture, which rewarded investors with a 15% boost., Headline: Top 5 3rd Quarter Trades of NE - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: ",HON
11,2022-10-04,"Headline: Honeywell selected by Mangata Networks to provide control systems, source:Thefly.com, summary: Honeywell announced that ... HON, Headline: HONEYWELL SELECTED BY MANGATA NETWORKS TO PROVIDE CONTROL SYSTEMS FOR NEW SATELLITE CONSTELLATIONS, source:Yahoo, summary: Honeywell (NASDAQ: HON) today announced that Mangata Networks, a satellite telecommunications company, selected Honeywell's space integrated attitude control system (IACS) in support of its new constellations comprising 32 satellites. Mangata's new highly elliptical orbit (HEO) and medium Earth orbit (MEO) satellite constellations provide communications and weather monitoring in areas that typically lack in quality internet connectivity., Headline: Top Stocks To Buy Now? 3 Industrial Stocks To Check Out, source:StockMarket, summary: Do you have these top industrial stocks on your radar in the stock market today?, Headline: Tracking Mario Gabelli's Gabelli Funds 13F Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Mario Gabelli's 13F portfolio value decreased from $15.22B to $13.02B this quarter. Click here to read more about Gabelli Funds' holdings and trades for Q2 2022.",HON
12,2022-10-05,"Headline: SecurityWeek to Host 2022 ICS Cybersecurity Conference October 24-27 in Atlanta, source:Business Wire, summary: No summary",HON
13,2022-10-06,"Headline: HONEYWELL BEGINS PRODUCTION OF NEAR-ZERO GLOBAL-WARMING-POTENTIAL MEDICAL PROPELLANT, source:Yahoo, summary: Honeywell (Nasdaq: HON) today announced the opening of a plant in Baton Rouge, La., that is the company's first large-scale manufacturing site for Solstice® Air (HFO-1234ze(E) cGMP), a near-zero global-warming-potential (GWP) medical propellant for use in respiratory inhalers., Headline: SSUMY vs. HON: Which Stock Should Value Investors Buy Now?, source:Yahoo, summary: SSUMY vs. HON: Which Stock Is the Better Value Option?, Headline: Honeywell (HON) Rewards Investors With 5.1% Dividend Hike, source:Yahoo, summary: Honeywell (HON) increases its quarterly dividend 5.1% to $1.03 per share. HON is also active on the buyback front., Headline: Honeywell International Inc. (HON) Dips More Than Broader Markets: What You Should Know, source:Yahoo, summary: Honeywell International Inc. (HON) closed at $175.04 in the latest trading session, marking a -1.56% move from the prior day.",HON
14,2022-10-07,"Headline: 3M - A Legendary Stock With Some Short Term Hurdles, source:SeekingAlpha, summary: What is happening to 3M stock? Louis Stevens from Beating The Market shares his take on OKTA., Headline: 5 Stocks to Watch on Recent Dividend Hikes as Rates Rise, source:Yahoo, summary: Investors may keep a tab on LXFR, OZK, FLIC, LMT and HON, which have lately hiked their dividend payments to generate regular income.",HON
15,2022-10-08,"Headline: F-35 jet deliveries can resume following waiver for Chinese-origin alloy- Pentagon, source:Yahoo, summary: Deliveries can resume for Lockheed Martin Corp's F-35 jet under a waiver allowing Chinese-origin alloy to go into an engine part, the Pentagon said on Saturday.  In September the Pentagon stopped accepting new F-35 jets after it discovered a magnet in the stealthy fighter's engine was made with unauthorized material from China.  The waiver, signed Oct. 8 by William LaPlante, the Pentagon's chief weapons buyer, allows an alloy in the engine's lubricant pump that does not comply with U.S. procurement laws., Headline: F-35 Deliveries to Resume After Chinese Alloy Prompted Halt, source:Yahoo, summary: (Bloomberg) -- Deliveries of Lockheed Martin Corp.’s F-35 will resume after the Pentagon’s acquisitions chief issued a “national security” waiver from a ban on a Chinese alloy used in a component on the fighter jet.Most Read from BloombergUkraine Latest: Putin Calls Security Meeting, Comments on BridgeRussia Races to Reopen Crimea Bridge Damaged in Fiery BlastEight Years of Combat Hardened Ukraine’s Army Into a Fighting ForcePutin Orders Sakhalin-1 Project Transferred to Russian EntityThe compon",HON
16,2022-10-09,"Headline: 7 Value Stocks That Are Too Cheap to Ignore, source:InvestorPlace, summary: With market and economic forces eschewing growth-focused companies, now may be the time to consider cheap value stocks to buy., Headline: 3 Top Dow Jones Dividend Stocks to Buy in October and Hold for Decades, source:Yahoo, summary: The 30 components of the Dow Jones Industrial Average (DJIA) tend to be industry-leading companies that are meant to provide a representation of the broader economy.  Honeywell (NASDAQ: HON), Intel (NASDAQ: INTC), and Chevron (NYSE: CVX) stand out as three reliable Dow stocks to buy in October and hold for decades., Headline: Honeywell announces new ethanol-to-jet fuel processing technology, source:Thefly.com, summary: Earlier, Honeywell announ... HON",HON
