,date,information,related
0,2022-09-23,"Headline: IDEXX Laboratories Inc. stock rises Friday, outperforms market, source:MarketWatch, summary: Shares of IDEXX Laboratories Inc. rose 2.49% to $334.20 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",IDXX
1,2022-10-02,"Headline: Tracking Ron Baron's BAMCO Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Ron Baron's 13F portfolio value decreased from $40.75B to $31.14B this quarter. Click here to read more about BAMCO's holdings and trades for Q2 2022.",IDXX
2,2022-10-04,"Headline: Don't Miss the Turnaround in These 3 Stocks, source:InvestorPlace, summary: Of the 48 companies down more than double the S&P 500 year-to-date, these are the three stocks to buy for a turnaround in 2023., Headline: Don’t Miss the Turnaround in These 3 Stocks, source:Yahoo, summary: I’m on the hunt for stocks to buy that are primed for a turnaround in the final quarter of 2022 and into 2023. But what constitutes a turnaround? The S&P 500 is down more than 23% year-to-date through Oct. 3. Is that the place to start? Or do we look for an even more significant recovery? According to Finviz.com, there are currently 48 companies with a YTD return of -46% (double the index) or worse through the first nine months of 2022. I’ll find the three stocks to buy whose turnarounds you don",IDXX
3,2022-10-11,"Headline: Is Now An Opportune Moment To Examine IDEXX Laboratories, Inc. (NASDAQ:IDXX)?, source:Yahoo, summary: Today we're going to take a look at the well-established IDEXX Laboratories, Inc. ( NASDAQ:IDXX ). The company's stock..., Headline: IDEXX Laboratories to Release 2022 Third Quarter Financial Results, source:Yahoo, summary: IDEXX Laboratories, Inc. (NASDAQ: IDXX), a global leader in pet healthcare innovation, has scheduled the release of its 2022 third quarter results for Tuesday, November 1, 2022 before the market opens. The Company will conduct an analyst conference call beginning at 8:30 a.m. ET on that day.",IDXX
4,2022-10-13,"Headline: Elanco: Great Potential - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Praveen Chawla and the topic is about: Elanco is the second-largest company in animal health pharmaceuticals.  It is under-earning and undervalued., Headline: IDEXX Laboratories Inc. stock rises Thursday, still underperforms market, source:MarketWatch, summary: Shares of IDEXX Laboratories Inc. rose 2.16% to $335.22 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",IDXX
5,2022-10-14,"Headline: IDEXX Laboratories Inc. stock falls Friday, underperforms market, source:MarketWatch, summary: Shares of IDEXX Laboratories Inc. slid 3.16% to $324.64 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",IDXX
6,2022-10-17,"Headline: IDEXX Laboratories Inc. stock rises Monday, outperforms market, source:MarketWatch, summary: Shares of IDEXX Laboratories Inc. rallied 4.57% to $339.49 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",IDXX
7,2022-10-18,"Headline: IDEXX Laboratories Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of IDEXX Laboratories Inc. inched 0.79% higher to $342.16 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",IDXX
8,2022-10-19,"Headline: IDEXX (IDXX) to Report Q3 Earnings: What's in the Cards?, source:Yahoo, summary: IDEXX's (IDXX) CAG premium instrument placements are expected to have recorded significant growth in Q3 on the continued rise in Catalyst and premium hematology placements.",IDXX
9,2022-10-20,"Headline: IDEXX Laboratories Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of IDEXX Laboratories Inc. slid 1.28% to $331.20 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",IDXX
