,date,information,related
0,2022-09-21,"Headline: British stock market today, September 22  â what you need to know, source:TipRanks, summary: The FTSE 100 index closed up 0.6% while the FTSE 250 closed up 1.01%, driven by defence and energy stocks, amid escalating tensions between Russia and the West, as ...",JD
1,2022-09-23,"Headline: LONDON BROKER RATINGS: HSBC cuts THG; RBC lowers Asos, source:Alliance News, summary: No summary, Headline: Alibaba Is Pouring $1 Billion Into Cloud Computing. The Move Is Critical for Its Growth., source:MarketWatch, summary: The Chinese tech giant is betting big on cloud computing—a business that the company and Wall Street view as critical to Alibaba's future., Headline: GLOBAL BROKER RATINGS: Intertek raised; UBS likes Eli Lilly, source:Alliance News, summary: No summary, Headline: Hong Kong Shares Hit 11-Year Low. Alibaba, Tencent, and JD.com Lead Decline., source:MarketWatch, summary: Covid restrictions, interest rate hikes, weakness in the Chinese yuan, and the continuing U.S.-China rivalry have contributed to the financial hub's decline..., Headline: Ms. Carol Li Joins JD.com’s Board of Directors, source:Yahoo, summary: BEIJING, Sept. 23, 2022 (GLOBE NEWSWIRE) -- JD.com, Inc. (the “Company” or “JD.com”) (Nasdaq: JD and HKEx: 9618), a leading supply chain-based technology and service provider, today announced that Ms. Carol Yun Yau Li has been appointed as an independent director on the board of directors of the Company (the “Board”) and a member of the Board’s compensation committee, effective immediately. Ms. Li is a Managing Director of Yale Center Beijing, Yale University’s first university-wide center outsi, Headline: U.K. stocks drop for second day, source:MarketWatch, summary: U.K. stocks finished down Friday, with the FTSE 100 Index falling 1.97% at 7,018.60. Among FTSE 100 constituents, clothing retail company JD Sports Fashion..., Headline: Investors Heavily Search JD.com, Inc. (JD): Here is What You Need to Know, source:Yahoo, summary: No summary, Headline: Which Chinese Stock Could Offer Higher Upside Potential on Rebound?, source:Yahoo, summary: China’s retail sales and industrial output data for August were definitely encouraging. Retail sales grew 5.4% year-over-year (YOY) in August, while industrial production was up 4.2%. However, Chinese companies continue to be under pressure due to the disruption caused by the country’s “Zero Covid” policy, tensions between the U.S. and China, and a stricter regulatory environment for tech stocks. Furthermore, delisting concerns for the U.S.-listed Chinese stocks over regulatory non-compliance al",JD
2,2022-09-24,"Headline: JD.com (NASDAQ:JD) Might Have The Makings Of A Multi-Bagger, source:Yahoo, summary: What trends should we look for it we want to identify stocks that can multiply in value over the long term? Firstly...",JD
3,2022-09-26,"Headline: LONDON BROKER RATINGS: Berenberg likes OSB; JPMorgan cuts BP, source:Alliance News, summary: No summary, Headline: GLOBAL BROKER RATINGS: Jefferies cuts AB InBev; UBS likes FinecoBank, source:Alliance News, summary: No summary, Headline: LONDON MARKET CLOSE: Sterling battered; housebuilders, retailers down, source:Alliance News, summary: No summary, Headline: JD.com, Inc. (JD) Gains As Market Dips: What You Should Know, source:Yahoo, summary: JD.com, Inc. (JD) closed at $53.34 in the latest trading session, marking a +1.97% move from the prior day.",JD
4,2022-09-27,"Headline: TOP NEWS: JD Sports fined GBP1.5 million for Rangers kit price fixing, source:Alliance News, summary: No summary, Headline: 11 Best Chinese Stocks To Buy Now, source:Yahoo, summary: In this article, we discuss the 11 best Chinese stocks to buy now. If you want to read about some more Chinese stocks to buy now, go directly to 5 Best Chinese Stocks To Buy Now. Even though an interest rate hike by the Federal Reserve has dampened hopes of a soft landing for the […]",JD
5,2022-09-28,"Headline: JD.com: Caught The China Bug, source:SeekingAlpha, summary: JD.com, like most other Chinese stocks, has fallen out of favor with investors. Click to read why I rate JD stock a Buy at this time., Headline: Chinese Dealmaker That Backed Tencent Casts a Wider Startup Net, source:Yahoo, summary: (Bloomberg) -- Hillhouse, the private equity firm known for its bets on Tencent Holdings Ltd. and JD.com Inc., is now looking to back startups far earlier in their life cycles.Most Read from BloombergGermany Suspects Sabotage Hit Russia’s Nord Stream PipelinesAlzheimer’s Progression Slowed by Drug in Major TrialPutin’s Mobilization Hits Russia’s Economy in Its Weak SpotsApple Ditches iPhone Production Increase After Demand FaltersUS Housing Prices Fall for First Time Since 2012The China-focused, Headline: Chinese Billionaire Zhang Lei is Selling These 10 Stocks, source:Yahoo, summary: In this article, we present the list of the 1o stocks that billionaire Zhang Lei is selling off. You can skip our comprehensive analysis of Hillhouse Capital’s history, investment philosophy, and hedge fund performance, and go directly to Chinese Billionaire Zhang Lei is Selling These 5 Stocks. Zhang Lei is the CEO and founder of […], Headline: JD.com, Inc.'s (NASDAQ:JD) latest 7.3% decline adds to one-year losses, institutional investors may consider drastic measures, source:Yahoo, summary: If you want to know who really controls JD.com, Inc. ( NASDAQ:JD ), then you'll have to look at the makeup of its share..., Headline: 12 Best Asian Stocks To Buy Today, source:Yahoo, summary: In this article, we discuss 12 best Asian stocks to buy today. If you want to read about some more Asian stocks, go directly to 5 Best Asian Stocks To Buy Today. Higher energy and food prices are impacting the economies of developing Asian countries more than the rest of the world. According to a […], Headline: Chinese tycoon Richard Liu faces civil trial in alleged rape, source:Associated Press, The, summary: No summary, Headline: Nasdaq says IPOs by Chinese firms could pick up 'dramatically' as delisting fears ease, source:CNBC, summary: Some 30 Chinese companies went public on the Nasdaq in the first half of 2021, said Bob McCooey, vice chairman of Nasdaq.",JD
6,2022-09-29,"Headline: LONDON BROKER RATINGS: GSK raised to 'outperform'; RBC cuts THG, source:Alliance News, summary: No summary, Headline: GLOBAL BROKER RATINGS: Nordisk and GSK raised; BofA cuts Apple, source:Alliance News, summary: No summary, Headline: A Chinese #MeToo Case Is Set for Trial Far From China, source:Yahoo, summary: In a civil case that could galvanize China’s struggling #MeToo movement, a jury more than 6,000 miles from China will decide whether a prominent Chinese technology executive raped a Chinese college student in 2018., Headline: LONDON BRIEFING: JD Sports in Nike deal; UK GDP surprises, source:Alliance News, summary: No summary",JD
7,2022-09-30,"Headline: JD Sports joins forces with Nike as first connected partner in Europe, source:Alliance News, summary: No summary, Headline: ATRenew Inc. Announces Appointment of New Directors, source:PR Newswire, summary: No summary",JD
8,2022-10-01,"Headline: Chinese billionaire Richard Liu settles US rape allegation, source:Associated Press, The, summary: No summary",JD
9,2022-10-02,"Headline: JD.com Tycoon Settles Rape Suit Hours Before US Trial Begins, source:Yahoo, summary: (Bloomberg) -- Billionaire JD.com founder Richard Liu has reached a settlement with Liu Jingyao, the Minnesota student who accused him of rape in 2018, bringing to a close a civil suit less than 48 hours before a trial was set to begin. “The incident between Ms. Jingyao Liu and Mr. Richard Liu in Minnesota in 2018 resulted in a misunderstanding that has consumed substantial public attention and brought profound suffering to the parties and their families,” the parties said in a joint statement., Headline: JD.com (NASDAQ:JD) pulls back 3.8% this week, but still delivers shareholders notable 21% CAGR over 3 years, source:Yahoo, summary: It hasn't been the best quarter for JD.com, Inc. ( NASDAQ:JD ) shareholders, since the share price has fallen 24% in..., Headline: Chinese Tech Billionaire Richard Liu Settles Sexual-Assault Case in Minnesota, source:Yahoo, summary: The JD.com founder’s trial, in a civil suit brought by a student who said he raped her in 2018, was set to begin this week.",JD
