,date,information,related
0,2020-09-14,"Headline: 10 Largest Beverage Companies, source:Yahoo, summary: With PepsiCo at the top of the pile, these are the 10 largest beverage companies by 12-month trailing revenue.",KDP
1,2022-09-25,"Headline: Coca-Cola: The Problem With The Bearish Thesis, source:SeekingAlpha, summary: Coca-Cola significantly outperformed the market and its peers since I first covered. Read why KO stock is in excellent position to continue to beat the market.",KDP
2,2022-09-26,"Headline: What You Missed On Wall Street On Tuesday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, PFS, LBAI, JBL, BIIB, F, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, APO, SKIN, NVAX, HROW, RNA, OCUL, CBRL, UNFI, AVNT, SNX, SPLK, R, Headline: Keurig Dr Pepper downgraded to Neutral from Buy at Goldman Sachs, source:Thefly.com, summary: Goldman Sachs analyst Bon... KDP",KDP
3,2022-09-27,"Headline: Stocks making the biggest moves premarket: Keurig Dr Pepper, CSX, Li Auto and more, source:CNBC, summary: Check out the companies making headlines before the bell., Headline: Twitter, JetBlue, Lucid Group Rise Premarket; Avidity, Ferguson Fall, source:Yahoo, summary: By Peter Nurse, Headline: Insiders Buy the Holdings of AIVL ETF, source:ETF Channel, summary: Staff article entitled Insiders Buy the Holdings of AIVL ETF, about ETFs, from ETF Channel., Headline: Video: Nasdaq 100 Movers: KDP, LCID, source:Market News Video, summary: In early trading on Tuesday, shares of Lucid Group topped the list of the day's best performing components of the Nasdaq 100 index, trading up 5.2% - Year to date, Lucid Group has lost about 61.1% of its value - KDP,LCID,EBAY,PDD., Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, CBRL, PFS, LBAI, JBL, UNFI, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, DWAC, SKIN, NVAX, PENN, RNA, OCUL, AVNT, SNX, SPLK, FLT, NEOG, Headline: Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations, source:Thefly.com, summary: Hyatt upgrade, Keurig Dr Pepper downgrade and Lucid Group initiation among today's top calls on Wall Street H, PLD, FSV, PRFT, CCOI, KDP, CSX, NSC, DEI, CIGI, LAW, LCID, DVAX, LEV, XPEL, CINF, Headline: Stocks making the biggest moves midday: Hertz, Ford, Keurig Dr Pepper and more , source:CNBC, summary: These are the stocks posting the largest moves midday., Headline: Keurig Dr. Pepper stock downgraded by Goldman Sachs over margin risks, source:Yahoo, summary: Yahoo Finance Live looks at soft drink manufacturer Keurig Dr. Pepper's following a downgrade by Goldman Sachs analysts.",KDP
4,2022-09-29,"Headline: Keurig Dr. Pepper: This Bevera - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Tom Kerr, CFA and the topic is about: The hot and cold beverage company is growing its top line fast, but cost issues persist",KDP
5,2022-10-01,"Headline: Return Trends At Keurig Dr Pepper (NASDAQ:KDP) Aren't Appealing, source:Yahoo, summary: What trends should we look for it we want to identify stocks that can multiply in value over the long term? Amongst...",KDP
6,2022-10-03,"Headline: Wells Fargo Reaffirms Their Buy Rating on Keurig Dr Pepper (KDP), source:TipRanks, summary: In a report released today, Christopher Carey from Wells Fargo maintained a Buy rating on Keurig Dr Pepper (KDP &#8211; Research Report), with a price target of $41..., Headline: 7 Nasdaq Sleeper Stocks to Buy Before Wall Street Wakes Up, source:Yahoo, summary: The search for Nasdaq sleeper stocks to buy remains one many aggressive investors are on. However, at first glance, this search is one that seems incredibly risky. After all, compared to the other major equity indices, the technology-centric Nasdaq has suffered disproportionately. Much of this is due to an increasingly hawkish Federal reserve, with a monetary framework that doesn’t necessarily bode well for risk-taking. Recently, the Federal Reserve decided to take on an interest rate hiking cyc",KDP
7,2022-10-04,"Headline: Keurig Dr Pepper To Report Third Quarter 2022 Results And Host Conference Call, source:Yahoo, summary: Keurig Dr Pepper Inc. (NASDAQ: KDP) will release its financial results for the third quarter ended September 30, 2022 before the market opens on Thursday, October 27, 2022. The Company will also host a conference call on Thursday, October 27, 2022 at 8:00 AM (ET) to discuss the results with members of the investment community.",KDP
8,2022-10-05,"Headline: Keurig Dr Pepper chairman sells $4.5M in common stock, source:Thefly.com, summary: In a regulatory filing, K... KDP, Headline: Tracking William Nygren's Harris Associates Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Harris Associates' 13F portfolio value decreased from $75.90B to $62.85B this quarter. Read more to see about Harris Associates' holdings and trades for Q2 2022.",KDP
9,2022-10-06,"Headline: Keurig Dr Pepper Announces Strategic Partnership with Red Bull, source:Yahoo, summary: Keurig Dr Pepper (NASDAQ: KDP) today announced a strategic partnership with Red Bull, the iconic global energy brand, to sell and distribute Red Bull in Mexico, further leveraging and expanding KDP's successful partner network strategy.",KDP
10,2022-10-10,"Headline: Keurig Dr Pepper initiated with an Outperform at Wedbush, source:Thefly.com, summary: Wedbush analyst Gerald Pa... KDP, Headline: Mondelez: Richly Valued, But Still A Solid Income Investment, source:SeekingAlpha, summary: Mondelez is a very strong business and has been effective at offsetting inflation with price increases. Read my analysis of the MDLZ stock here.",KDP
