,date,information,related
0,2022-09-22,"Headline: Noteworthy Friday Option Activity: LCID, RIVN, CMPR, source:Stock Options Channel, summary: Staff article entitled Noteworthy Friday Option Activity: LCID, RIVN, CMPR, about stock options, from Stock Options Channel., Headline: Lucid, Rivian, Fisker: Hereâs Why American EV Makers Dropped Yesterday, source:TipRanks, summary: American electric vehicle (EV) makers witnessed a sharp decline in stock prices yesterday as a few unfavorable events developed. In particular, the newly founded co...",LCID
1,2022-09-24,"Headline: EVs Wonât Save the World; Climate Change a Complex Problem, source:TipRanks, summary: Climate change is an indisputable reality; it is also a scientific consensus that human emissions of carbon dioxide and other greenhouse gasses are a primary driver...",LCID
2,2022-09-26,"Headline: This Little-Known Battery Technology Will Drive the EV Revolution, source:InvestorPlace, summary: An underrated battery composition may be the key to making a sub-$20,000 electric car -- and helping top EV stocks to soar., Headline: What You Missed On Wall Street On Tuesday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, PFS, LBAI, JBL, BIIB, F, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, APO, SKIN, NVAX, HROW, RNA, OCUL, CBRL, UNFI, AVNT, SNX, SPLK, R",LCID
3,2022-09-27,"Headline: Lucid Group initiated with an Overweight at Cantor Fitzgerald, source:Thefly.com, summary: Cantor Fitzgerald analyst... LCID, Headline: Stocks making the biggest moves premarket: Keurig Dr Pepper, CSX, Li Auto and more, source:CNBC, summary: Check out the companies making headlines before the bell., Headline: Fly Intel: Pre-market Movers, source:Thefly.com, summary: Jabil and United Natural Foods both climb following earnings reports NMTR, MRK, LCID, CCOI, UNFI, JBL, SNX, AVNT, RNA, Headline: Unusually active option classes on open September 27th, source:Thefly.com, summary: Unusual total active opti... SHY, MVIS, EWU, COF, LCID, FXI, UUP, TELL, TEVA, WYNN, Headline: Lucid calls lead puts 5:1 in heavy volume, source:Thefly.com, summary: Lucid calls lead puts 5:1... LCID, Headline: One Analyst Says Lucid (LCID) Stock Could Surge 60% From Here, source:InvestorPlace, summary: LCID stock is catching a bid as traders contemplate Lucid potentially taking a bite out of the fast-growing global EV market., Headline: nan, source:TipRanks, summary: nan, Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, CBRL, PFS, LBAI, JBL, UNFI, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, DWAC, SKIN, NVAX, PENN, RNA, OCUL, AVNT, SNX, SPLK, FLT, NEOG, Headline: Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations, source:Thefly.com, summary: Hyatt upgrade, Keurig Dr Pepper downgrade and Lucid Group initiation among today's top calls on Wall Street H, PLD, FSV, PRFT, CCOI, KDP, CSX, NSC, DEI, CIGI, LAW, LCID, DVAX, LEV, XPEL, CINF, Headline: Stocks making the biggest moves midday: Hertz, Ford, Keurig Dr Pepper and more , source:CNBC, summary: These are the stocks posting the largest moves midday., Headline: Lucid Picks Up New Buy Rating. Stock Can Rise 60%., source:Yahoo, summary: Cantor Fitzgerald analyst Andres Sheppard launched coverage of the electric vehicle. He has a $23 price target for shares., Headline: Stocks: The biggest analyst calls on FedEx, McDonald's, Lucid, source:Yahoo, summary: Yahoo Finance Live anchors discuss Morgan Stanley halving its price target on FedEx, Citi lowering its forecast on McDonald's, and Cantor Fitzgerald initiating coverage of Lucid.",LCID
4,2022-09-28,"Headline: Unusual call flow in option market yesterday, source:Thefly.com, summary: Notable call activity was... LCID, Headline: Stocks And Sectors With The Biggest Declines, source:SeekingAlpha, summary: The average stock in the Russell 3000 was down 41.7% from its 52-week high as of the close on Monday. Across the entire Russell 3000, weâve seen more than $13 trillion in market cap erased.",LCID
5,2022-09-29,"Headline: The Best EV Stocks to Buy as Lithium Prices Decline, source:InvestorPlace, summary: The EV stocks that we’re most excited about? The companies beginning significant production ramps into 2023., Headline: Video: Nasdaq 100 Movers: LCID, AZN, source:Market News Video, summary: In early trading on Thursday, shares of AstraZeneca topped the list of the day's best performing components of the Nasdaq 100 index, trading down 0.3% - Year to date, AstraZeneca has lost about 6.4% of its value - LCID,AZN,SPLK,SBUX.",LCID
6,2022-10-02,"Headline: 7 Auto Stocks to Watch Going Into Q4 , source:InvestorPlace, summary: There are an incredibly dynamic set of factors that will have a big impact on auto stocks during the fourth quarter of 2022., Headline: Notable Monday Option Activity: LCID, AA, ADSK, source:Stock Options Channel, summary: Staff article entitled Notable Monday Option Activity: LCID, AA, ADSK, about stock options, from Stock Options Channel.",LCID
7,2022-10-03,"Headline: What You Missed This Week in EVs and Clean Energy, source:Thefly.com, summary: Tesla reports third quarter deliveries that missed Street expectations RIDE, BP, HTZ, IE, LEV, TSLA, RIVN, JKS, RUN, FSLR, GM, QS, PRTA, LCID, LI, F, Headline: Certain EV Stocks Will See 10X Gains, According to This State, source:InvestorPlace, summary: Given the presently discounted valuations in the market, we believe certain EV stocks could soar a lot more than 10X in the coming years., Headline: Beat Back the Recession With Electric Car Charging Stocks, source:InvestorPlace, summary: The electric car megatrend won’t materialize unless an equally large growth spurt happens in EV charging infrastructure., Headline: Tracking Philippe Laffont's Coatue Management Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Philippe Laffont's 13F portfolio value decreased from $13.67B to $8.26B this quarter. Read more about Coatue Management's holdings and trades for Q2 2022.",LCID
8,2022-10-04,"Headline: EV Company News For The Month Of September 2022, source:SeekingAlpha, summary: September saw another very busy month of news with BYD and Tesla again dominating sales in August 2022. Click to read the latest edition of EV company news., Headline: Why Are EV Stocks TSLA, RIVN, NIO, LCID Up Today?, source:InvestorPlace, summary: Multiple EV stocks are rallying this morning after Rivian announced that it remained on track to meet its EV production target., Headline: Polestar: Everything Is Perfect, But There's A Catch, source:SeekingAlpha, summary: Polestarâs cars continue to gain traction among consumers. PSNY managed to diversify sales away from Europe, closer to the regions where its cars are produced. Read more here., Headline: Why Are EV Stocks PSNY, RIVN, LCID, TSLA Down Today?, source:InvestorPlace, summary: After a powerful rally on Tuesday, EV stocks are struggling on Wednesday. Is there more pain to come or is the dip just temporary?",LCID
9,2022-10-05,"Headline: Lucid: Don't Turn Away From This Pullback Now - Buy Aggressively, source:SeekingAlpha, summary: Lucid's recovery from its May lows has lost significant upward momentum as the market de-rated it. Click here to know why we reiterate our buy rating on LCID., Headline: Lucid, Rivian, And Nikola Are At The Front Of An EV Rush That's Conquering Our World, source:SeekingAlpha, summary: EV sales are rapidly accelerating to a future where they will surpass sales of ICE vehicles in most developed nations over the next decade. Read more here.",LCID
