,date,information,related
0,2020-07-30,"Headline: 10 Biggest Biotechnology Companies, source:Yahoo, summary: With Novo Nordisk at the top of the list, these are the 10 biggest biotechnology companies by 12-month trailing revenue.",MRNA
1,2022-09-22,"Headline: Just 4.4 million Americans have gotten omicron-targeted boosters so far, source:Yahoo, summary: Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall., Headline: What You Missed On Wall Street On Friday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. FDX, COST, FRPT, BA, GM, FUBO, ALLY, SPRO, GSK, APO, EVR, MC, HNHPF, MRNA, AMZN, AAPL, PEP, BX, CANO, HUM, MDGS, CS, APA, HAL, MRO, YETI, IBEX, APEI, FLUX, AIR, DSKE",MRNA
2,2022-09-23,"Headline: Moderna COVID-19 booster shortage causes canceled appointments, WSJ reports, source:Thefly.com, summary: Some US pharmacies and ot... MRNA, PFE, BNTX, Headline: Over 4 million Americans administered updated COVID boosters, says CDC, source:Finnhub, summary: The U.S. Centers for Disease Control and Prevention reported on Thursday that 4.4 million people had received updated COVID-19 booster shots, a few weeks into the government's new vaccination... | September 23, 2022, Headline: Moderna Covid-19 Booster Shortage Leads to Fewer Appointments at Pharmacies, source:Yahoo, summary: A manufacturing-quality problem has led to some vaccine providers only offering the Pfizer-BioNTech booster shot., Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. FDX, COST, FRPT, SCHL, BA, FUBO, ALLY, SPRO, GSK, EVR, MC, APO, HNHPF, MRNA, AMZN, META, AAPL, PEP, DSKE, IBEX, APEI, FLUX, AIR, CANO, HUMA, CS, APA, TELL, MDGS, Headline: Moderna says requests for EUAs for Omicron booster for kids submitted to FDA, source:Thefly.com, summary: Moderna tweeted: ""We... MRNA, Headline: U.S. rollout of new COVID boosters off to slow start, source:Finnhub, summary: Updated COVID-19 boosters have goneinto 4.4 million arms in the United States since a newrevaccination campaign began three weeks ago, government datashows, a slower pace for the shots targeting... | September 23, 2022, Headline: Moderna asks FDA to authorize omicron Covid boosters for children as young as 6 years old, source:CNBC, summary: Moderna has asked the FDA to authorize omicron boosters for adolescents ages 12 to 17-years-old and for kids ages 6 to 11-years-old., Headline: Why Novavax (NVAX) Stock Was Down 13% on Thursday, source:Yahoo, summary: Novavax (NVAX) sinks to a new record level 52-week low after analysts at JP Morgan cut the 12-month target price on the stock by more than $100., Headline: UPDATE 1-U.S. rollout of new COVID boosters off to slow start, source:Yahoo, summary: Updated COVID-19 boosters have gone into 4.4 million arms in the United States since a new revaccination campaign began three weeks ago, government data shows, a slower pace for the shots targeting the Omicron variant of the coronavirus than the rollout of the first boosters last year.  Last year, when the United States initially authorized COVID boosters just for older and immunocompromised people, nearly 10 million received their third shot in the first three weeks.  The latest data, released late on Thursday by the U.S. Centers for Disease Control and Prevention (CDC), did show increased interest in the Omicron shots over demand for the older boosters during the previous three weeks., Headline: Moderna Inc. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of Moderna Inc. dropped 0.55% to $123.64 Friday, on what proved to be an all-around dismal trading session for the stock market, with the NASDAQ..., Headline: Moderna : Statement of Changes in Beneficial Ownership - Form 4, source:Finnhub, summary: Ownership Submission FORM 4 Check this box if no longer... | September 23, 2022, Headline: Stocks moving in after hours: Ford, FedEx, Moderna, source:Yahoo, summary: Yahoo Finance Live anchor Seana Smith highlights stocks moving in after-hours trading, including Ford, FedEx, and Moderna., Headline: Moderna's COVID booster faces supply limitations after manufacturing issues, source:Yahoo, summary: Health reporter Anjalee Khemlani examines the shortages Moderna is experiencing in its latest COVID-19 booster shot, while also discussing vaccination options ahead of this year's flu season, Headline: Moderna seeks FDA nod for Omicron-targeted COVID shot for adolescents, younger kids, source:Reuters, summary: Moderna Inc said on Friday it has requested U.S. authorization for use of its Omicron-targeting COVID vaccine in adolescents and children.",MRNA
3,2022-09-24,"Headline: Better Growth Stock: Moderna vs. Teladoc, source:Yahoo, summary: It may be a bit early to establish Moderna's (NASDAQ: MRNA) and Teladoc Health's (NYSE: TDOC) lasting growth stock status by looking at the past couple of years.  Moderna launched the coronavirus vaccine as its first product in 2020 -- and vaccinated a good share of the population.  Teladoc saw revenue and virtual medical visits soar in the triple digits as people opted to stick close to home., Headline: UPDATE 1-Pfizer CEO tests positive for COVID for a second time, source:Yahoo, summary: Pfizer Inc Chief Executive Officer Albert Bourla said on Saturday he had tested positive for COVID-19.  ""I’m feeling well and symptom free,"" Bourla said in a statement.  Bourla, 60, back in August had contacted COVID and had started a course of the company's oral COVID-19 antiviral treatment, Paxlovid.",MRNA
4,2022-09-25,"Headline: New minimum tax could hit Berkshire Hathaway and Amazon hardest, study shows, source:CNBC, summary: The 15% minimum tax would impact around 78 companies, according to 2021 financial data, with Berkshire and Amazon paying the most.",MRNA
5,2022-09-26,"Headline: Pfizer/BioNTech seek FDA nod for new COVID boosters for children, source:Finnhub, summary: Pfizer Inc and its Germanpartner BioNTech on Monday sought the U.S. Food andDrug Administration's authorization for an Omicron-tailoredCOVID-19 vaccine booster for children aged 5 through 11... | September 26, 2022, Headline: Pfizer seeks to expand omicron booster to 5- to 11-year-olds, source:Associated Press, The, summary: No summary, Headline: Down 85%, Is There Any Hope for This Struggling Vaccine Stock?, source:Yahoo, summary: In the early days of the pandemic, if there was one coronavirus vaccine stock investors were betting on, it was Novavax (NASDAQ: NVAX).  The biotech stock soared more than 2,700% in 2020 as it developed its vaccine candidate.  In the same timeframe, Pfizer shares hardly budged., Headline: Switzerland To Dispose 10M Expired COVID-19 Vaccine Doses From Moderna, source:Yahoo, summary: Switzerland would have to discard 10.3 million doses of Moderna Inc's (NASDAQ: MRNA) COVID-19 vaccine, the health ministry said Saturday. The ministry said it had no choice but to eliminate the shots after the doses expired. It told the news agency that 2.5 million doses were being stored at a Swiss army logistics base and 7.8 million were in an external storage depot in Belgium. The ministry confirmed an initial report, which estimated that the destroyed doses would be worth around CHF280 milli, Headline: Pfizer asks FDA to authorize omicron Covid booster shots for kids ages 5 to 11, source:CNBC, summary: Pfizer's application to the FDA comes before clinical trial results of the omicron BA.5 booster shots have been published. , Headline: Pfizer and BioNTech seek authorization of omicron-targeted booster for children aged 5 to 11, source:MarketWatch, summary: Pfizer and German partner BioNTech said Monday they're seeking Food and Drug Administration authorization for their omicron-targeting bivalent vaccine for..., Headline: Moderna Seeks FDA Approval For Updated COVID-19 Shot For Kids, But Scrambles Supply Challenges, source:Yahoo, summary: Last week, Moderna Inc (NASDAQ: MRNA) said it asked the FDA to authorize the use of its updated booster shot in children ages 6 to 17. The company expects to complete a request for the use of the booster in children six months through 5 years later this year. But federal officials have advised state officials that there is a limited supply of updated booster shots for Moderna. Vaccine sites have either canceled or stopped scheduling new appointments for people seeking a Moderna booster shot. Hen, Headline: Pfizer CEO Contracts COVID-19 Infection For Second Time, source:Yahoo, summary: Pfizer Inc's (NYSE: PFE) CEO Albert Bourla said he had tested positive for COVID-19. ""I'm feeling well and symptom-free,"" 60-year-old Bourla said in a statement. In August, he contacted COVID and received one course of paxlovid, Pfizer's oral COVID-19 antiviral treatment. Bourla has received four doses of the COVID vaccine developed by Pfizer and BioNTech SE (NASDAQ: BNTX). Bourla said he has not yet taken the new bivalent booster. Developed by Moderna Inc (NASDAQ: MRNA) and Pfizer/BioNTech, the, Headline: EMA's CHMP Starts Evaluating Application For Authorisation Of Additional Adapted Version Of Spikevax, source:Finnhub, summary: EMA: * EMA: EMA'S CHMP STARTED EVALUATING AN APPLICATION FOR THE AUTHORISATION OFANADDITIONAL ADAPTED VERSION OF SPIKEVAX: 26/09/2022Further company coverage: ... | September 26, 2022, Headline: Moderna Inc. stock underperforms Monday when compared to competitors, source:MarketWatch, summary: Shares of Moderna Inc. slid 3.19% to $119.69 Monday, on what proved to be an all-around grim trading session for the stock market, with the NASDAQ Composite..., Headline: New corporate tax would have raised $30 billion from 'under a dozen companies' in 2021: Expert, source:Yahoo, summary: University of North Carolina Kenan-Flagler Business School Associate Professor Jeffrey Hoopes joins Yahoo Finance Live to explain why the new 15% minimum corporate tax rate would hit companies like Amazon and Berkshire Hathaway the hardest., Headline: U.S. FDA clears additional lots of Moderna's Covid booster amid shortage, source:Reuters, summary: The U.S. Food and Drug Administration said on Monday it has authorized an additional five batches of Moderna Inc's updated Covid booster shots made at a Catalent facility in Indiana, after it deemed them safe for use.",MRNA
6,2022-09-27,"Headline: The 7 Best Stocks to Buy to Tap Into a Hidden Bull Market, source:InvestorPlace, summary: Despite the ongoing worries on Wall Street, these are the best stocks to buy to play the hidden bull market., Headline: As Moderna Grapples With Supply Shortage, FDA Gives Nod To Additional Lots of COVID-19 Booster, source:Yahoo, summary: The FDA authorized an additional five batches of Moderna Inc's (NASDAQ: MRNA) updated Covid booster shots made at Catalent Inc's (NYSE: CTLT) Indiana facility after it deemed them safe for use. Last week, the agency allowed the use of ten batches of Moderna's updated booster shots made at the Bloomington facility, owned by a unit of Catalent, which is currently not a part of emergency use authorization. Reuters reported that the FDA had earlier said Moderna had requested authorization for additi, Headline: Pfizer or Moderna: Which new omicron-specific Covid booster should you get?, source:CNBC, summary: Americans have two options for getting a new omicron-specific Covid booster shot: Pfizer or Moderna. Which one should you get? Here's what experts say., Headline: Canada to scrap mask mandate on planes, joining Japan, Hong Kong and U.A.E. in lifting COVID restrictions, source:MarketWatch, summary: The Canadian government announced Monday it will no longer require people to wear masks on airplanes to guard against COVID-19, the Associated Press reported., Headline: Stocks making the biggest moves midday: Hertz, Ford, Keurig Dr Pepper and more , source:CNBC, summary: These are the stocks posting the largest moves midday., Headline: Moderna Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Moderna Inc. rallied 2.12% to $122.23 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the NASDAQ..., Headline: Why Moderna Stock Crushed the Market Today, source:Yahoo, summary: The coronavirus pandemic might, just might, be easing, but top COVID-19 vaccine maker Moderna (NASDAQ: MRNA) was ascendant on Tuesday.  Shortly before market close on Monday, the Food and Drug Administration (FDA) announced it had authorized a set of Moderna's latest Spikevax COVID booster vaccine for use.  Strictly speaking, that company isn't covered under Moderna's emergency use authorization (EUA) for the booster.",MRNA
7,2022-09-28,"Headline: Who will pay for the next Covid vaccines?, source:Yahoo, summary: Experts are concerned that the US isn’t doing enough to support the development of the next wave of vaccines and treatments that the world needs to fight the Covid-19 pandemic, Headline: Indonesia approves first home-grown COVID vaccine for emergency use - media, source:Finnhub, summary: Indonesia has approved its first domestically-produced COVID-19 vaccine for emergency use for people over 18, the chief of the country's food and drugs agency was quoted by news media as saying... | September 28, 2022, Headline: European Medicines Agency Accepts Moderna's Conditional Marketing Authorization Filing for its Omicron BA.4/BA.5 Targeting Bivalent COVID-19 Vaccine, source:Yahoo, summary: Moderna, Inc. (NASDAQ:MRNA), a biotechnology company pioneering messenger RNA (mRNA) therapeutics and vaccines, today announced that the European Medicines Agency (EMA) has accepted a variation for the evaluation of a 50 µg booster dose of the Omicron-containing bivalent COVID booster candidate, mRNA-1273.222 (Spikevax bivalent Original/Omicron BA.4-5) in adults 12 years and older., Headline: 7 Growth Stocks to Buy Before the Bull Market Returns, source:Yahoo, summary: In this market slowdown there appear to be fewer growth stocks to buy, but patience will be rewarded. It’s been a forgettable year, to say the least, for equity investors. The Fed continues to raise interest rates, spooking investors in the process. However, as our very own maverick stock analyst Luke Lango puts it, there’s always a bull market somewhere. Moreover, November, December, and January are typically strong months for the stock market that should encourage you to look for growth stocks, Headline: Covid vaccination linked to slight increase in menstrual cycle, NIH study confirms, source:CNBC, summary: A change in menstrual cycle length of eight days or less is considered within the normal range of variation, according to NIH., Headline: Biogen stock explodes higher after potential 'mega blockbuster' Alzheimer's drug study, source:Yahoo, summary: Biogen stock rips higher on a promising new drug. Here's what Wall Street is saying., Headline: Europe's Health Agency Accepts Moderna's Filing For Its Updated Omicron-Targeted COVID-19 Vaccine, source:Yahoo, summary: The European Medicines Agency (EMA) has accepted a variation for evaluating Moderna Inc's (NASDAQ: MRNA) 50 µg booster dose of the Omicron-containing bivalent COVID booster candidate for individuals 12 years and older. Spikevax bivalent original/omicron BA.4-5 is a next-generation bivalent vaccine that contains 25 µg of mRNA-1273 (Spikevax) and 25 µg of a vaccine candidate targeting the Omicron variant of concern (BA.4/BA.5). Related: As Moderna Grapples With Supply Shortage, FDA Gives Nod To Ad, Headline: COVID-19: Young, healthy people may not need bivalent boosters, vaccine expert says, source:Yahoo, summary: Data is still scarce on latest COVID-19 boosters, Headline: Moderna Inc. stock underperforms Wednesday when compared to competitors, source:MarketWatch, summary: Shares of Moderna Inc. sank 0.07% to $122.15 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the NASDAQ..., Headline: Why Moderna Stock Lagged the Market Today, source:Yahoo, summary: This was the case with high-profile biotech Moderna (NASDAQ: MRNA) on Wednesday.  Moderna's positive news came from across the Atlantic Ocean, where the European Medicines Agency (EMA) accepted a conditional marketing authorization (CMA) application for the company's bivalent coronavirus booster vaccine.  Moderna didn't hesitate to point out that the new booster has already been given the green light by the U.S. Food and Drug Administration (FDA) and a host of other jurisdictions, including Australia, Taiwan, and the U.K., Headline: Moderna (MRNA) Stock Sinks As Market Gains: What You Should Know, source:Yahoo, summary: Moderna (MRNA) closed at $122.15 in the latest trading session, marking a -0.07% move from the prior day.",MRNA
8,2022-09-29,"Headline: Moderna appoints Juan Andres to new role, hires Jerh Collins to succeed, source:Thefly.com, summary: Moderna announced that th... MRNA, Headline: Moderna names Andres president, strategic partnerships, enterprise expansion, source:Thefly.com, summary: Moderna (MRNA) announced ... MRNA, NVS, Headline: MODERNA, INC. : Change in Directors or Principal Officers, Regulation FD Disclosure, Financial Statements and Exhibits (form 8-K), source:Finnhub, summary: Item 5.02 Departure of Directors or Certain Officers; Election of Directors;Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. On September 29, 2022, Moderna, Inc. ... | September 29, 2022, Headline: Moderna Adds New Role Ahead of Product Launches, source:Finnhub, summary: By Will Feuer Moderna Inc. is creating a new role on its executive committee as it prepares for the launch of multiple new products after the success of its Covid-19 vaccine. The... | September 29, 2022, Headline: These 2 Growth Stocks Have Fallen Out of Grace. Are They Buys?, source:Yahoo, summary: In the past two years, biotech companies Moderna (NASDAQ: MRNA) and Novavax (NASDAQ: NVAX) rose to fame thanks to their successful attempts to develop vaccines for COVID-19 and help us end the outbreak.  The pandemic isn't over yet, but Moderna and Novavax have given up substantial chunks of their value in the past year.  Where does that leave Moderna and Novavax?, Headline: Pfizer (PFE), BNTX Seek EU Nod for Omicron Booster in Kids, source:Yahoo, summary: Pfizer (PFE) and BioNTech seek to expand the EU label of their Omicron BA.4/BA.5-adapting bivalent COVID vaccine for children. It is already authorized for use in adolescents and adults., Headline: EMA Accepts Moderna's (MRNA) Filing for Omicron BA.4, BA.5 Booster, source:Yahoo, summary: The EMA accepts Moderna's (MRNA) regulatory filing seeking authorization for bivalent COVID-19 booster vaccine, mRNA-1273.222, designed to target the Omicron BA.4 and BA.5 subvariants., Headline: Moderna Inc. stock underperforms Thursday when compared to competitors, source:MarketWatch, summary: Shares of Moderna Inc. slid 3.34% to $118.07 Thursday, on what proved to be an all-around grim trading session for the stock market, with the NASDAQ..., Headline: Around 3.2 million Americans administered updated COVID boosters last week -CDC, source:Finnhub, summary: Around 3.2 million people in the United States were administered updated COVID-19 booster shots over the past week, the Centers for Disease Control and Prevention said on Thursday.... | September 29, 2022, Headline: Tracking Stanley Druckenmiller's Duquesne Family Office Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Stanley Druckenmillerâs 13F portfolio value decreased from $2.65B to $1.63B this quarter. Click to read the Q2 2022 update on the portfolio., Headline: UPDATE 1-Around 3.2 mln Americans received updated COVID boosters last week -CDC, source:Yahoo, summary: Around 3.2 million people in the United States received updated COVID-19 booster shots over the past week, the Centers for Disease Control and Prevention said on Thursday.  The 7.6 million figure represents only 3.5% of the 215.5 million people in the United States aged 12 or older who are eligible to receive the shots because they have completed their primary vaccination series.  The shots are being administered at a slower pace than last year, when the United States initially authorized COVID boosters just for older and immunocompromised people., Headline: Why Moderna Was a Sickly Stock Today, source:Yahoo, summary: A shuffle at the top of the executive ranks, combined with the continued decline of the coronavirus, rattles some investors.",MRNA
9,2022-09-30,"Headline: Moderna Creates New Executive Committee Role Ahead of New Product Launches, source:Finnhub, summary: CAMBRIDGE, MA - Moderna, Inc., a biotechnology company pioneering messenger RNA therapeutics and vaccines announced that the Company has expanded the Executive Committee to prepare for multiple... | September 30, 2022, Headline: Two thirds of U.S. adults don't plan on getting COVID boosters soon -poll, source:Finnhub, summary: Around two-thirds ofadults in the United States do not plan to get updated COVID-19booster shots soon, according to a survey conducted by theKaiser Family Foundation , a health policy... | September 30, 2022, Headline: 1 in 5 of Americans don't know about new omicron-targeting COVID boosters, survey finds, source:MarketWatch, summary: A Kaiser Family Foundation survey found that about half of Americans have heard little or nothing about new COVID bivalent boosters targeting omicron variants., Headline: 10 Best COVID Stocks To Buy Now, source:Yahoo, summary: In this article, we discuss 10 best COVID stocks to buy now. If you want to see more stocks in this selection, check out 5 Best COVID Stocks To Buy Now. In 2020, the COVID-19 pandemic was the primary driver of global uncertainty, making headlines around the world. The virus took a backseat only recently, […], Headline: Moderna Inc. stock rises Friday, outperforms market, source:MarketWatch, summary: Shares of Moderna Inc. inched 0.15% higher to $118.25 Friday, on what proved to be an all-around poor trading session for the stock market, with the NASDAQ...",MRNA
