,date,information,related
0,2022-09-23,"Headline: O'Reilly Automotive Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of O'Reilly Automotive Inc. slid 0.77% to $688.23 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",ORLY
1,2022-09-24,"Headline: O'Reilly Automotive's (NASDAQ:ORLY) investors will be pleased with their solid 220% return over the last five years, source:Yahoo, summary: The most you can lose on any stock (assuming you don't use leverage) is 100% of your money. But on the bright side, if...",ORLY
2,2022-09-27,"Headline: The 10 Hottest Stocks for the Long Haul, source:MarketWatch, summary: Amazon.com, Nvidia, and Netflix are the top three. They have struggled, but show short-term challenges can be overcome.",ORLY
3,2022-09-28,"Headline: Hurricane Ian Nears Category 5 as It Heads to Florida. Watch These Stocks., source:MarketWatch, summary: Airlines have canceled flights, Disney has closed theme parks and utilities are readying repair crews as the Category 4 storm approaches Florida., Headline: Gabelli Funds to Host 46th Annual Auto Symposium October 31st and November 1st, source:Business Wire, summary: No summary, Headline: Hurricane Ian: These stocks could feel the storm’s impact, source:MarketWatch, summary: A range of companies, from the home-improvement sector to food retailers and insurers, will likely feel the impact of Hurricane Ian.",ORLY
4,2022-09-29,"Headline: Compounders And Dividends: Building A Watchlist, source:SeekingAlpha, summary: I explain how I generate ideas and my methodology of adding companies to my watchlist. Read here to know the stocks in areas/sectors that I find interesting., Headline: Top Funds Rev Up Demand As This Large Cap Eyes Breakout, source:Yahoo, summary: With its relative strength line soaring in a bad market, O'Reilly Automotive nears buy point with strong demand by top funds.",ORLY
5,2022-10-03,"Headline: O'Reilly Automotive, Inc. Announces Dates for Its Third Quarter 2022 Earnings Release and Conference Call, source:Finnhub, summary: Earnings Release Date – Wednesday, October 26, 2022, after 3:30 p.m. Central TimeConference Call Date – Thursday, October 27, 2022, at 10:00 a.m. Central Time SPRINGFIELD, Mo., Oct. 03,... | October 3, 2022, Headline: O REILLY AUTOMOTIVE INC : Regulation FD Disclosure, Financial Statements and Exhibits (form 8-K), source:Finnhub, summary: Item 7.01 - Regulation FD DisclosureOn October 3, 2022, O'Reilly Automotive, Inc. issued a press release announcingthe dates of its 2022 third quarter earnings release and conference call. ... | October 3, 2022, Headline: O'Reilly Automotive : O'Reilly Automotive, Inc. Announces 3rd Quarter 2022 Earnings Release Date, source:Finnhub, summary: FOR IMMEDIATE RELEASE O'REILLY AUTOMOTIVE, INC. ANNOUNCES DATES FOR ITS THIRD QUARTER 2022 EARNINGS RELEASE AND CONFERENCE CALL ... | October 3, 2022, Headline: O'Reilly Automotive Inc. stock rises Monday, still underperforms market, source:MarketWatch, summary: Shares of O'Reilly Automotive Inc. rose 2.11% to $718.19 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P..., Headline: O’Reilly Automotive, Inc. Announces Dates for Its Third Quarter 2022 Earnings Release and Conference Call, source:Yahoo, summary: Earnings Release Date – Wednesday, October 26, 2022, after 3:30 p.m. Central TimeConference Call Date – Thursday, October 27, 2022, at 10:00 a.m. Central Time SPRINGFIELD, Mo., Oct. 03, 2022 (GLOBE NEWSWIRE) -- O’Reilly Automotive, Inc. (the “Company” or “O’Reilly”) (Nasdaq: ORLY), a leading retailer in the automotive aftermarket industry, announces the release date for its third quarter 2022 results as Wednesday, October 26, 2022, with a conference call to follow on Thursday, October 27, 2022.",ORLY
6,2022-10-04,"Headline: 7 Recession-Proof Stocks to Buy in October, source:InvestorPlace, summary: Investors are increasingly searching for recession-proof stocks to buy as the Fed clamps down further to fight out of control inflation., Headline: O'Reilly Automotive Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of O'Reilly Automotive Inc. rallied 1.60% to $729.71 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",ORLY
7,2022-10-05,"Headline: O'Reilly Automotive Inc. stock underperforms Wednesday when compared to competitors despite daily gains, source:MarketWatch, summary: Shares of O'Reilly Automotive Inc. inched 0.33% higher to $732.09 Wednesday, on what proved to be an all-around poor trading session for the stock market,...",ORLY
8,2022-10-06,"Headline: O'Reilly Automotive Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of O'Reilly Automotive Inc. inched 0.04% higher to $732.41 Thursday, on what proved to be an all-around poor trading session for the stock market,...",ORLY
9,2022-10-07,"Headline: O'Reilly Automotive Inc. stock underperforms Friday when compared to competitors, source:MarketWatch, summary: Shares of O'Reilly Automotive Inc. slipped 2.95% to $710.77 Friday, on what proved to be an all-around rough trading session for the stock market, with the...",ORLY
