,date,information,related
0,2021-10-22,"Headline: 3 Reasons Growth Investors Will Love Tempur Sealy (TPX), source:Yahoo, summary: Tempur Sealy (TPX) could produce exceptional returns because of its solid growth attributes.",PCAR
1,2022-09-23,"Headline: EU commercial vehicle registrations down 17.4% in July, down 8.0% in August, source:Thefly.com, summary: Commercial vehicle regist... DDAIF, PCAR, CNHI, NAV, CMI, ALSN, Headline: Should Value Investors Buy PACCAR (PCAR) Stock?, source:Yahoo, summary: Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks., Headline: Here's Why Paccar (PCAR) is a Strong Growth Stock, source:Yahoo, summary: Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores., Headline: Paccar Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Paccar Inc. shed 1.28% to $83.81 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",PCAR
2,2022-09-30,"Headline: When Should You Buy PACCAR Inc (NASDAQ:PCAR)?, source:Yahoo, summary: Today we're going to take a look at the well-established PACCAR Inc ( NASDAQ:PCAR ). The company's stock received a lot...",PCAR
3,2022-10-04,"Headline: PACCAR Breaks Above 200-Day Moving Average - Bullish for PCAR, source:Dividend Channel, summary: dividend channel,PCAR,",PCAR
4,2022-10-10,"Headline: Paccar Inc. stock outperforms competitors on strong trading day, source:MarketWatch, summary: Shares of Paccar Inc. inched 0.23% higher to $87.88 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",PCAR
5,2022-10-11,"Headline: Paccar Inc. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Paccar Inc. rallied 1.35% to $89.07 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones..., Headline: Paccar: More Cautious On Economic Uncertainty, source:SeekingAlpha, summary: PACCAR has done well recently, with fundamental robustness pushing shares higher in a down market. Read why a more cautious approach is reasonable to take.",PCAR
6,2022-10-12,"Headline: Paccar: Slightly Undervalued And Well Prepared For An Electric Future, source:SeekingAlpha, summary: PACCAR is a very good quality company that is well prepared for an electric future. But see why I would wait for PCAR stock's price to drop., Headline: Paccar Inc. stock underperforms Wednesday when compared to competitors, source:MarketWatch, summary: Shares of Paccar Inc. shed 0.58% to $88.55 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",PCAR
7,2022-10-13,"Headline: Paccar price target lowered to $95 from $98 at Deutsche Bank, source:Thefly.com, summary: Deutsche Bank analyst Nic... PCAR, Headline: Paccar Inc. stock rises Thursday, still underperforms market, source:MarketWatch, summary: Shares of Paccar Inc. rallied 1.91% to $90.24 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",PCAR
8,2022-10-14,"Headline: Why This 1 Value Stock Could Be a Great Addition to Your Portfolio, source:Yahoo, summary: Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores., Headline: Paccar Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Paccar Inc. shed 2.18% to $88.27 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",PCAR
9,2022-10-17,"Headline: Why Investors Need to Take Advantage of These 2 Auto-Tires-Trucks Stocks Now, source:Yahoo, summary: Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates., Headline: What's in the Cards for PACCAR (PCAR) This Earnings Season?, source:Yahoo, summary: The Zacks Consensus Estimate for PACCAR's (PCAR) Q3 earnings per share and revenues is pegged at $2 and $6.75 billion, respectively., Headline: Paccar Inc. stock rises Monday, still underperforms market, source:MarketWatch, summary: Shares of Paccar Inc. inched 0.66% higher to $88.85 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",PCAR
10,2022-10-18,"Headline: Paccar (PCAR) Earnings Expected to Grow: What to Know Ahead of Next Week's Release, source:Yahoo, summary: Paccar (PCAR) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations., Headline: Why Paccar (PCAR) Could Beat Earnings Estimates Again, source:Yahoo, summary: Paccar (PCAR) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report., Headline: Paccar Inc. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Paccar Inc. advanced 2.08% to $90.70 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",PCAR
11,2022-10-19,"Headline: Paccar Inc. stock underperforms Wednesday when compared to competitors despite daily gains, source:MarketWatch, summary: Shares of Paccar Inc. inched 0.04% higher to $90.74 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",PCAR
12,2022-10-20,"Headline: Paccar Inc. stock underperforms Thursday when compared to competitors, source:MarketWatch, summary: Shares of Paccar Inc. slid 3.49% to $87.57 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",PCAR
13,2022-10-21,"Headline: This Truck Maker Can Ride Out a Recession. Why It’s Time to Buy the Stock., source:Yahoo, summary: The company, which sells trucks under brand names like Peterbilt, Kenworth, and DAF, is considered among the best on the road. Its shares don’t look too shabby, either., Headline: Volvo And Tesla Big Trucks Herald End Of Diesel Wheeled Transport, source:SeekingAlpha, summary: AB Volvo is a leader in driving the electrification of truck transport. Click here to find out why VOLAF is a buy.",PCAR
14,2022-10-22,"Headline: Paccar can ride out a recession, time to buy the stock, Barron's says, source:Thefly.com, summary: These days, Paccar, which... PCAR",PCAR
15,2022-10-25,"Headline: Paccar reports Q3 EPS $2.21, consensus $1.99, source:Thefly.com, summary: Reports Q3 revenue $7.06B... PCAR, Headline: Paccar: Q3 Earnings Snapshot, source:Associated Press, The, summary: No summary, Headline: PACCAR Achieves Record Quarterly Earnings New Truck Models and Record PACCAR Parts Profits Drive Results, source:Yahoo, summary: BELLEVUE, Wash., October 25, 2022--""PACCAR achieved record net income for the third quarter of 2022,"" said Preston Feight, chief executive officer. ""PACCAR’s third quarter results reflect the strong demand for premium, fuel-efficient DAF, Peterbilt and Kenworth new truck models and record PACCAR Parts results. PACCAR Parts reported record quarterly sales and profits due to industry-leading technology and logistics performance that enhanced customer uptime. PACCAR Financial Services delivered exc, Headline: Truck maker Paccar stock rallies more than 2% after profit doubled to a record, beating expectations, source:Yahoo, summary: Shares of Paccar Inc. rallied 2.3% toward a two-month high in premarket trading Tuesday, after the truck maker reported record third-quarter profit that doubled and revenue that climbed above expectations, as ""strong"" used truck prices helped provide a boost. Net income rose to $769.4 million, or $2.21 a share, from $380.5 million, or $1.09 a share, in the year-ago period. The FactSet consensus for earnings per share was $1.98. Revenue grew 37.2% to $7.06 billion, above the FactSet consensus of, Headline: Paccar (PCAR) Q3 Earnings Beat Estimates, source:Yahoo, summary: Paccar (PCAR) delivered earnings and revenue surprises of 9.95% and 0.69%, respectively, for the quarter ended September 2022. Do the numbers hold clues to what lies ahead for the stock?, Headline: Paccar Earnings Beat Estimates. What It Means for Our Stock Pick., source:Yahoo, summary: The parent of Peterbilt and Kenworth beat earnings estimates, but shares are lower. We think Paccar stock can keep trucking., Headline: PACCAR (PCAR) Q3 Earnings Top Estimates, Jump 109% Y/Y, source:Yahoo, summary: PACCAR (PCAR) breezes past Q3 earnings estimates on the back of higher-than-expected pretax income from Trucks, Parts and Financial Services segments., Headline: PACCAR, Inc. (PCAR) Q3 2022 Earnings Call Transcript, source:SeekingAlpha, summary: PACCAR, Inc. (NASDAQ:NASDAQ:PCAR) Q3 2022 Earnings Conference Call October 25, 2022, 12:00 pm ET Company Participants Ken Hastings - Director, IR Preston Feight - CEO Harrie Schippers -..., Headline: Paccar Inc. stock underperforms Tuesday when compared to competitors, source:MarketWatch, summary: Shares of Paccar Inc. shed 0.30% to $91.74 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index..., Headline: Big Problem Leads to 76,000 Trucks Getting Recalled, source:Yahoo, summary: Paccar recalls thousands of trucks due to problems with the instrument panel and reports third-quarter earnings.",PCAR
16,2022-10-26,"Headline: EU commercial vehicle registrations down 6.6% in September, source:Thefly.com, summary: In September, new commerc... DDAIF, PCAR, CNHI, NAV, CMI, ALSN, Headline: Credit Suisse Remains a Buy on Paccar (PCAR), source:TipRanks, summary: In a report released today, Jamie Cook from Credit Suisse maintained a Buy rating on Paccar (PCAR &#8211; Research Report), with a price target of $107.00. The comp..., Headline: Analysts Have Conflicting Sentiments on These Industrial Goods Companies: 3M (MMM), Paccar (PCAR) and Pentair (PNR), source:TipRanks, summary: Analysts have been eager to weigh in on the Industrial Goods sector with new ratings on 3M (<a hr..., Headline: PACCAR (NASDAQ:PCAR) Is Paying Out A Larger Dividend Than Last Year, source:Yahoo, summary: PACCAR Inc ( NASDAQ:PCAR ) will increase its dividend from last year's comparable payment on the 6th of December to..., Headline: Paccar Inc. stock rises Wednesday, outperforms market, source:MarketWatch, summary: Shares of Paccar Inc. advanced 1.16% to $92.80 Wednesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",PCAR
17,2022-10-27,"Headline: Top Manager Of Top Fund: We're In A Recession Right Now, source:Yahoo, summary: The top manager of a top mutual fund, says we're already in a recession. And by the way, here's how Auer has steered his fund to a 13% gain this year., Headline: Paccar Inc. stock rises Thursday, outperforms market, source:MarketWatch, summary: Shares of Paccar Inc. advanced 1.43% to $94.13 Thursday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",PCAR
18,2022-10-28,"Headline: Paccar Inc. stock rises Friday, still underperforms market, source:MarketWatch, summary: Shares of Paccar Inc. rallied 2.31% to $96.30 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",PCAR
