,date,information,related
0,2020-09-14,"Headline: 10 Largest Beverage Companies, source:Yahoo, summary: With PepsiCo at the top of the pile, these are the 10 largest beverage companies by 12-month trailing revenue.",PEP
1,2022-09-22,"Headline: What You Missed On Wall Street On Friday, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. FDX, COST, FRPT, BA, GM, FUBO, ALLY, SPRO, GSK, APO, EVR, MC, HNHPF, MRNA, AMZN, AAPL, PEP, BX, CANO, HUM, MDGS, CS, APA, HAL, MRO, YETI, IBEX, APEI, FLUX, AIR, DSKE",PEP
2,2022-09-23,"Headline: Apple to replace PepsiCo as main sponsor for Super Bowl halftime show, NYT says, source:Thefly.com, summary: Apple (AAPL) has signed a... AAPL, PEP, Headline: Apple Music Takes Over Pepsi as Presenter of Super Bowl Halftime Show, source:Yahoo, summary: (Bloomberg) -- Apple Music will become the title sponsor of the Super Bowl halftime show, taking over from PepsiCo Inc., which has had its name on the star-studded intermission program since 2013.Most Read from BloombergJapan to Restore Visa-Free Travel From Oct. 11 as Covid Pandemic Recedes South Korea President Caught on Hot Mic Insulting US CongressUnless Rents Rise, Housing Is Set Up for an Epic CrashA Great Copper Squeeze Is Coming for the Global EconomyPutin's Order for 300,000 Fighters Dr, Headline: Apple to replace Pepsi as sponsor of Super Bowl halftime show, source:CNBC, summary: The NFL announced Apple would replace Pepsi as the sponsor of the Super Bowl halftime show. CNBC's 'Squawk Box' team breaks down the details., Headline: The Zacks Analyst Blog Highlights NextEra Energy, Southern Company, PepsiCo, Corteva and McKesson, source:Yahoo, summary: NextEra Energy, Southern Company, PepsiCo, Corteva and McKesson are included in this Analyst Blog., Headline: 5 Reasons This Passive Income Stock Is No. 1 On My Buy List, source:Yahoo, summary: Getting paid to own stocks is rewarding any time, but in a market under pressure from rising interest rates, historically high inflation, and a looming recession, it's nice to know you have some downside cushioning.  Passive income investing helps offset any decline in capital appreciation while providing a vote of confidence that a business splitting its profits with shareholders believes its long-term growth story remains intact., Headline: What You Missed On Wall Street This Morning, source:Thefly.com, summary: Five top five lists with the news and calls moving stocks, powered by The Fly. FDX, COST, FRPT, SCHL, BA, FUBO, ALLY, SPRO, GSK, EVR, MC, APO, HNHPF, MRNA, AMZN, META, AAPL, PEP, DSKE, IBEX, APEI, FLUX, AIR, CANO, HUMA, CS, APA, TELL, MDGS, Headline: 2 All-Weather Dividend Stocks You Should Own, source:SeekingAlpha, summary: In this article, I present two dividend stocks that go well together in a low-volatility dividend (growth) portfolio. Read my analysis of PEP and ADM here., Headline: Apple replaces Pepsi as NFL Super Bowl Halftime sponsor, source:Yahoo, summary: Yahoo Finance's Julie Hyman discusses Apple sponsoring the NFL Super Bowl Halftime show., Headline: Food: Campbell's introduces a new brand, source:Yahoo, summary: The Campbell Soup Co. is launching a flavorful addition to its lineup.  FlavorUp is a cooking concentrate to add to meat, grain or vegetables, and is the first major brand launch since 2016, Food Dive reports.  Linda Lee, chief marketing officer of Campbell Soup’s U.S. Meals and Beverage division, told Food Dive that FlavorUp “is the newest way to cook up concentrated flavor with just a squeeze, while elevating meals quickly and affordably.”, Headline: Apple Music to Replace Pepsi as Sponsor of NFL’s Super Bowl Halftime Show, source:Yahoo, summary: Tech company signed a multiyear deal with the NFL; the league hasn’t announced who will perform at the next halftime show, Headline: Apple Music replaces Pepsi as new sponsor of Super Bowl halftime show, source:MarketWatch, summary: Apple Music will be the new sponsor of the Super Bowl halftime show, the NFL announced early Friday morning., Headline: PepsiCo Inc. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of PepsiCo Inc. dropped 0.05% to $168.52 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index..., Headline: Apple Music Super Bowl Halftime Show 'another sign that Cupertino will be aggressive' in sports: Wedbush's Ives, source:Yahoo, summary: Apple’s push into live sports continues as the tech giant announced it will sponsor the Super Bowl halftime show., Headline: Record Bearish Bets Hit Bilibili Even After 90% Dive, source:Yahoo, summary: (Bloomberg) -- A Chinese technology company has emerged as a prime target for short sellers in the US even after the stock tumbled almost 90% over the past 18 months, a sign of how pessimistic some investors are about the economic outlook. Most Read from BloombergBank of England Says Paper Banknotes Only Good for One More WeekJohn Paulson on Frothy US Housing Market: This Time Is DifferentThe Great Bond Bubble Is ‘Poof, Gone’ in Worst Year Since 1949‘Read Putin More Often and Carefully,’ Lavrov, Headline: PepsiCo (PEP) Stock Moves -0.05%: What You Should Know, source:Yahoo, summary: PepsiCo (PEP) closed at $168.52 in the latest trading session, marking a -0.05% move from the prior day.",PEP
3,2022-09-24,"Headline: Possible bearish signals as PepsiCo, Inc. (NASDAQ:PEP) insiders disposed of US$11m worth of stock, source:Yahoo, summary: The fact that multiple PepsiCo, Inc. ( NASDAQ:PEP ) insiders offloaded a considerable amount of shares over the past..., Headline: Dividend Champion, Contender, And Challenger Highlights: Week Of September 25, source:SeekingAlpha, summary: Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. Click here to see companies with upcoming ex-dividend dates and pay dates.",PEP
4,2022-09-25,"Headline: Coca-Cola: The Problem With The Bearish Thesis, source:SeekingAlpha, summary: Coca-Cola significantly outperformed the market and its peers since I first covered. Read why KO stock is in excellent position to continue to beat the market., Headline: Rihanna to Headline the NFL’s Super Bowl Halftime Show, source:Yahoo, summary: The pop star will take the stage on Feb. 12, 2023, in Glendale, Ariz., for the live extravaganza, which is typically one of the most-watched parts of the annual NFL championship game., Headline: Pepsico Inc., Elliott Wave Technical Analysis September 26 2022 , source:TalkMarkets, summary: PEP has moved as predicted from the last forecast. However as I cannot see five waves from the last move to the upside, I have reasons to believe we will get another corrective leg.",PEP
5,2022-09-26,"Headline: Exiting One Position While Adding to Another, source:Yahoo, summary: -- Sell the remaining 325 shares of Nucor  at or near $104.  -- Buy 95 shares of PepsiCo  at or near $168.  The portfolio will continue to have exposure to the Biden Infrastructure Law spending, though, through our positions in Vulcan Materials  , United Rentals  , and ChargePoint  ., Headline: PepsiCo Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of PepsiCo Inc. shed 0.04% to $168.45 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index..., Headline: Home Depot Is One Of The Best Managed Big Box Stores, Says Regentatlantic’s Andy Kapyrin , source:TalkMarkets, summary: A short discussion about the Fed, inflation, and the markets.",PEP
6,2022-09-27,"Headline: Why Low Volatility ETFs Are Beating The Market, source:TalkMarkets, summary: Low volatility investing is back in vogue since the market environment remains extremely challenging., Headline: PepsiCo price target raised to $181 from $179 at Deutsche Bank, source:Thefly.com, summary: Deutsche Bank analyst Ste... PEP, Headline: PEP December 16th Options Begin Trading, source:Stock Options Channel, summary: Staff article entitled PEP December 16th Options Begin Trading, about stock options, from Stock Options Channel., Headline: The Zacks Analyst Blog Highlights PepsiCo, Lancaster Colony, Chesapeake Utilities, NextEra Energy and Otter Tail, source:Yahoo, summary: PepsiCo, Lancaster Colony, Chesapeake Utilities, NextEra Energy and Otter Tail are part of the Zacks Analyst Blog., Headline: 10 Best Stagflation Stocks to Buy Now, source:Yahoo, summary: In this article, we discuss 10 best stagflation stocks to buy now. If you want to see more stocks in this selection, check out 5 Best Stagflation Stocks to Buy Now. Stagflation is an economic cycle identified by slow growth, paired with high unemployment and rampant inflation. Macro policy makers find stagnation particularly hard to […], Headline: PepsiCo Inc. stock falls Tuesday, underperforms market, source:MarketWatch, summary: Shares of PepsiCo Inc. slid 1.45% to $166.01 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",PEP
7,2022-09-28,"Headline: PepsiCo, Inc. (NASDAQ:PEP) insiders sold US$11m worth of stock, possibly signalling a downtrend, source:Yahoo, summary: Many PepsiCo, Inc. ( NASDAQ:PEP ) insiders ditched their stock over the past year, which may be of interest to the..., Headline: Global company events calendar - next 7 days, source:Alliance News, summary: No summary, Headline: Want Better Returns? Don't Ignore These 2 Consumer Staples Stocks Set to Beat Earnings, source:Yahoo, summary: The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now., Headline: PepsiCo Inc. stock rises Wednesday, still underperforms market, source:MarketWatch, summary: Shares of PepsiCo Inc. advanced 1.60% to $168.67 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500..., Headline: 11 Best Dividend Paying Stocks To Buy Now, source:Yahoo, summary: In this article, we discuss 11 best dividend-paying stocks to buy now. You can skip our detailed analysis of dividend stocks and their returns, and go directly to read 5 Best Dividend Paying Stocks To Buy Now. Dividend companies are gaining ground among investors this year as they navigate the rocky market. In times of financial […], Headline: 3 Stocks Putting Their Defensive Nature on Full Display, source:Yahoo, summary: Companies in the Zacks Consumer Staples sector can generate revenue in the face of both good and bad economic situations, helping explain why investors have respected it so highly in 2022., Headline: Precedential No. 27: TTAB Dismisses PepsiCo's 'TORTRIX' Opposition Due To Inadequate Pleading Of Misrepresentation Of Source, Lack Of Bona Fide Intent, And Fraud, source:Finnhub, summary: In this opposition to registration of the mark TORTRIX for corn-based snack foods, the Board ruled that a claim for misrepresentation of source under Section 14 of the Lanham Act is available not... | September 29, 2022",PEP
8,2022-09-29,"Headline: Keurig Dr. Pepper: This Bevera - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Tom Kerr, CFA and the topic is about: The hot and cold beverage company is growing its top line fast, but cost issues persist, Headline: November 11th Options Now Available For PepsiCo (PEP), source:Stock Options Channel, summary: Staff article entitled November 11th Options Now Available For PepsiCo (PEP), about stock options, from Stock Options Channel., Headline: 5 Stocks With High ROE to Buy as Markets Regain Momentum, source:Yahoo, summary: AES Corporation (AES), PepsiCo (PEP), Dillard's (DDS), Suzano (SUZ) and Arch Capital (ACGL) are some of the stocks with high ROE to profit from as markets appear to regain lost ground., Headline: PepsiCo offering buyouts to employees 55+, Fox Business' Gasparino says, source:Thefly.com, summary: Fox Business' Charle... PEP, Headline: Compounders And Dividends: Building A Watchlist, source:SeekingAlpha, summary: I explain how I generate ideas and my methodology of adding companies to my watchlist. Read here to know the stocks in areas/sectors that I find interesting., Headline: Here's Why You Should Buy PepsiCo (PEP) Ahead of Q3 Earnings, source:Yahoo, summary: PepsiCo (PEP) continues to benefit from investments in brands, go-to-market systems, supply chains, manufacturing capacity and digital capabilities to build competitive advantages., Headline: Is PepsiCo Stock a Buy Right Now?, source:Yahoo, summary: The international snack and beverage company PepsiCo (NASDAQ: PEP) achieved phenomenal success during the earlier stages of the pandemic when folks were spending more time at home. Using a simplified version of my six-step framework, I will determine if the stock is a buy right now., Headline: How Constellation Brands (STZ) is Placed Ahead of Q2 Earnings, source:Yahoo, summary: Constellation Brands' (STZ) Q2 results to reflect continued gains from strong demand for its premium portfolio and strength in the beer business amid rising costs and supply-chain challenges., Headline: PepsiCo Inc. stock falls Thursday, still outperforms market, source:MarketWatch, summary: Shares of PepsiCo Inc. slid 1.22% to $166.61 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index..., Headline: PepsiCo (PEP) Stock Moves -1.22%: What You Should Know, source:Yahoo, summary: PepsiCo (PEP) closed at $166.61 in the latest trading session, marking a -1.22% move from the prior day.",PEP
9,2022-09-30,"Headline: PepsiCo price target lowered to $186 from $188 at JPMorgan, source:Thefly.com, summary: JPMorgan analyst Andrea T... PEP, Headline: 4 Blue-Chip Stocks to Sell in October, source:Yahoo, summary: In general, when markets trend lower, it makes sense to invest in blue-chip stocks. They tend to have a low beta and also provide regular cash flows through dividends. Yet, not all blue chips are created equal. Based on macroeconomic or company-specific factors, there are some you want to buy and some blue-chip stocks to sell. For example, blue-chip retailer Target (NYSE:TGT) sits 45% below its 52-week high, weighed down by inflationary pressures and margin compression. And pharmaceutical giant, Headline: Weekly Roundup, source:Yahoo, summary: No one ever accused September of being a strong month for the market, and that's still true. Here's why we closed out Nucor and trimmed AMD, while building up PepsiCo and buying into Lockheed Martin., Headline: Nestle to stop sourcing from Indonesian palm oil producer AAL, source:Finnhub, summary: Food giant Nestleplans to stop sourcing from subsidiaries of Astra AgroLestari , a major Indonesian palm oil producer accused byenvironmental groups of land and human rights abuses. ... | October 1, 2022",PEP
