,date,information,related
0,2022-09-26,"Headline: Seagen, Lava Therapeutics enter worldwide license agreement for LAVA-1223, source:Thefly.com, summary: Seagen Inc. (SGEN) and LA... SGEN, LVTX, Headline: Seagen, Lava Therapeutics announce exclusive LAVA-1223 license agreement, source:Thefly.com, summary: Seagen (SGEN) and Lava Th... SGEN, LVTX, Headline: Lava Therapeutics Stock Soars After Commercialization Deal with Seagen, source:MarketWatch, summary: By Sabela Ojea Shares of LAVA Therapeutics NV doubled on premarket trading Monday after the biotechnology company said it has signed a global exclusive deal..., Headline: LAVA Therapeutics (NASDAQ:LVTX) Runs Hot on Seagen Deal, source:TipRanks, summary: Shares of clinical-stage oncology company LAVA Therapeutics (NASDAQ:LVTX) are soaring high today after its worldwide licensing deal with Seagen (NASDAQ:SGEN) for LA..., Headline: What Is Going on With Lava Therapeutics (LVTX) Stock Today?, source:InvestorPlace, summary: Lava Therapeutics (LVTX) stock is rocketing higher on Monday as investors react to an exclusive global license agreement with Seagen (SGEN)., Headline: Seagen and LAVA Therapeutics Announce Exclusive Worldwide License Agreement to Advance LAVA-1223, a Preclinical Gamma Delta Bispecific T Cell Engager for EGFR-Expressing Solid Tumors, source:Yahoo, summary: – Seagen to Develop and Commercialize LAVA-1223, a Bispecific T Cell Engager Designed to Target and Activate Vγ9Vδ2 (Gamma Delta) T Cells in the Presence of EGFR-Expressing Solid Tumors – – LAVA to Receive Upfront Payment of $50 Million, With Potential for Milestones of up to Approximately $650 Million and Royalties – – Seagen also has an Option to Nominate up to Two Additional Tumor Targets for Bispecifics using LAVA’s Proprietary Gammabody™ Platform – BOTHELL, Wash. and UTRECHT, The Netherland, Headline: Stocks making the biggest moves midday: Wynn Resorts, Planet Fitness, AMC, Lyft and more, source:CNBC, summary: These are the stocks posting the largest moves in midday trading. ",SGEN
1,2022-09-27,"Headline: Seagen to be paid $30M up-front in Zai Lab deal for Tivdak development in China, source:Thefly.com, summary: Zai Lab Limited  (ZLAB) a... ZLAB, SGEN, GMAB, Headline: Seagen, Zai Lab enter regional collaboration, license agreement for TIVDAK, source:Thefly.com, summary: Zai Lab (ZLAB) and Seagen... ZLAB, SGEN, GMAB, Headline: IN BRIEF: Seagen to license Tivdak in China with help of Zai Lab, source:Alliance News, summary: No summary, Headline: Seagen and Zai Lab Announce Regional Strategic Collaboration and License Agreement for TIVDAK® (tisotumab vedotin-tftv), source:Yahoo, summary: -- Zai Lab Obtains Exclusive Rights to Develop and Commercialize TIVDAK, an FDA-approved First-in-Class Antibody-Drug Conjugate (ADC), in Mainland China, Hong Kong, Macau, and Taiwan -- -- Zai Lab will Leverage its Leadership in Women’s Cancer in China to Commercialize and Expand Patient Access to TIVDAK -- -- Collaboration Supports Regional Patient Enrollment for InnovaTV 301, a Global Phase 3 Trial of TIVDAK in Patients with Recurrent or Metastatic Cervical Cancer -- SHANGHAI and CAMBRIDGE, Ma",SGEN
2,2022-09-28,"Headline: Seagen and Zai Lab Announce Regional Strategic Collaboration and License Agreement for TIVDAK (tisotumab vedotin-tftv), source:Finnhub, summary: BOTHELL, Wash. & SHANGHAI & CAMBRIDGE, Mass. - Seagen Inc. , a world leader and pioneer in antibody-drug conjugate therapies, and Zai Lab Limited , a patient-focused, innovative,... | September 28, 2022, Headline: Seagen and Zai Lab Announce Regional Strategic Collaboration and License Agreement for TIVDAK, source:Finnhub, summary: BOTHELL - Seagen Inc. , a world leader and pioneer in antibody-drug conjugate therapies, and Zai Lab Limited , a patient-focused, innovative, commercial-stage global biopharmaceutical company, today... | September 28, 2022, Headline: Tracking Baker Brothers Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Baker Brothersâ 13F portfolio value increased from $17.40B to $17.63B in Q2. Click here to read the portfolio's Q2 2022 Update.",SGEN
3,2022-09-29,"Headline: Cramer's lightning round: Charles River is a buy, source:CNBC, summary: ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",SGEN
4,2022-09-30,"Headline: Seagen: Upcoming Short- And Medium-Term Clinical Catalysts, source:SeekingAlpha, summary: Seagen expects to complete six additional human trials in next 6 months. Check here to see SGEN's upcoming milestones and its development pipeline., Headline: Standalone Seagen Is Starting To Look Attractive, source:SeekingAlpha, summary: Seagen is starting to look attractive as a standalone entity, with the stock back to pre-buyout speculation levels. Read what investors need to know.",SGEN
5,2022-10-02,"Headline: Week In Review: YishengBio To List On Nasdaq Via SPAC Merger At An $834 Million Value, source:SeekingAlpha, summary: Beijing YishengBio will merge with SPAC vehicle Summit Healthcare Acquisition to list on Nasdaq. Sihuan Pharma subsidiary Xuanzhu Biopharm has filed for an IPO on the Shanghai STAR Exchange.",SGEN
6,2022-10-04,"Headline: Seagen: A Stellar Portfolio Anchor, source:SeekingAlpha, summary: As it successfully transitioned into a commercial-stage operator, Seagen is enjoying great progress. Click here to read how various catalysts would deliver much long-term upside.",SGEN
7,2022-10-06,"Headline: Seagen to Host Conference Call and Webcast Discussion of Third Quarter 2022 Financial Results on October 27, 2022, source:Yahoo, summary: BOTHELL, Wash., October 06, 2022--Seagen Inc. (Nasdaq: SGEN) today announced that it will report its third quarter 2022 financial results on Thursday, October 27, 2022 after the close of U.S. financial markets. Following the announcement, Company management will host a conference call and webcast at 4:30 p.m. Eastern Time to discuss the results and provide a business update.",SGEN
8,2022-10-07,"Headline: Biohaven Ltd. Surges 7.6%: Is This An Indication Of Further Gains? , source:TalkMarkets, summary: Biohaven Ltd. shares ended the last trading session 7.6% higher at $13.18. The jump came on an impressive volume with a higher-than-average number of shares changing hands in the session. This compares to the 91.8% loss over the past four weeks., Headline: Biohaven Ltd. (BHVN) Surges 7.6%: Is This an Indication of Further Gains?, source:Yahoo, summary: Biohaven Ltd. (BHVN) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.",SGEN
9,2022-10-09,"Headline: Big-Cap S&P Stocks Will Soon Provide Tech-Like Returns, I Explain, source:SeekingAlpha, summary: Learn more about an opportunity to acquire well-known big-cap names in the S&P 500 that, at this point, could provide ""tech-like"" returns.",SGEN
10,2022-10-11,"Headline: Seagen upgraded to Outperform from Market Perform at BMO Capital, source:Thefly.com, summary: BMO Capital analyst Etzer... SGEN, Headline: Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations, source:Thefly.com, summary: Lululemon Athletica upgrade, Meta Platforms downgrade and Texas Instruments initiation among today's top calls on Wall Street LULU, NKE, ELF, NOW, ABC, SGEN, AMGN, META, QRVO, SWKS, ZM, FFIV, SPWR, TXN, SNOW, BA, SPLK, DT, DDOG, RBLX",SGEN
11,2022-10-13,"Headline: SGEN June 2023 Options Begin Trading, source:Stock Options Channel, summary: Staff article entitled SGEN June 2023 Options Begin Trading, about stock options, from Stock Options Channel.",SGEN
12,2022-10-14,"Headline: ORIC Pharmaceuticals: Poster Child For The Current Downturn In Biotech, source:SeekingAlpha, summary: ORIC is a speculative Buy. Key risks include disappointing data for phase 1 readouts 1H23, delays in the clinic and heavy competition in certain areas. Read more.",SGEN
13,2022-10-17,"Headline: LAVA Therapeutics: Assessing A Promising Innovator, source:SeekingAlpha, summary: LAVA is able to form a highly profitable partnership with Seagen. Learn more why I recommend LVTX stock as a speculative/diversification buy.",SGEN
14,2022-10-19,"Headline: Investing in Seagen (NASDAQ:SGEN) five years ago would have delivered you a 116% gain, source:Yahoo, summary: Seagen Inc. ( NASDAQ:SGEN ) shareholders might be concerned after seeing the share price drop 22% in the last quarter...",SGEN
15,2022-10-20,"Headline: HQH: A Dividend Paymaster That Fails To Register Price Growth, source:SeekingAlpha, summary: Tekla Healthcare Investors is able to generate steady yield and currently trades at a good discount to its NAV. Read more to see why HQH is a Buy.",SGEN
16,2022-10-23,"Headline: I Called This October Rally In August, Keep Your Seat Belts On, source:SeekingAlpha, summary: After a barely discernible bottoming process, the rally has become obvious. Read more to see how I intend to take advantage of this rally.",SGEN
17,2022-10-24,"Headline: Seagen price target lowered to $155 from $194 at JPMorgan, source:Thefly.com, summary: JPMorgan analyst Jessica ... SGEN, Headline: Merck: A Shield From Recession, source:SeekingAlpha, summary: Despite healthcare giants succumbing to plunges, Merck is up 14.30%. Why do I believe MRK stock can provide a recession shield? Click here to find out.",SGEN
18,2022-10-25,"Headline: Earnings Preview: Rhythm Pharmaceuticals, Inc. (RYTM) Q3 Earnings Expected to Decline, source:Yahoo, summary: Rhythm Pharmaceuticals, Inc. (RYTM) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.",SGEN
19,2022-10-26,"Headline: Seagen reports Q3 EPS ($1.03), consensus (95c), source:Thefly.com, summary: Reports Q3 revenue $510.3... SGEN, Headline: Seagen raises FY22 revenue $1.82B-$1.865B from $1.71B-$1.795B, source:Thefly.com, summary: consensus $1.84B.... SGEN",SGEN
20,2022-10-27,"Headline: Seattle Genetics: Q3 Earnings Snapshot, source:Associated Press, The, summary: No summary, Headline: Seagen Reports Third Quarter 2022 Financial Results, source:Yahoo, summary: BOTHELL, Wash., October 27, 2022--Seagen Inc. (Nasdaq:SGEN) reported financial results today for the third quarter ended September 30, 2022. The Company also highlighted PADCEV® (enfortumab vedotin-ejfv), TUKYSA® (tucatinib), ADCETRIS® (brentuximab vedotin) and TIVDAK® (tisotumab vedotin-tftv) commercial and development accomplishments, as well as progress across its deep and diverse oncology pipeline., Headline: Seattle Genetics (SGEN) Reports Q3 Loss, Tops Revenue Estimates, source:Yahoo, summary: Seattle Genetics (SGEN) delivered earnings and revenue surprises of -11.96% and 8.75%, respectively, for the quarter ended September 2022. Do the numbers hold clues to what lies ahead for the stock?, Headline: Seagen Inc. 2022 Q3 - Results - Earnings Call Presentation, source:SeekingAlpha, summary: The following slide deck was published by Seagen Inc., Headline: Seagen Inc. (SGEN) Q3 2022 Earnings Call Transcript, source:SeekingAlpha, summary: Seagen Inc. (NASDAQ:NASDAQ:SGEN) Q3 2022 Earnings Conference Call October 27, 2022 16:30 ET Company Participants Doug Maffei - Vice President, Investor Relations Roger Dansey - Interim...",SGEN
21,2022-10-28,"Headline: Seagen price target lowered to $180 from $200 at H.C. Wainwright, source:Thefly.com, summary: H.C. Wainwright analyst A... SGEN, Headline: H.C. Wainwright Sticks to Its Buy Rating for Seagen (SGEN), source:TipRanks, summary: No summary, Headline: Analysts Conflicted on These Healthcare Names: Alnylam Pharma (ALNY) and Seagen (SGEN), source:TipRanks, summary: No summary, Headline: Top 5 3rd Quarter Trades of La - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: Top 5 3rd Quarter Trades of Lattice Capital Management, LLC, source:GuruFocus, summary: No summary, Headline: Morgan Stanley Reaffirms Their Buy Rating on Seagen (SGEN), source:TipRanks, summary: No summary",SGEN
22,2022-10-30,"Headline: Analysts’ Opinions Are Mixed on These Healthcare Stocks: Seagen (SGEN), Alnylam Pharma (ALNY) and BioMarin Pharmaceutical (BMRN), source:TipRanks, summary: Analysts have been eager to weigh in on the Healthcare sector with new ratings on Seagen (<a href..., Headline: Analysts` Opinions Are Mixed on These Healthcare Stocks: Seagen (SGEN), Alnylam Pharma (ALNY) and BioMarin Pharmaceutical (BMRN), source:TipRanks, summary: No summary, Headline: Merck: Great Medicine For The Portfolio, source:SeekingAlpha, summary: Merck has seen strong growth so far this year, even if we strip out the pandemic-related contribution. Read why MRK shares may look good for a long-term setup.",SGEN
23,2022-10-31,"Headline: Final Trades: Honeywell, XPO Logistics, Seagen & more, source:CNBC, summary: The ""Halftime Report"" traders give their top picks to watch for the second half.",SGEN
24,2022-11-02,"Headline: JMP Securities Sticks to Their Buy Rating for Seagen (SGEN), source:TipRanks, summary: No summary",SGEN
25,2022-11-03,"Headline: Genmab: Great Company, But Stock Is Not That Great, source:SeekingAlpha, summary: Genmab, as a company, has brought valuable medicines for patients. However, as a stock, it seems to be lagging. See why.",SGEN
26,2022-11-07,"Headline: Society for Immunotherapy of Cancer to hold a meeting, source:Thefly.com, summary: No summary",SGEN
27,2022-11-09,"Headline: Seagen Larger Than S&P 500 Component Kellogg, source:The Online Investor, summary: No summary",SGEN
28,2022-11-10,"Headline: Seagen appoints former Novartis cancer czar as CEO, source:Seeking Alpha, summary: No summary, Headline: Seagen appoints David Epstein as CEO, source:Thefly.com, summary: No summary, Headline: Video: Nasdaq 100 Movers: SGEN, TEAM, source:Market News Video, summary: No summary, Headline: Seagen Shares Fall 5.6% After David Epstein Named as CEO, source:MarketWatch, summary: By Kathryn Hardison Shares of Seagen Inc. fell 5.6% to $130.27 on Thursday after it said David Epstein was appointed as its next chief executive officer and..., Headline: Seagen Names David R. Epstein as Chief Executive Officer and Director, source:Yahoo, summary: BOTHELL, Wash., November 10, 2022--Seagen Inc. (Nasdaq: SGEN) today announced that its Board of Directors has appointed David R. Epstein as Chief Executive Officer (CEO) and a member of the Board of Directors. Mr. Epstein brings more than 30 years of experience in the biopharmaceutical industry, including more than 25 years at Novartis where he built its oncology business unit from initiation to second largest in the world and then served as CEO of Novartis Pharmaceuticals, a division of Novarti, Headline: Seagen Appoints Sandra M. Swain, M.D., to Board of Directors, source:Yahoo, summary: BOTHELL, Wash., November 10, 2022--Seagen Inc. (Nasdaq: SGEN) today announced that Sandra M. Swain, M.D., has been appointed to the company’s Board of Directors. Dr. Swain has more than 30 years of breast cancer clinical research experience. She currently serves as Associate Dean for Research Development and Professor of Medicine at Georgetown University Medical Center and is the Vice President of Genetic Medicine for MedStar Health. She is also on the Conquer Cancer Foundation Board of American, Headline: Seagen announces FDA approval for Adcetris in new indication, source:Thefly.com, summary: No summary, Headline: Seagen to Highlight New Research from its Diverse Pipeline of Targeted Cancer Therapy Candidates at the Society for Immunotherapy of Cancer’s (SITC) Annual Meeting, source:Yahoo, summary: BOTHELL, Wash., November 10, 2022--Seagen Inc. (Nasdaq: SGEN) today announced that data from the company’s diverse pipeline of targeted cancer therapy candidates will be presented at the Society for Immunotherapy of Cancer’s (SITC) Annual Meeting being held November 8-12 in Boston. The presentations highlight data from multiple ongoing clinical and preclinical research studies that employ Seagen’s proprietary antibody-drug conjugate (ADC) technology, as well as other novel cancer targeting appro, Headline: Seagen Announces U.S. FDA Approval of New Indication for ADCETRIS® (brentuximab vedotin) for Children with Previously Untreated High Risk Hodgkin Lymphoma, source:Yahoo, summary: BOTHELL, Wash., November 10, 2022--Seagen Inc. (Nasdaq: SGEN) today announced that the U.S. Food and Drug Administration (FDA) has approved ADCETRIS® (brentuximab vedotin) for the treatment of pediatric patients 2 years and older with previously untreated high risk classical Hodgkin lymphoma (cHL), in combination with doxorubicin, vincristine, etoposide, prednisone, and cyclophosphamide. The approval is based on data from a phase 3 study (AHOD1331) conducted by the Children's Oncology Group (COG, Headline: Society for Immunotherapy of Cancer to hold a meeting, source:Thefly.com, summary: No summary",SGEN
29,2022-11-11,"Headline: Seagen names new CEO following May resignation of Clay Siegall, source:Yahoo, summary: David Epstein spent more than 25 years at the Swiss pharmaceutical giant Novartis, where he helped build its oncology business., Headline: Society for Immunotherapy of Cancer to hold a meeting, source:Thefly.com, summary: No summary",SGEN
30,2022-11-13,"Headline: Seagen (SGEN) Receives a Buy from SVB Securities, source:TipRanks, summary: No summary, Headline: Did You Buy And Not Sell Friday? You`re Doing It Wrong - Again, source:Seeking Alpha, summary: No summary, Headline: Did You Buy And Not Sell Friday? You're Doing It Wrong - Again, source:SeekingAlpha, summary: This week saw quite a bit of volatility yet the VIX continues to fall. Read more to see why I expect this week we will see quite a comedown.",SGEN
31,2022-11-14,"Headline: Seagen director Gryska sells 7,500 common shares, source:Thefly.com, summary: No summary",SGEN
32,2022-11-16,"Headline: Seagen (SGEN) Receives a Buy from RBC Capital, source:TipRanks, summary: No summary",SGEN
33,2022-11-17,"Headline: Institutional owners may consider drastic measures as Seagen Inc.'s (NASDAQ:SGEN) recent US$1.2b drop adds to long-term losses, source:Yahoo, summary: To get a sense of who is truly in control of Seagen Inc. ( NASDAQ:SGEN ), it is important to understand the ownership...",SGEN
34,2022-11-21,"Headline: Seagen initiated with a Hold at Truist, source:Thefly.com, summary: No summary, Headline: Truist starts Seagen at Hold on concerns around Tukysa and Tivdak, source:Thefly.com, summary: No summary, Headline: Imago climbs 105% as Merck agrees to acquire for over $1B in cash, source:Seeking Alpha, summary: No summary, Headline: Seagen initiated Hold at Truist citing competitive headwinds, source:Seeking Alpha, summary: No summary",SGEN
35,2022-11-22,"Headline: Merck Vs. AbbVie: Which Is Better Buy As The Patent Cliffs Approach?, source:SeekingAlpha, summary: I will be comparing AbbVie and Merck to see which is better positioned for its patent cliff. Read to know why I like AbbVie more than Merck.",SGEN
36,2022-11-28,"Headline: Roche bladder cancer indication withdrawal positive for Seagen, says Guggenheim, source:Thefly.com, summary: No summary",SGEN
37,2022-11-30,"Headline: Genmab: Darzalex Continues To Impress, Epcoritamab One Step Closer To Market, source:SeekingAlpha, summary: The valuation is more demanding after the recent rally, but Genmab still looks well-positioned to deliver long-term growth. Click here to read our analysis of GMAB.",SGEN
38,2022-12-01,"Headline: Seagen to Highlight ADCETRIS® (brentuximab vedotin) Clinical Progress at the 2022 American Society of Hematology (ASH) Annual Meeting, source:Yahoo, summary: BOTHELL, Wash., December 01, 2022--Seagen Inc. (Nasdaq: SGEN) today announced new data for ADCETRIS® (brentuximab vedotin) will be featured at the upcoming 64th American Society of Hematology (ASH) Annual Meeting and Exposition, taking place December 10-13, 2022. The abstracts, including five oral presentations, highlight updated and interim efficacy and safety clinical trial results for ADCETRIS in both early- and advanced stage settings of classical Hodgkin lymphoma (cHL), and in patients with",SGEN
39,2022-12-02,"Headline: BBH: Portfolio Of Large-Cap Biotechnology Stocks Has Delivered Strong Returns, source:SeekingAlpha, summary: BBH has an asset base of $520 million, posted strong growth over the past 6 months, and is trading much higher than its pre-pandemic price range. Click here to learn more.",SGEN
40,2022-12-07,"Headline: Seagen Inc.'s (NASDAQ:SGEN) Intrinsic Value Is Potentially 98% Above Its Share Price, source:Yahoo, summary: Does the December share price for Seagen Inc. ( NASDAQ:SGEN ) reflect what it's really worth? Today, we will estimate...",SGEN
41,2022-12-12,"Headline: Seagen announces results from Phase 2 trial of ADCETRIS, source:Thefly.com, summary: No summary, Headline: Seagen buoyed by Adcetris combo data for classical Hodgkin lymphoma, source:Seeking Alpha, summary: No summary, Headline: Seagen Announces Results from Phase 2 Clinical Trial of ADCETRIS® (brentuximab vedotin) with Novel Immunotherapy Combination in Patients with Advanced- and Early-Stage Classical Hodgkin Lymphoma, source:Yahoo, summary: BOTHELL, Wash., December 12, 2022--Seagen Inc. (Nasdaq: SGEN) today announced results from two parts of a phase 2 trial (SGN35-027) evaluating ADCETRIS® (brentuximab vedotin) in combination with the PD-1 inhibitor nivolumab and standard chemotherapy agents doxorubicin and dacarbazine (AN+AD) for the frontline treatment of patients with classical Hodgkin lymphoma (cHL). Part B of the trial evaluated patients with advanced-stage disease and was presented as an oral presentation, and Part C evaluat, Headline: Zai Labs: Biopharma`s Alibaba, But Better, source:Seeking Alpha, summary: No summary",SGEN
42,2022-12-13,"Headline: Zai Labs: Biopharma's Alibaba, But Better, source:SeekingAlpha, summary: Zai Labs is a relative new entrant to the Chinese pharma space and has multiple approvals and a large clinical pipeline. Read more on ZLAB here., Headline: Seagen (SGEN) Gets a Buy from JMP Securities, source:TipRanks, summary: No summary",SGEN
