,date,information,related
0,2022-09-23,"Headline: Walgreens Boots' (WBA) Product Expansion Aids Amid Rivalry, source:Yahoo, summary: Sales contributions from Walgreens Boots' (WBA) newly-formed Walgreens Health segment instill investors' optimism., Headline: Walgreens Boots Alliance Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of Walgreens Boots Alliance Inc. slid 1.47% to $32.83 Friday, on what proved to be an all-around grim trading session for the stock market, with the...",WBA
1,2022-09-25,"Headline: 3 Ideal High-Yield Dividend Stocks for Retirees That Can Turn $350,000 Into $1 Million by 2030, source:Yahoo, summary: These rock-solid income stocks, with yields ranging from 5% to 7%, can pad aged investors' pocketbooks while making them richer.",WBA
2,2022-09-26,"Headline: Supermarket Income REIT buys 20-acre site in Bristol for GBP84 million, source:Alliance News, summary: No summary, Headline: U.S. FDA clears additional lots of Moderna's Covid booster amid shortage, source:Finnhub, summary: The U.S. Food and DrugAdministration said on Monday it has authorized an additionalfive batches of Moderna Inc's updated Covid boostershots made at a Catalent facility in Indiana, after it... | September 26, 2022, Headline: Walgreens Boots Alliance Inc. stock falls Monday, still outperforms market, source:MarketWatch, summary: Shares of Walgreens Boots Alliance Inc. slipped 0.43% to $32.69 Monday, on what proved to be an all-around poor trading session for the stock market, with..., Headline: My Best Dividend Aristocrats For October 2022, source:SeekingAlpha, summary: I want to present 3 strategies that theoretically could identify winning aristocrats and lead to better performance than the dividend aristocrat index., Headline: 7 Dow Sleeper Stocks to Buy Before Wall Street Wakes Up, source:Yahoo, summary: While investors might not desire anything less than the most exciting investment opportunities following the wild ride last year, 2022 may be the moment for Dow sleeper stocks to buy. After all, the companies listed in the Dow 30 didn’t get there as part of a fly-by-night operation. Though not commanding the most heart-pounding storylines, these blue chips have the potential to help keep your portfolio afloat in times of stress. Fundamentally, the Federal Reserve changed the broader monetary and",WBA
3,2022-09-27,"Headline: Walgreens Boots Alliance Inc. stock underperforms Tuesday when compared to competitors, source:MarketWatch, summary: Shares of Walgreens Boots Alliance Inc. shed 0.80% to $32.43 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the..., Headline: Walgreens Boots Alliance (WBA) Dips More Than Broader Markets: What You Should Know, source:Yahoo, summary: Walgreens Boots Alliance (WBA) closed the most recent trading day at $32.43, moving -0.8% from the previous trading session.",WBA
4,2022-09-28,"Headline: Walgreens Mobilizes in Advance of Hurricane Ian with Guidance for Florida's Communities in Storm's Path, source:Finnhub, summary: Company focused on safety and preparedness for patients, customers, and Walgreens team members amid Florida’s State of Emergency... | September 28, 2022, Headline: Walgreens Mobilizes in Advance of Hurricane Ian with Guidance for Florida’s Communities in Storm’s Path, source:Yahoo, summary: DEERFIELD, Ill., September 28, 2022--Walgreens is taking proactive measures to assist patients, customers and team members in the Florida communities that are in the projected path of Hurricane Ian. Preparations and services to support impacted regions include:, Headline: Walgreens Boots Alliance Inc. stock rises Wednesday, outperforms market, source:MarketWatch, summary: Shares of Walgreens Boots Alliance Inc. rose 2.37% to $33.20 Wednesday, on what proved to be an all-around favorable trading session for the stock market,..., Headline: 7 Consumer Stocks to Sell Before They Die, source:Yahoo, summary: This year, consumer stocks have been hammered as inflation lingers at 40-year highs and interest rates rise. The Dow Jones U.S. Consumer Goods Index is down 20% this year as consumers pull back on their spending. However, some consumer-focused companies have performed worse than others. Much worse. Whether it is due to poor management, failure to adapt to a changing marketplace, or doomed deals, some consumer-oriented stocks have suffered 50% or more declines through the first nine months of the, Headline: Walgreens Boots Alliance (WBA) Shares Cross 6% Yield Mark, source:Dividend Channel, summary: dividend channel,WBA,",WBA
5,2022-09-29,"Headline: Dividend Harvesting Week 82 Update: $8,200 Allocated, $596.65 In Annual Dividends Yielding 8.04% Across 79 Positions, source:SeekingAlpha, summary: Dividend Harvesting Week 82 Update: $8,200 Allocated, $596.65 In Annual Dividends Yielding 8.04% Across 79 Positions. Click here to read more., Headline: Nasdaq Bear Market: 2 High-Yield Dividend Aristocrats That Can Double Your Money by 2027, source:Yahoo, summary: These rock-solid dividend stocks have the tools and intangibles needed to deliver triple-digit total returns in five years., Headline: Walgreens Mobilizes in Advance of Hurricane Ian with Guidance for Florida's Communities in Storm's Path, source:Finnhub, summary: DEERFIELD - Walgreens is taking proactive measures to assist patients, customers and team members in the Florida communities that are in the projected path of Hurricane Ian.Preparations and services... | September 29, 2022, Headline: EEOC Sues Walgreens for Alleged Disability Discrimination, source:Finnhub, summary: By Dean Seal Walgreens Co. has been sued by the U.S. Equal Employment Opportunity Commission on Thursday for allegedly discriminating against a pregnant worker with disabilities. The... | September 29, 2022, Headline: Buybuy Baby, a bright spot for Bed Bath & Beyond, reports steep drop in sales against tough comparisons, source:CNBC, summary: Bed Bath & Beyond chalked up the sales decline to tough year-over-year comparisons and pointed to initiatives to drive growth in the coming months., Headline: This 5.8% Hyper-Yield Dividend Stock Is Great for Retirees, source:Yahoo, summary: Pharmacy giant Walgreens Boots Alliance (NASDAQ: WBA) has paid shareholders for a long, long time; it's a Dividend Aristocrat -- and nearly a Dividend King -- with 47 years of steady dividend growth.  The facts show strong evidence that investors, especially retirees, can buy Walgreens in confidence and continue cashing those generous dividend checks.  Walgreens has a long history as a pharmacy store chain with roughly 8,900 retail locations across the United States., Headline: Walgreens Boots Alliance Inc. stock underperforms Thursday when compared to competitors, source:MarketWatch, summary: Shares of Walgreens Boots Alliance Inc. shed 4.97% to $31.55 Thursday, on what proved to be an all-around grim trading session for the stock market, with the..., Headline: Bulk orders of COVID-19 tests surge ahead of winter: Seller, source:Yahoo, summary: Bulk orders for COVID-19 tests are on the rise as companies brace for a winter surge.",WBA
6,2022-09-30,"Headline: Rite Aid Q2 2023 Earnings: The Good And The Bad, source:SeekingAlpha, summary: Rite Aid is riskier than I previously thought, but it's not a horrible prospect to keep a good eye on. See why I think rating RAD stock as Hold is appropriate., Headline: Best Stocks To Buy Today? 3 Consumer Stocks In Focus, source:StockMarket, summary: Are these the best consumer stocks to buy today?, Headline: Walgreens Boots Alliance Inc. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of Walgreens Boots Alliance Inc. slid 0.48% to $31.40 Friday, on what proved to be an all-around rough trading session for the stock market, with the...",WBA
7,2022-10-01,"Headline: 14 Potent Picks Are October's Ideal Dividend Buys, source:SeekingAlpha, summary: Click here to read my analysis based on A Kiplinger Today special report entitled, Potent Picks to Profit in 2022., Headline: Walgreens turns to prescription-filling robots to free up pharmacists, WSJ says, source:Thefly.com, summary: Walgreens Boots Alliance ... WBA",WBA
8,2022-10-02,"Headline: Walgreens Turns to Prescription-Filling Robots to Free Up Pharmacists, source:Yahoo, summary: The chain says automated drug-filling centers cut pharmacist workloads by 25% and ease pressure on understaffed stores., Headline: Dad and Daughter From South Side Chicago, Owners of Black-Owned Frozen Pudding Line Now in Walgreens, source:Yahoo, summary: See how this father-daughter duo is getting a taste of sweet success., Headline: Walgreens will use robots to fill prescriptions to free up pharmacists, source:MarketWatch, summary: Walgreens Boots Alliance Inc. is turning to robots to ease workloads at drugstores as it grapples with a nationwide shortage of pharmacists and pharmacist...",WBA
9,2022-10-03,"Headline: Walgreens Boots Alliance price target lowered to $32 from $41 at Evercore ISI, source:Thefly.com, summary: Evercore ISI analyst Eliz... WBA, RAD, Headline: nan, source:TipRanks, summary: nan, Headline: Evercore ISI Reaffirms Their Hold Rating on Walgreens Boots Alliance (WBA), source:TipRanks, summary: In a report released today, Elizabeth Anderson CFA from Evercore ISI maintained a Hold rating on Walgreens Boots Alliance (WBA &#8211; Research Report), with a pric..., Headline: Walgreens expanding robot network to bolster pharmacy operations, source:Finnhub, summary: Walgreens is expanding a robotic network effort when it comes to fulfilling prescriptions in an effort to ease the labor load of its pharmacy staff.The automated centers can reduce the pharmacist... | October 3, 2022, Headline: Walgreens Turns To Robots To Help Ease Manpower Shortage, source:Yahoo, summary: Walgreens Boots Alliance Inc (NASDAQ: WBA) is planning to seek the help of automation for its drugstores to ease the pressure of the lack of manpower. The company, faced with a shortage of pharmacists and pharmacist technicians, is setting up a network of automated, centralized drug-filling centers. Walgreens' plan would cut the pharmacist workloads by at least 25% in addition to saving more than $1 billion a year in costs, the Wall Street Journal reported. Through automation, pharmacists will h, Headline: Walgreens to Donate $1 Million to Aid Communities Impacted by Hurricanes Ian and Fiona, source:Yahoo, summary: DEERFIELD, Ill., October 03, 2022--Walgreens is supporting storm relief efforts in communities across Florida, Puerto Rico and other areas impacted by Hurricanes Ian and Fiona, with $1 million in donations announced today. The donations include $500,000 each to the Florida Disaster Fund and the American Red Cross Hurricane Fund., Headline: Down 40%, This Well-Known Company Is Paying Its Highest Dividend Yield Ever, source:Yahoo, summary: Rock-solid dividend payer Walgreens Boots Alliance (NASDAQ: WBA) is more than 40% from its high and could be offering a unique buying opportunity for long-term investors.  Not only does it sport a massive dividend yield, but it has also consistently raised that payout for 47 consecutive years.  As dividend histories go, Walgreens Boots Alliance has one to be proud of.",WBA
