,date,information,related
0,2022-09-23,"Headline: Workday (WDAY) Gains As Market Dips: What You Should Know, source:Yahoo, summary: Workday (WDAY) closed at $151.24 in the latest trading session, marking a +0.5% move from the prior day.",WDAY
1,2022-09-24,"Headline: 3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade, source:Yahoo, summary: The artificial intelligence (AI) market has become one of the tech sector's hottest pockets of growth in recent years.  Many organizations now realize that crunching massive amounts of data with AI algorithms can help them make smarter decisions, spot overarching trends, and optimize their businesses.  Investors looking for a value stock that has plenty of exposure to the growing AI market should take a closer look at IBM (NYSE: IBM).",WDAY
2,2022-09-28,"Headline: Jefferies software/IT services analyst to hold analyst/industry conference call, source:Thefly.com, summary: Software & IT Service... SAP, ORCL, WDAY, CRM, Headline: German tech giant SAP actually benefits from strong dollar and supply chain troubles, CEO says, source:CNBC, summary: ""Our biggest competitors are in the U.S., so the strong dollar actually benefits us,"" SAP CEO Christian Klein said in an interview., Headline: First Advantage: Leading Player With Good Long-Term Growth Prospects, source:SeekingAlpha, summary: First Advantage is a leading player in a large & growing TAM with significant opportunities available to grow above industry rates. Read my analysis of FA stock.",WDAY
3,2022-09-29,"Headline: Tracking Stanley Druckenmiller's Duquesne Family Office Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Stanley Druckenmillerâs 13F portfolio value decreased from $2.65B to $1.63B this quarter. Click to read the Q2 2022 update on the portfolio., Headline: Workday (WDAY) Stock Moves -0.38%: What You Should Know, source:Yahoo, summary: In the latest trading session, Workday (WDAY) closed at $156.26, marking a -0.38% move from the previous day.",WDAY
4,2022-10-03,"Headline: Tracking Philippe Laffont's Coatue Management Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Philippe Laffont's 13F portfolio value decreased from $13.67B to $8.26B this quarter. Read more about Coatue Management's holdings and trades for Q2 2022.",WDAY
5,2022-10-04,"Headline: GM Adds Former Tesla, Lyft Executive to Board, source:Yahoo, summary: General Motors  on Tuesday said it added  Jonathan McNeill,  a former top executive at  Tesla  and  Lyft  to its board of directors.  Mr. McNeill, 55 years old, previously served as operating chief at the ride-hailing company Lyft and president of Tesla’s global sales, delivery and service division.  Before his time at Tesla, Mr. McNeill served as CEO of software company Enservio Inc. and also founded and sold several technology and retail companies that operated in the automobile market.",WDAY
6,2022-10-05,"Headline: Tracking William Nygren's Harris Associates Portfolio - Q2 2022 Update, source:SeekingAlpha, summary: Harris Associates' 13F portfolio value decreased from $75.90B to $62.85B this quarter. Read more to see about Harris Associates' holdings and trades for Q2 2022.",WDAY
7,2022-10-07,"Headline: 10 Best Tech Stocks to Buy According to Anand Parekh’s Alyeska Investment, source:Yahoo, summary: In this piece, we will take a look at the ten best tech stocks to buy according to Anand Parekh’s Alyeska Investment. If you want to skip out the introduction to the hedge fund and want to jump ahead to the top five stocks in this list, then take a look at the 5 Best […]",WDAY
8,2022-10-13,"Headline: December 2nd Options Now Available For Workday (WDAY), source:Stock Options Channel, summary: Staff article entitled December 2nd Options Now Available For Workday (WDAY), about stock options, from Stock Options Channel., Headline: Jerome Dodson's Parnassus Fund - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by Sydnee Gatewood and the topic is about: Socially conscious fund reveals investments in software and business services companies",WDAY
9,2022-10-18,"Headline: Workday (NASDAQ:WDAY) shareholders have endured a 45% loss from investing in the stock a year ago, source:Yahoo, summary: Passive investing in an index fund is a good way to ensure your own returns roughly match the overall market. While..., Headline: 12 Best Software Stocks To Buy According To Hedge Funds, source:Yahoo, summary: In this article, we discuss the 10 best software stocks to buy according to hedge funds. If you want to see more stocks in this selection, check out 5 Best Software Stocks To Buy According To Hedge Funds. During 2022, the software industry is expected to generate $593.40 billion in revenue, according to Statista. Enterprise […]",WDAY
