,date,information,related
0,2022-09-23,"Headline: Xcel Energy Inc. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 1.23% to $71.56 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",XEL
1,2022-09-26,"Headline: Xcel Energy (XEL) Shares Enter Oversold Territory, source:Energy Stock Channel, summary: energy stock channel,XEL,",XEL
2,2022-09-29,"Headline: 10 Energy Stocks to Buy According to Billionaire David Harding, source:Yahoo, summary: In this piece, we will take a look at the ten energy stocks to buy according to billionaire David Harding. If you want to skip our introduction to the hedge fund investor and jump ahead to the top five stocks in this list then take a look at 5 Energy Stocks to Buy According to […], Headline: Climate pay links for CEOs do little to cut emissions, study finds, source:Reuters, summary: More big U.S. companies have tied their CEO pay to climate goals but few give executives much incentive to make significant emissions cuts, a new study shows., Headline: Xcel Energy (XEL) Shares Cross 3% Yield Mark, source:Dividend Channel, summary: dividend channel,XEL,",XEL
3,2022-09-30,"Headline: FirstEnergy's (FE) Unit Uses Aerial Crew for Tree Trimming, source:Yahoo, summary: FirstEnergy's (FE) subsidiary, Potomac Edison, uses helicopter services to trim trees and maintain transmission lines, reducing the frequency of tree-related power outages., Headline: This Dividend Stock Just Crossed a Potentially Bullish Level, source:Yahoo, summary: Xcel Energy is a reliable electric utility stock. The market valuation just slipped below an important metric that's not obvious on stock screeners.",XEL
4,2022-10-05,"Headline: Xcel Energy price target lowered to $71 from $80 at BMO Capital, source:Thefly.com, summary: BMO Capital analyst James... XEL",XEL
5,2022-10-08,"Headline: Duke And Xcel Energy: 2 Safe And Cheap High-Yielders In Times Of Mayhem, source:SeekingAlpha, summary: Both Duke Energy and Xcel Energy offer very attractive yields. See why I like XEL and DUK stocks a lot, as both companies are attractively valued.",XEL
6,2022-10-12,"Headline: Xcel Energy Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 3.16% to $57.94 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",XEL
7,2022-10-13,"Headline: Xcel Energy Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. rallied 3.11% to $59.74 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P..., Headline: Did Xcel Energy Inc. (NASDAQ:XEL) Use Debt To Deliver Its ROE Of 10%?, source:Yahoo, summary: Many investors are still learning about the various metrics that can be useful when analysing a stock. This article is...",XEL
8,2022-10-14,"Headline: Xcel Energy Inc. stock underperforms Friday when compared to competitors, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 1.47% to $58.86 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",XEL
9,2022-10-15,"Headline: Dividend Champion, Contender, And Challenger Highlights: Week Of October 16, source:SeekingAlpha, summary: A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Read the dividend stocks update for the week of October 16 here.",XEL
10,2022-10-16,"Headline: UTG: The Panic Has Started, source:SeekingAlpha, summary: Reaves Utility Income Fund has fallen nearly 26% from its August highs as the market priced in recessionary headwinds. Read why we rate UTG CEF as a Hold.",XEL
11,2022-10-17,"Headline: Xcel Energy Third Quarter 2022 Earnings Conference Call, source:Yahoo, summary: MINNEAPOLIS, October 17, 2022--On Thursday, October 27, 2022, Xcel Energy (NASDAQ: XEL) will host a conference call to review third quarter 2022 financial results. Earnings will be released prior to the opening of trading., Headline: Xcel Energy Inc. stock outperforms competitors on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. rallied 2.96% to $60.60 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",XEL
12,2022-10-18,"Headline: J.P. Morgan Keeps Their Buy Rating on Xcel Energy (XEL), source:TipRanks, summary: J.P. Morgan analyst Jeremy Tonet maintained a Buy rating on Xcel Energy (XEL &#8211; Research Report) today and set a price target of $72.00. The company&#8217;s sh..., Headline: Xcel Energy Inc. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. rose 1.68% to $61.62 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",XEL
13,2022-10-19,"Headline: Xcel Energy price target lowered to $65 from $72 at Mizuho, source:Thefly.com, summary: Mizuho analyst Paul Fremo... XEL, Headline: Xcel Energy price target lowered to $64 from $72 at Credit Suisse, source:Thefly.com, summary: Credit Suisse analyst Nic... XEL, Headline: Xcel Energy Inc. stock falls Wednesday, underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. dropped 0.84% to $61.10 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500..., Headline: FUTY: Utilities Dashboard For October, source:SeekingAlpha, summary: SPDR XLU and Fidelity FUTY are ETFs tracking utility indexes. Which is a good instrument for those seeking a capital-weighted exposure in utilities? Find out.",XEL
